nohup: ignoring input
epoch 0000 | 0.62s | train_full 8.639838e-01 | test_full 3.756168e-01
epoch 0001 | 0.27s | train_full 3.863263e-01 | test_full 2.115918e-01
epoch 0002 | 0.29s | train_full 1.911294e-01 | test_full 1.541353e-01
epoch 0003 | 0.30s | train_full 1.459240e-01 | test_full 1.117283e-01
epoch 0004 | 0.30s | train_full 1.015160e-01 | test_full 7.829615e-02
epoch 0005 | 0.30s | train_full 7.371128e-02 | test_full 6.513080e-02
epoch 0006 | 0.32s | train_full 6.497793e-02 | test_full 5.612333e-02
epoch 0007 | 0.31s | train_full 5.669768e-02 | test_full 5.365714e-02
epoch 0008 | 0.33s | train_full 5.254094e-02 | test_full 4.972225e-02
epoch 0009 | 0.32s | train_full 5.055927e-02 | test_full 4.635832e-02
epoch 0010 | 0.32s | train_full 4.602137e-02 | test_full 4.301215e-02
epoch 0011 | 0.33s | train_full 4.335340e-02 | test_full 4.185436e-02
epoch 0012 | 0.31s | train_full 4.210537e-02 | test_full 3.905119e-02
epoch 0013 | 0.32s | train_full 3.950215e-02 | test_full 3.638080e-02
epoch 0014 | 0.32s | train_full 3.677488e-02 | test_full 3.455782e-02
epoch 0015 | 0.32s | train_full 3.548009e-02 | test_full 3.382755e-02
epoch 0016 | 0.31s | train_full 3.431965e-02 | test_full 3.283254e-02
epoch 0017 | 0.32s | train_full 3.249758e-02 | test_full 3.005365e-02
epoch 0018 | 0.32s | train_full 3.231374e-02 | test_full 2.948538e-02
epoch 0019 | 0.28s | train_full 3.077524e-02 | test_full 2.945839e-02
epoch 0020 | 0.24s | train_full 3.005152e-02 | test_full 2.993475e-02
epoch 0021 | 0.22s | train_full 2.941525e-02 | test_full 2.780937e-02
epoch 0022 | 0.22s | train_full 2.861016e-02 | test_full 2.732660e-02
epoch 0023 | 0.23s | train_full 2.841236e-02 | test_full 2.807959e-02
epoch 0024 | 0.24s | train_full 2.806333e-02 | test_full 2.522466e-02
epoch 0025 | 0.27s | train_full 2.625308e-02 | test_full 2.485226e-02
epoch 0026 | 0.30s | train_full 2.586197e-02 | test_full 2.478758e-02
epoch 0027 | 0.30s | train_full 2.565901e-02 | test_full 2.526180e-02
epoch 0028 | 0.31s | train_full 2.555146e-02 | test_full 2.387361e-02
epoch 0029 | 0.29s | train_full 2.465307e-02 | test_full 2.341977e-02
epoch 0030 | 0.30s | train_full 2.444640e-02 | test_full 2.427469e-02
epoch 0031 | 0.29s | train_full 2.506889e-02 | test_full 2.345586e-02
epoch 0032 | 0.31s | train_full 2.399974e-02 | test_full 2.332397e-02
epoch 0033 | 0.30s | train_full 2.363261e-02 | test_full 2.245758e-02
epoch 0034 | 0.31s | train_full 2.377987e-02 | test_full 2.272426e-02
epoch 0035 | 0.30s | train_full 2.386320e-02 | test_full 2.455098e-02
epoch 0036 | 0.32s | train_full 2.465936e-02 | test_full 2.340435e-02
epoch 0037 | 0.32s | train_full 2.414957e-02 | test_full 2.421447e-02
epoch 0038 | 0.32s | train_full 2.395205e-02 | test_full 2.354501e-02
epoch 0039 | 0.31s | train_full 2.323134e-02 | test_full 2.208279e-02
epoch 0040 | 0.30s | train_full 2.238485e-02 | test_full 2.169591e-02
epoch 0041 | 0.32s | train_full 2.244011e-02 | test_full 2.191674e-02
epoch 0042 | 0.33s | train_full 2.309378e-02 | test_full 2.184274e-02
epoch 0043 | 0.32s | train_full 2.210785e-02 | test_full 2.133518e-02
epoch 0044 | 0.30s | train_full 2.248687e-02 | test_full 2.151409e-02
epoch 0045 | 0.29s | train_full 2.199589e-02 | test_full 2.164409e-02
epoch 0046 | 0.30s | train_full 2.174120e-02 | test_full 2.093994e-02
epoch 0047 | 0.32s | train_full 2.160727e-02 | test_full 2.052292e-02
epoch 0048 | 0.30s | train_full 2.156536e-02 | test_full 2.101710e-02
epoch 0049 | 0.30s | train_full 2.192245e-02 | test_full 2.076847e-02
epoch 0050 | 0.32s | train_full 2.125388e-02 | test_full 2.212992e-02
epoch 0051 | 0.30s | train_full 2.158313e-02 | test_full 2.071219e-02
epoch 0052 | 0.28s | train_full 2.152265e-02 | test_full 2.294602e-02
epoch 0053 | 0.24s | train_full 2.147042e-02 | test_full 2.038448e-02
epoch 0054 | 0.28s | train_full 2.078493e-02 | test_full 2.031025e-02
epoch 0055 | 0.29s | train_full 2.087880e-02 | test_full 1.986054e-02
epoch 0056 | 0.31s | train_full 2.093773e-02 | test_full 1.941354e-02
epoch 0057 | 0.30s | train_full 2.107396e-02 | test_full 2.014211e-02
epoch 0058 | 0.30s | train_full 2.109595e-02 | test_full 2.058510e-02
epoch 0059 | 0.30s | train_full 2.140049e-02 | test_full 1.984240e-02
epoch 0060 | 0.30s | train_full 2.001940e-02 | test_full 1.941105e-02
epoch 0061 | 0.30s | train_full 2.001927e-02 | test_full 2.054407e-02
epoch 0062 | 0.30s | train_full 2.160763e-02 | test_full 2.084330e-02
epoch 0063 | 0.31s | train_full 2.053168e-02 | test_full 2.367033e-02
epoch 0064 | 0.30s | train_full 2.191842e-02 | test_full 2.027792e-02
epoch 0065 | 0.31s | train_full 2.025868e-02 | test_full 1.942296e-02
epoch 0066 | 0.32s | train_full 1.995782e-02 | test_full 1.988083e-02
epoch 0067 | 0.32s | train_full 2.005704e-02 | test_full 2.045109e-02
epoch 0068 | 0.31s | train_full 2.071199e-02 | test_full 1.981493e-02
epoch 0069 | 0.28s | train_full 2.006748e-02 | test_full 1.867395e-02
epoch 0070 | 0.30s | train_full 1.990713e-02 | test_full 2.010079e-02
epoch 0071 | 0.30s | train_full 1.948715e-02 | test_full 2.019379e-02
epoch 0072 | 0.30s | train_full 1.992410e-02 | test_full 1.891379e-02
epoch 0073 | 0.31s | train_full 2.113495e-02 | test_full 2.079046e-02
epoch 0074 | 0.30s | train_full 2.049964e-02 | test_full 1.855226e-02
epoch 0075 | 0.30s | train_full 1.988911e-02 | test_full 1.924730e-02
epoch 0076 | 0.30s | train_full 1.927326e-02 | test_full 1.989723e-02
epoch 0077 | 0.30s | train_full 1.909007e-02 | test_full 1.996038e-02
epoch 0078 | 0.30s | train_full 2.027934e-02 | test_full 1.914583e-02
epoch 0079 | 0.30s | train_full 2.020707e-02 | test_full 1.822860e-02
epoch 0080 | 0.30s | train_full 1.997927e-02 | test_full 1.808827e-02
epoch 0081 | 0.30s | train_full 1.918680e-02 | test_full 1.902612e-02
epoch 0082 | 0.29s | train_full 1.902631e-02 | test_full 1.849285e-02
epoch 0083 | 0.30s | train_full 1.930022e-02 | test_full 1.853143e-02
epoch 0084 | 0.30s | train_full 1.944220e-02 | test_full 1.856734e-02
