nohup: ignoring input
epoch 0000 | 67.30s | train_full 5.685407e-01 | test_full 2.823825e-01
epoch 0001 | 65.46s | train_full 2.294868e-01 | test_full 1.846251e-01
epoch 0002 | 65.84s | train_full 1.589611e-01 | test_full 1.405605e-01
epoch 0003 | 66.58s | train_full 1.314249e-01 | test_full 1.311449e-01
epoch 0004 | 65.63s | train_full 1.241309e-01 | test_full 1.187981e-01
epoch 0005 | 65.68s | train_full 1.066442e-01 | test_full 1.052914e-01
epoch 0006 | 65.45s | train_full 1.075333e-01 | test_full 1.115378e-01
epoch 0007 | 65.71s | train_full 9.941019e-02 | test_full 9.682689e-02
epoch 0008 | 65.65s | train_full 1.012083e-01 | test_full 1.025109e-01
epoch 0009 | 66.44s | train_full 9.048689e-02 | test_full 8.989094e-02
epoch 0010 | 70.37s | train_full 9.581779e-02 | test_full 8.436924e-02
epoch 0011 | 70.88s | train_full 8.567463e-02 | test_full 8.451475e-02
epoch 0012 | 69.30s | train_full 8.267512e-02 | test_full 7.489713e-02
epoch 0013 | 69.09s | train_full 7.831682e-02 | test_full 9.556563e-02
epoch 0014 | 69.22s | train_full 7.989796e-02 | test_full 6.890784e-02
epoch 0015 | 68.67s | train_full 8.667364e-02 | test_full 8.744344e-02
epoch 0016 | 68.56s | train_full 7.780398e-02 | test_full 6.718284e-02
epoch 0017 | 69.30s | train_full 8.196476e-02 | test_full 7.753833e-02
epoch 0018 | 68.23s | train_full 7.430472e-02 | test_full 7.482907e-02
epoch 0019 | 68.44s | train_full 7.805636e-02 | test_full 6.817686e-02
epoch 0020 | 68.25s | train_full 6.866137e-02 | test_full 7.292137e-02
epoch 0021 | 69.40s | train_full 7.336759e-02 | test_full 8.951211e-02
epoch 0022 | 69.30s | train_full 7.141085e-02 | test_full 8.957823e-02
epoch 0023 | 69.35s | train_full 6.930833e-02 | test_full 7.746855e-02
epoch 0024 | 69.34s | train_full 6.463808e-02 | test_full 5.842529e-02
epoch 0025 | 69.12s | train_full 6.516978e-02 | test_full 6.356452e-02
epoch 0026 | 69.81s | train_full 6.682239e-02 | test_full 7.980633e-02
epoch 0027 | 68.48s | train_full 6.617275e-02 | test_full 6.292754e-02
epoch 0028 | 68.01s | train_full 6.554933e-02 | test_full 5.086628e-02
epoch 0029 | 68.49s | train_full 5.980508e-02 | test_full 5.597680e-02
epoch 0030 | 68.45s | train_full 5.359549e-02 | test_full 5.408559e-02
epoch 0031 | 68.92s | train_full 5.981295e-02 | test_full 7.130722e-02
epoch 0032 | 68.62s | train_full 5.766934e-02 | test_full 4.705080e-02
epoch 0033 | 69.05s | train_full 4.890385e-02 | test_full 5.545320e-02
epoch 0034 | 69.17s | train_full 5.612885e-02 | test_full 4.891922e-02
epoch 0035 | 68.80s | train_full 4.590164e-02 | test_full 4.614773e-02
epoch 0036 | 69.47s | train_full 4.642650e-02 | test_full 4.467488e-02
epoch 0037 | 69.08s | train_full 4.415998e-02 | test_full 4.877311e-02
epoch 0038 | 69.53s | train_full 5.277615e-02 | test_full 4.638649e-02
epoch 0039 | 69.02s | train_full 4.691727e-02 | test_full 5.894157e-02
epoch 0040 | 69.38s | train_full 5.946316e-02 | test_full 8.469439e-02
epoch 0041 | 68.46s | train_full 4.827216e-02 | test_full 3.754750e-02
epoch 0042 | 69.31s | train_full 5.221469e-02 | test_full 4.061911e-02
epoch 0043 | 68.29s | train_full 4.538265e-02 | test_full 4.996155e-02
epoch 0044 | 68.65s | train_full 4.421001e-02 | test_full 4.678322e-02
epoch 0045 | 67.90s | train_full 4.425863e-02 | test_full 4.342418e-02
epoch 0046 | 68.92s | train_full 5.006337e-02 | test_full 4.528454e-02
epoch 0047 | 68.69s | train_full 5.427864e-02 | test_full 3.641362e-02
epoch 0048 | 69.16s | train_full 3.576290e-02 | test_full 3.546885e-02
epoch 0049 | 69.03s | train_full 3.905872e-02 | test_full 4.190548e-02
epoch 0050 | 68.63s | train_full 3.924942e-02 | test_full 4.533901e-02
epoch 0051 | 69.97s | train_full 5.815015e-02 | test_full 4.838173e-02
epoch 0052 | 70.18s | train_full 4.593479e-02 | test_full 4.147613e-02
epoch 0053 | 69.39s | train_full 5.817065e-02 | test_full 6.947524e-02
