nohup: ignoring input
epoch 0000 | 224.11s | train_full 7.648135e-02 | test_full 4.506166e-02
epoch 0001 | 224.46s | train_full 3.744327e-02 | test_full 3.245646e-02
epoch 0002 | 225.62s | train_full 3.196730e-02 | test_full 3.268813e-02
epoch 0003 | 225.77s | train_full 2.543568e-02 | test_full 2.223695e-02
epoch 0004 | 225.70s | train_full 2.133374e-02 | test_full 1.752646e-02
epoch 0005 | 224.72s | train_full 2.162912e-02 | test_full 2.227370e-02
epoch 0006 | 225.58s | train_full 1.918386e-02 | test_full 2.159776e-02
epoch 0007 | 225.30s | train_full 1.709835e-02 | test_full 1.572163e-02
epoch 0008 | 226.14s | train_full 1.574219e-02 | test_full 1.479450e-02
epoch 0009 | 224.69s | train_full 1.747684e-02 | test_full 1.839687e-02
epoch 0010 | 224.85s | train_full 1.611573e-02 | test_full 1.469669e-02
epoch 0011 | 224.94s | train_full 1.531016e-02 | test_full 1.340906e-02
epoch 0012 | 225.50s | train_full 1.503486e-02 | test_full 1.118837e-02
epoch 0013 | 225.92s | train_full 1.286981e-02 | test_full 9.773313e-03
epoch 0014 | 225.36s | train_full 1.349178e-02 | test_full 1.143089e-02
epoch 0015 | 226.01s | train_full 1.182408e-02 | test_full 9.427660e-03
epoch 0016 | 224.46s | train_full 1.262450e-02 | test_full 8.368441e-03
epoch 0017 | 225.32s | train_full 9.210508e-03 | test_full 7.887132e-03
epoch 0018 | 225.58s | train_full 9.468263e-03 | test_full 9.788528e-03
epoch 0019 | 225.81s | train_full 1.092368e-02 | test_full 1.031989e-02
epoch 0020 | 225.94s | train_full 1.066065e-02 | test_full 6.918287e-03
epoch 0021 | 225.71s | train_full 7.695048e-03 | test_full 9.800874e-03
epoch 0022 | 226.56s | train_full 1.043781e-02 | test_full 1.432783e-02
epoch 0023 | 229.16s | train_full 1.329356e-02 | test_full 9.921472e-03
epoch 0024 | 227.56s | train_full 8.881403e-03 | test_full 6.935251e-03
epoch 0025 | 226.18s | train_full 8.832083e-03 | test_full 8.391481e-03
epoch 0026 | 226.28s | train_full 1.220737e-02 | test_full 2.896856e-02
epoch 0027 | 226.40s | train_full 1.003074e-02 | test_full 1.308398e-02
epoch 0028 | 230.11s | train_full 9.547414e-03 | test_full 1.431946e-02
epoch 0029 | 229.47s | train_full 7.603267e-03 | test_full 6.635392e-03
epoch 0030 | 231.52s | train_full 8.885704e-03 | test_full 7.007311e-03
epoch 0031 | 230.74s | train_full 8.173702e-03 | test_full 7.498780e-03
epoch 0032 | 234.73s | train_full 7.649097e-03 | test_full 6.297680e-03
epoch 0033 | 232.02s | train_full 7.328973e-03 | test_full 9.135047e-03
epoch 0034 | 233.14s | train_full 7.645571e-03 | test_full 8.104115e-03
epoch 0035 | 234.19s | train_full 7.592965e-03 | test_full 7.034423e-03
epoch 0036 | 233.24s | train_full 9.076763e-03 | test_full 6.199679e-03
epoch 0037 | 233.67s | train_full 7.145824e-03 | test_full 8.533487e-03
epoch 0038 | 231.82s | train_full 8.355678e-03 | test_full 6.918229e-03
epoch 0039 | 231.93s | train_full 7.017624e-03 | test_full 7.265349e-03
epoch 0040 | 234.75s | train_full 7.828667e-03 | test_full 1.001179e-02
epoch 0041 | 233.78s | train_full 3.446176e-02 | test_full 1.728499e-02
epoch 0042 | 233.03s | train_full 1.324022e-02 | test_full 1.110496e-02
epoch 0043 | 234.12s | train_full 1.103923e-02 | test_full 1.683533e-02
epoch 0044 | 234.09s | train_full 1.102032e-02 | test_full 9.403016e-03
epoch 0045 | 233.12s | train_full 1.010562e-02 | test_full 9.215058e-03
epoch 0046 | 235.05s | train_full 8.560791e-03 | test_full 7.980135e-03
epoch 0047 | 233.12s | train_full 7.897916e-03 | test_full 1.235310e-02
epoch 0048 | 231.36s | train_full 6.949477e-03 | test_full 6.157266e-03
epoch 0049 | 233.15s | train_full 9.020149e-03 | test_full 8.327868e-03
epoch 0050 | 233.35s | train_full 8.227599e-03 | test_full 8.458423e-03
epoch 0051 | 234.02s | train_full 7.120863e-03 | test_full 5.432005e-03
epoch 0052 | 233.30s | train_full 8.821339e-03 | test_full 5.688697e-03
epoch 0053 | 234.48s | train_full 8.558143e-03 | test_full 8.333473e-03
epoch 0054 | 232.29s | train_full 7.128531e-03 | test_full 8.104022e-03
epoch 0055 | 232.73s | train_full 8.010709e-03 | test_full 6.060395e-03
epoch 0056 | 233.31s | train_full 7.027366e-03 | test_full 5.549691e-03
epoch 0057 | 233.22s | train_full 7.395345e-03 | test_full 5.765793e-03
epoch 0058 | 233.48s | train_full 7.513014e-03 | test_full 5.602651e-03
epoch 0059 | 233.95s | train_full 6.910719e-03 | test_full 7.295265e-03
epoch 0060 | 234.49s | train_full 6.610268e-03 | test_full 4.787400e-03
epoch 0061 | 231.97s | train_full 6.943431e-03 | test_full 5.102197e-03
epoch 0062 | 233.07s | train_full 8.282634e-03 | test_full 1.027873e-02
epoch 0063 | 234.99s | train_full 6.723681e-03 | test_full 5.125424e-03
epoch 0064 | 233.59s | train_full 7.799125e-03 | test_full 5.921133e-03
epoch 0065 | 233.34s | train_full 6.906931e-03 | test_full 7.113640e-03
epoch 0066 | 234.37s | train_full 6.758537e-03 | test_full 4.923592e-03
epoch 0067 | 233.83s | train_full 6.443425e-03 | test_full 5.584445e-03
epoch 0068 | 233.76s | train_full 3.538667e+00 | test_full 4.714133e-01
epoch 0069 | 233.37s | train_full 4.050703e-01 | test_full 3.615175e-01
epoch 0070 | 233.45s | train_full 3.508192e-01 | test_full 3.422725e-01
epoch 0071 | 233.36s | train_full 3.305488e-01 | test_full 3.221182e-01
epoch 0072 | 234.24s | train_full 3.126054e-01 | test_full 3.068007e-01
epoch 0073 | 232.82s | train_full 3.000625e-01 | test_full 2.961096e-01
epoch 0074 | 232.36s | train_full 2.903902e-01 | test_full 2.873488e-01
epoch 0075 | 232.98s | train_full 2.822096e-01 | test_full 2.798727e-01
epoch 0076 | 234.92s | train_full 2.752761e-01 | test_full 2.734659e-01
epoch 0077 | 232.94s | train_full 2.692331e-01 | test_full 2.677457e-01
epoch 0078 | 230.14s | train_full 2.637838e-01 | test_full 2.627977e-01
epoch 0079 | 229.38s | train_full 2.588986e-01 | test_full 2.582584e-01
epoch 0080 | 229.41s | train_full 2.541896e-01 | test_full 2.536557e-01
epoch 0081 | 228.61s | train_full 2.493710e-01 | test_full 2.487533e-01
epoch 0082 | 229.88s | train_full 2.442290e-01 | test_full 2.434124e-01
epoch 0083 | 229.01s | train_full 2.386094e-01 | test_full 2.375690e-01
epoch 0084 | 229.51s | train_full 2.324421e-01 | test_full 2.311348e-01
epoch 0085 | 229.78s | train_full 2.256627e-01 | test_full 2.240807e-01
epoch 0086 | 230.31s | train_full 2.182674e-01 | test_full 2.163540e-01
