nohup: ignoring input
epoch 0000 | 100.12s | train_full 8.811147e-01 | test_full 8.584635e-01
epoch 0001 | 108.30s | train_full 8.156890e-01 | test_full 7.991980e-01
epoch 0002 | 110.30s | train_full 7.743665e-01 | test_full 7.862082e-01
epoch 0003 | 107.09s | train_full 7.491966e-01 | test_full 7.212271e-01
epoch 0004 | 111.64s | train_full 7.105210e-01 | test_full 7.554842e-01
epoch 0005 | 109.39s | train_full 7.110189e-01 | test_full 6.986446e-01
epoch 0006 | 111.44s | train_full 6.854452e-01 | test_full 7.091181e-01
epoch 0007 | 108.00s | train_full 6.794229e-01 | test_full 6.402314e-01
epoch 0008 | 109.99s | train_full 6.692305e-01 | test_full 6.412019e-01
epoch 0009 | 110.43s | train_full 6.572831e-01 | test_full 6.164335e-01
epoch 0010 | 108.92s | train_full 6.627839e-01 | test_full 6.614190e-01
epoch 0011 | 107.48s | train_full 6.612957e-01 | test_full 6.500833e-01
epoch 0012 | 107.67s | train_full 6.457750e-01 | test_full 6.498127e-01
epoch 0013 | 102.78s | train_full 6.267581e-01 | test_full 6.354693e-01
epoch 0014 | 102.62s | train_full 6.126254e-01 | test_full 6.371913e-01
epoch 0015 | 103.36s | train_full 6.175866e-01 | test_full 6.060210e-01
epoch 0016 | 102.17s | train_full 6.197253e-01 | test_full 6.289015e-01
epoch 0017 | 98.74s | train_full 6.108271e-01 | test_full 6.246237e-01
epoch 0018 | 103.69s | train_full 6.148208e-01 | test_full 6.505412e-01
epoch 0019 | 104.54s | train_full 6.079968e-01 | test_full 6.535112e-01
epoch 0020 | 104.01s | train_full 5.995652e-01 | test_full 6.049950e-01
epoch 0021 | 101.42s | train_full 6.020030e-01 | test_full 6.023797e-01
epoch 0022 | 102.61s | train_full 5.951704e-01 | test_full 6.345956e-01
epoch 0023 | 103.10s | train_full 6.050260e-01 | test_full 6.110607e-01
epoch 0024 | 102.08s | train_full 5.864827e-01 | test_full 6.040470e-01
epoch 0025 | 102.28s | train_full 5.805721e-01 | test_full 5.860331e-01
epoch 0026 | 102.50s | train_full 5.895668e-01 | test_full 6.152788e-01
epoch 0027 | 102.70s | train_full 5.739812e-01 | test_full 5.869195e-01
epoch 0028 | 103.40s | train_full 5.782599e-01 | test_full 5.919528e-01
epoch 0029 | 102.83s | train_full 5.775393e-01 | test_full 6.067845e-01
epoch 0030 | 100.73s | train_full 5.745472e-01 | test_full 5.990615e-01
epoch 0031 | 101.31s | train_full 5.716956e-01 | test_full 5.783335e-01
epoch 0032 | 106.19s | train_full 5.822279e-01 | test_full 5.871287e-01
epoch 0033 | 104.74s | train_full 5.830773e-01 | test_full 5.960216e-01
epoch 0034 | 100.30s | train_full 5.606563e-01 | test_full 6.084079e-01
epoch 0035 | 101.15s | train_full 5.598037e-01 | test_full 5.880996e-01
epoch 0036 | 99.28s | train_full 5.514904e-01 | test_full 6.001742e-01
epoch 0037 | 103.73s | train_full 5.622549e-01 | test_full 5.924753e-01
epoch 0038 | 105.08s | train_full 5.455198e-01 | test_full 5.733381e-01
epoch 0039 | 98.52s | train_full 5.494824e-01 | test_full 5.915200e-01
epoch 0040 | 104.59s | train_full 5.522512e-01 | test_full 5.934444e-01
epoch 0041 | 103.71s | train_full 5.503325e-01 | test_full 5.914750e-01
epoch 0042 | 96.82s | train_full 5.416019e-01 | test_full 5.864011e-01
epoch 0043 | 103.46s | train_full 5.485747e-01 | test_full 5.976680e-01
epoch 0044 | 100.33s | train_full 5.500486e-01 | test_full 5.905648e-01
epoch 0045 | 102.53s | train_full 5.361051e-01 | test_full 5.884338e-01
epoch 0046 | 104.27s | train_full 5.517991e-01 | test_full 5.499525e-01
epoch 0047 | 103.52s | train_full 5.398453e-01 | test_full 5.843816e-01
epoch 0048 | 102.93s | train_full 5.377366e-01 | test_full 5.792684e-01
epoch 0049 | 102.14s | train_full 5.351892e-01 | test_full 5.744927e-01
epoch 0050 | 99.36s | train_full 5.386457e-01 | test_full 5.611581e-01
epoch 0051 | 101.44s | train_full 5.324406e-01 | test_full 5.711105e-01
epoch 0052 | 104.66s | train_full 5.451441e-01 | test_full 5.992363e-01
epoch 0053 | 111.26s | train_full 5.340004e-01 | test_full 6.057875e-01
epoch 0054 | 103.20s | train_full 5.225864e-01 | test_full 5.677180e-01
epoch 0055 | 102.04s | train_full 5.218695e-01 | test_full 5.707614e-01
epoch 0056 | 104.34s | train_full 5.300109e-01 | test_full 5.582337e-01
