nohup: ignoring input
epoch 0000 | 1.63s | train_full 6.468828e-01 | test_full 4.293210e-01
epoch 0001 | 0.65s | train_full 2.917482e-01 | test_full 2.151585e-01
epoch 0002 | 0.66s | train_full 1.884382e-01 | test_full 1.497395e-01
epoch 0003 | 0.65s | train_full 1.467872e-01 | test_full 1.284297e-01
epoch 0004 | 0.66s | train_full 1.212275e-01 | test_full 1.109275e-01
epoch 0005 | 0.61s | train_full 1.103491e-01 | test_full 9.526495e-02
epoch 0006 | 0.62s | train_full 9.692608e-02 | test_full 8.593726e-02
epoch 0007 | 0.73s | train_full 9.199025e-02 | test_full 8.134224e-02
epoch 0008 | 0.66s | train_full 8.433172e-02 | test_full 7.929140e-02
epoch 0009 | 0.63s | train_full 7.955070e-02 | test_full 7.735961e-02
epoch 0010 | 0.62s | train_full 7.697661e-02 | test_full 7.286518e-02
epoch 0011 | 0.62s | train_full 7.233838e-02 | test_full 6.760176e-02
epoch 0012 | 0.63s | train_full 6.677610e-02 | test_full 6.208371e-02
epoch 0013 | 0.62s | train_full 6.353544e-02 | test_full 5.838299e-02
epoch 0014 | 0.62s | train_full 5.888111e-02 | test_full 5.679855e-02
epoch 0015 | 0.62s | train_full 5.766767e-02 | test_full 5.737567e-02
epoch 0016 | 0.69s | train_full 5.467573e-02 | test_full 4.742912e-02
epoch 0017 | 0.62s | train_full 5.071138e-02 | test_full 4.673146e-02
epoch 0018 | 0.61s | train_full 5.020858e-02 | test_full 4.754851e-02
epoch 0019 | 0.63s | train_full 5.084806e-02 | test_full 4.784770e-02
epoch 0020 | 0.62s | train_full 4.862714e-02 | test_full 4.294325e-02
epoch 0021 | 0.61s | train_full 4.441179e-02 | test_full 4.660266e-02
epoch 0022 | 0.63s | train_full 3.918439e-02 | test_full 3.675880e-02
epoch 0023 | 0.61s | train_full 4.025902e-02 | test_full 3.848203e-02
epoch 0024 | 0.62s | train_full 3.869381e-02 | test_full 4.189438e-02
epoch 0025 | 0.63s | train_full 3.881841e-02 | test_full 3.729357e-02
epoch 0026 | 0.64s | train_full 3.950694e-02 | test_full 3.426265e-02
epoch 0027 | 0.63s | train_full 4.080629e-02 | test_full 4.186670e-02
epoch 0028 | 0.64s | train_full 3.745388e-02 | test_full 3.333549e-02
epoch 0029 | 0.63s | train_full 3.558508e-02 | test_full 3.446594e-02
epoch 0030 | 0.61s | train_full 3.540297e-02 | test_full 4.050163e-02
epoch 0031 | 0.62s | train_full 3.804205e-02 | test_full 3.584964e-02
epoch 0032 | 0.62s | train_full 3.538469e-02 | test_full 3.911570e-02
epoch 0033 | 0.64s | train_full 3.589688e-02 | test_full 4.077498e-02
epoch 0034 | 0.63s | train_full 3.260784e-02 | test_full 3.740155e-02
epoch 0035 | 0.61s | train_full 3.545320e-02 | test_full 3.107820e-02
epoch 0036 | 0.61s | train_full 3.314508e-02 | test_full 3.444217e-02
epoch 0037 | 0.63s | train_full 3.181800e-02 | test_full 3.265923e-02
epoch 0038 | 0.73s | train_full 3.139392e-02 | test_full 2.747498e-02
epoch 0039 | 0.64s | train_full 3.244175e-02 | test_full 3.546599e-02
epoch 0040 | 0.65s | train_full 3.438525e-02 | test_full 3.357735e-02
epoch 0041 | 0.66s | train_full 3.181246e-02 | test_full 2.871991e-02
epoch 0042 | 0.66s | train_full 3.425465e-02 | test_full 3.261265e-02
epoch 0043 | 0.64s | train_full 2.948989e-02 | test_full 3.187965e-02
epoch 0044 | 0.60s | train_full 2.821671e-02 | test_full 3.341281e-02
epoch 0045 | 0.63s | train_full 3.056803e-02 | test_full 2.937771e-02
epoch 0046 | 0.61s | train_full 2.994451e-02 | test_full 2.819435e-02
epoch 0047 | 0.60s | train_full 3.065061e-02 | test_full 3.695045e-02
epoch 0048 | 0.61s | train_full 3.132291e-02 | test_full 3.264520e-02
epoch 0049 | 0.62s | train_full 2.967626e-02 | test_full 2.803265e-02
epoch 0050 | 0.60s | train_full 2.835759e-02 | test_full 3.238458e-02
epoch 0051 | 0.61s | train_full 3.058380e-02 | test_full 2.740538e-02
epoch 0052 | 0.62s | train_full 3.068313e-02 | test_full 3.721871e-02
epoch 0053 | 0.60s | train_full 3.175375e-02 | test_full 3.493098e-02
epoch 0054 | 0.62s | train_full 3.167922e-02 | test_full 2.610522e-02
epoch 0055 | 0.60s | train_full 2.546673e-02 | test_full 2.314491e-02
epoch 0056 | 0.59s | train_full 2.610553e-02 | test_full 2.706722e-02
epoch 0057 | 0.62s | train_full 2.653505e-02 | test_full 3.221125e-02
epoch 0058 | 0.62s | train_full 3.427398e-02 | test_full 2.995816e-02
epoch 0059 | 0.61s | train_full 3.036333e-02 | test_full 2.508697e-02
epoch 0060 | 0.63s | train_full 2.769431e-02 | test_full 2.561578e-02
epoch 0061 | 0.61s | train_full 2.850273e-02 | test_full 2.820897e-02
epoch 0062 | 0.69s | train_full 3.365209e-02 | test_full 2.634910e-02
epoch 0063 | 0.64s | train_full 2.792717e-02 | test_full 2.875810e-02
epoch 0064 | 0.62s | train_full 2.700417e-02 | test_full 2.963896e-02
epoch 0065 | 0.59s | train_full 2.728013e-02 | test_full 3.036907e-02
epoch 0066 | 0.59s | train_full 2.919279e-02 | test_full 3.018040e-02
epoch 0067 | 0.62s | train_full 3.017978e-02 | test_full 3.020203e-02
epoch 0068 | 0.60s | train_full 2.774018e-02 | test_full 3.351506e-02
epoch 0069 | 0.62s | train_full 3.159433e-02 | test_full 2.976540e-02
epoch 0070 | 0.75s | train_full 3.315305e-02 | test_full 2.737993e-02
epoch 0071 | 0.65s | train_full 2.740020e-02 | test_full 2.326029e-02
epoch 0072 | 0.70s | train_full 2.481789e-02 | test_full 2.433881e-02
epoch 0073 | 0.62s | train_full 2.682603e-02 | test_full 2.907883e-02
epoch 0074 | 0.63s | train_full 2.645382e-02 | test_full 2.474891e-02
epoch 0075 | 0.62s | train_full 3.088619e-02 | test_full 2.248757e-02
epoch 0076 | 0.62s | train_full 2.642051e-02 | test_full 2.955205e-02
epoch 0077 | 0.62s | train_full 2.962819e-02 | test_full 2.729025e-02
epoch 0078 | 0.62s | train_full 3.132656e-02 | test_full 2.720935e-02
epoch 0079 | 0.63s | train_full 2.960351e-02 | test_full 3.765495e-02
epoch 0080 | 0.66s | train_full 3.233145e-02 | test_full 3.179317e-02
epoch 0081 | 0.62s | train_full 2.748320e-02 | test_full 2.469556e-02
epoch 0082 | 0.67s | train_full 2.875397e-02 | test_full 4.337811e-02
epoch 0083 | 0.68s | train_full 3.329378e-02 | test_full 3.136596e-02
epoch 0084 | 0.77s | train_full 2.696441e-02 | test_full 2.217926e-02
epoch 0085 | 0.63s | train_full 2.513612e-02 | test_full 2.252915e-02
epoch 0086 | 0.64s | train_full 2.529437e-02 | test_full 3.163692e-02
epoch 0087 | 0.64s | train_full 2.912252e-02 | test_full 2.594429e-02
epoch 0088 | 0.64s | train_full 2.722340e-02 | test_full 2.959250e-02
epoch 0089 | 0.69s | train_full 2.565282e-02 | test_full 2.329638e-02
epoch 0090 | 0.66s | train_full 2.524730e-02 | test_full 2.155044e-02
epoch 0091 | 0.66s | train_full 2.365965e-02 | test_full 2.833071e-02
epoch 0092 | 0.71s | train_full 2.810625e-02 | test_full 2.285154e-02
epoch 0093 | 0.75s | train_full 2.352310e-02 | test_full 2.579316e-02
epoch 0094 | 0.65s | train_full 2.567273e-02 | test_full 2.747738e-02
epoch 0095 | 0.69s | train_full 2.930900e-02 | test_full 2.585634e-02
epoch 0096 | 0.67s | train_full 2.522878e-02 | test_full 2.247196e-02
epoch 0097 | 0.66s | train_full 2.459994e-02 | test_full 2.988911e-02
epoch 0098 | 0.75s | train_full 3.033245e-02 | test_full 3.747490e-02
epoch 0099 | 0.65s | train_full 2.899465e-02 | test_full 2.762623e-02
epoch 0100 | 0.64s | train_full 2.415607e-02 | test_full 2.524063e-02
epoch 0101 | 0.64s | train_full 2.187938e-02 | test_full 2.029607e-02
epoch 0102 | 0.63s | train_full 2.052433e-02 | test_full 2.083299e-02
epoch 0103 | 0.63s | train_full 2.120180e-02 | test_full 2.022745e-02
epoch 0104 | 0.63s | train_full 2.086086e-02 | test_full 2.352426e-02
epoch 0105 | 0.70s | train_full 2.008618e-02 | test_full 2.042343e-02
epoch 0106 | 0.66s | train_full 1.998323e-02 | test_full 2.114236e-02
epoch 0107 | 0.65s | train_full 2.068311e-02 | test_full 2.127256e-02
epoch 0108 | 0.69s | train_full 2.142787e-02 | test_full 2.123822e-02
epoch 0109 | 0.68s | train_full 2.175498e-02 | test_full 2.092571e-02
epoch 0110 | 0.65s | train_full 2.077409e-02 | test_full 1.965647e-02
epoch 0111 | 0.65s | train_full 1.987842e-02 | test_full 2.008902e-02
epoch 0112 | 0.70s | train_full 2.103809e-02 | test_full 2.006506e-02
epoch 0113 | 0.61s | train_full 2.153208e-02 | test_full 2.223747e-02
epoch 0114 | 0.62s | train_full 2.181335e-02 | test_full 1.921294e-02
epoch 0115 | 0.64s | train_full 1.922678e-02 | test_full 1.886679e-02
epoch 0116 | 0.64s | train_full 1.893854e-02 | test_full 1.904512e-02
epoch 0117 | 0.63s | train_full 1.918071e-02 | test_full 1.988519e-02
epoch 0118 | 0.67s | train_full 2.088364e-02 | test_full 1.901197e-02
epoch 0119 | 0.66s | train_full 2.004882e-02 | test_full 2.088782e-02
epoch 0120 | 0.67s | train_full 2.031296e-02 | test_full 2.061752e-02
epoch 0121 | 0.71s | train_full 2.131336e-02 | test_full 2.105327e-02
epoch 0122 | 0.62s | train_full 2.097575e-02 | test_full 2.082671e-02
epoch 0123 | 0.66s | train_full 2.151843e-02 | test_full 2.518989e-02
epoch 0124 | 0.77s | train_full 2.244754e-02 | test_full 2.105800e-02
epoch 0125 | 0.68s | train_full 2.072435e-02 | test_full 1.903967e-02
epoch 0126 | 0.70s | train_full 2.126286e-02 | test_full 2.443734e-02
epoch 0127 | 0.66s | train_full 2.345942e-02 | test_full 2.586189e-02
epoch 0128 | 0.83s | train_full 2.327247e-02 | test_full 1.923265e-02
epoch 0129 | 0.65s | train_full 2.148420e-02 | test_full 2.032764e-02
epoch 0130 | 0.69s | train_full 1.882253e-02 | test_full 2.040394e-02
epoch 0131 | 0.68s | train_full 1.950025e-02 | test_full 1.824709e-02
epoch 0132 | 0.65s | train_full 1.875599e-02 | test_full 2.054045e-02
epoch 0133 | 0.65s | train_full 2.228680e-02 | test_full 2.136126e-02
epoch 0134 | 0.68s | train_full 1.999835e-02 | test_full 1.880137e-02
epoch 0135 | 0.66s | train_full 2.051096e-02 | test_full 2.094610e-02
epoch 0136 | 0.66s | train_full 2.055926e-02 | test_full 2.038497e-02
epoch 0137 | 0.68s | train_full 2.039050e-02 | test_full 1.976846e-02
epoch 0138 | 0.70s | train_full 1.974351e-02 | test_full 2.066987e-02
epoch 0139 | 0.68s | train_full 1.965952e-02 | test_full 1.996627e-02
epoch 0140 | 0.68s | train_full 1.977917e-02 | test_full 1.871573e-02
epoch 0141 | 0.67s | train_full 2.114528e-02 | test_full 1.913293e-02
epoch 0142 | 0.68s | train_full 2.021715e-02 | test_full 1.997196e-02
epoch 0143 | 0.68s | train_full 1.927678e-02 | test_full 1.933511e-02
epoch 0144 | 0.71s | train_full 1.936352e-02 | test_full 1.891141e-02
epoch 0145 | 0.66s | train_full 1.971993e-02 | test_full 2.164985e-02
epoch 0146 | 0.67s | train_full 1.929935e-02 | test_full 1.881496e-02
epoch 0147 | 0.66s | train_full 2.011029e-02 | test_full 1.918122e-02
epoch 0148 | 0.65s | train_full 1.968735e-02 | test_full 1.931816e-02
epoch 0149 | 0.62s | train_full 1.973677e-02 | test_full 1.832956e-02
epoch 0150 | 0.62s | train_full 1.840325e-02 | test_full 1.879986e-02
epoch 0151 | 0.64s | train_full 1.924803e-02 | test_full 1.821233e-02
epoch 0152 | 0.62s | train_full 1.872673e-02 | test_full 1.774875e-02
epoch 0153 | 0.67s | train_full 1.937099e-02 | test_full 2.091320e-02
epoch 0154 | 0.64s | train_full 2.075914e-02 | test_full 1.944931e-02
epoch 0155 | 0.61s | train_full 1.920584e-02 | test_full 1.931100e-02
epoch 0156 | 0.62s | train_full 1.876083e-02 | test_full 1.983256e-02
epoch 0157 | 0.70s | train_full 1.874973e-02 | test_full 1.930982e-02
epoch 0158 | 0.62s | train_full 1.876639e-02 | test_full 1.975383e-02
epoch 0159 | 0.62s | train_full 1.976559e-02 | test_full 1.953241e-02
epoch 0160 | 0.63s | train_full 2.005977e-02 | test_full 2.021384e-02
epoch 0161 | 0.63s | train_full 1.906846e-02 | test_full 1.941584e-02
