nohup: ignoring input
epoch 0000 | 107.96s | train_full 8.048928e-01 | test_full 7.032267e-01
epoch 0001 | 106.12s | train_full 6.396927e-01 | test_full 5.427858e-01
epoch 0002 | 104.40s | train_full 5.102561e-01 | test_full 4.838629e-01
epoch 0003 | 103.95s | train_full 4.733676e-01 | test_full 4.648921e-01
epoch 0004 | 106.26s | train_full 4.622815e-01 | test_full 4.533733e-01
epoch 0005 | 105.06s | train_full 4.504341e-01 | test_full 4.417492e-01
epoch 0006 | 110.34s | train_full 4.470778e-01 | test_full 4.542191e-01
epoch 0007 | 107.07s | train_full 4.424219e-01 | test_full 4.318308e-01
epoch 0008 | 106.40s | train_full 4.408549e-01 | test_full 4.283835e-01
epoch 0009 | 104.92s | train_full 4.373473e-01 | test_full 4.476115e-01
epoch 0010 | 105.25s | train_full 4.348768e-01 | test_full 4.279432e-01
epoch 0011 | 109.34s | train_full 4.344447e-01 | test_full 4.219239e-01
epoch 0012 | 104.45s | train_full 4.269569e-01 | test_full 4.197299e-01
epoch 0013 | 107.48s | train_full 4.261268e-01 | test_full 4.176037e-01
epoch 0014 | 108.80s | train_full 4.217450e-01 | test_full 4.101341e-01
epoch 0015 | 105.52s | train_full 4.142802e-01 | test_full 4.181040e-01
epoch 0016 | 105.23s | train_full 4.124572e-01 | test_full 4.019551e-01
epoch 0017 | 104.77s | train_full 4.071417e-01 | test_full 3.955403e-01
epoch 0018 | 105.97s | train_full 4.042610e-01 | test_full 3.922344e-01
epoch 0019 | 103.48s | train_full 4.042768e-01 | test_full 3.974620e-01
epoch 0020 | 104.77s | train_full 4.000279e-01 | test_full 3.924829e-01
epoch 0021 | 106.30s | train_full 4.013561e-01 | test_full 3.961708e-01
epoch 0022 | 105.13s | train_full 3.949643e-01 | test_full 3.827995e-01
epoch 0023 | 106.93s | train_full 3.923571e-01 | test_full 3.822596e-01
epoch 0024 | 106.62s | train_full 3.908157e-01 | test_full 3.910233e-01
epoch 0025 | 105.15s | train_full 3.919088e-01 | test_full 3.818625e-01
epoch 0026 | 106.28s | train_full 3.843982e-01 | test_full 3.762823e-01
epoch 0027 | 104.21s | train_full 3.869644e-01 | test_full 3.705451e-01
epoch 0028 | 104.33s | train_full 3.815226e-01 | test_full 3.767225e-01
epoch 0029 | 105.55s | train_full 3.779053e-01 | test_full 3.718857e-01
epoch 0030 | 104.61s | train_full 3.803836e-01 | test_full 3.682544e-01
epoch 0031 | 105.12s | train_full 3.741895e-01 | test_full 3.795774e-01
epoch 0032 | 106.85s | train_full 3.767571e-01 | test_full 3.660117e-01
epoch 0033 | 106.14s | train_full 3.732778e-01 | test_full 3.677519e-01
epoch 0034 | 107.60s | train_full 3.728284e-01 | test_full 3.688180e-01
epoch 0035 | 107.44s | train_full 3.730118e-01 | test_full 3.701421e-01
epoch 0036 | 108.29s | train_full 3.713067e-01 | test_full 3.649119e-01
epoch 0037 | 105.54s | train_full 3.706400e-01 | test_full 3.639725e-01
epoch 0038 | 105.36s | train_full 3.741273e-01 | test_full 3.608143e-01
epoch 0039 | 106.08s | train_full 3.666361e-01 | test_full 3.643957e-01
epoch 0040 | 106.42s | train_full 3.665093e-01 | test_full 3.670792e-01
epoch 0041 | 104.95s | train_full 3.644090e-01 | test_full 3.507143e-01
epoch 0042 | 105.83s | train_full 3.641475e-01 | test_full 3.629436e-01
epoch 0043 | 105.67s | train_full 3.636941e-01 | test_full 3.551103e-01
epoch 0044 | 104.37s | train_full 3.596225e-01 | test_full 3.662536e-01
epoch 0045 | 105.88s | train_full 3.611754e-01 | test_full 3.484043e-01
epoch 0046 | 105.99s | train_full 3.603320e-01 | test_full 3.696867e-01
epoch 0047 | 104.73s | train_full 3.629952e-01 | test_full 3.485557e-01
epoch 0048 | 105.89s | train_full 3.589359e-01 | test_full 3.555662e-01
epoch 0049 | 106.76s | train_full 3.559030e-01 | test_full 3.504167e-01
epoch 0050 | 105.10s | train_full 3.590997e-01 | test_full 3.527444e-01
epoch 0051 | 103.55s | train_full 3.518970e-01 | test_full 3.443717e-01
epoch 0052 | 107.25s | train_full 3.536638e-01 | test_full 3.614887e-01
epoch 0053 | 107.44s | train_full 3.573424e-01 | test_full 3.595685e-01
epoch 0054 | 105.97s | train_full 3.516426e-01 | test_full 3.425822e-01
epoch 0055 | 104.74s | train_full 3.491037e-01 | test_full 3.406970e-01
epoch 0056 | 106.23s | train_full 3.546210e-01 | test_full 3.642305e-01
epoch 0057 | 105.82s | train_full 3.518233e-01 | test_full 3.730966e-01
epoch 0058 | 106.28s | train_full 3.545198e-01 | test_full 3.473973e-01
epoch 0059 | 107.64s | train_full 3.468638e-01 | test_full 3.388824e-01
epoch 0060 | 106.14s | train_full 3.503821e-01 | test_full 3.472832e-01
epoch 0061 | 107.56s | train_full 3.456958e-01 | test_full 3.396742e-01
epoch 0062 | 106.97s | train_full 3.465206e-01 | test_full 3.363180e-01
epoch 0063 | 107.90s | train_full 3.458194e-01 | test_full 3.456295e-01
epoch 0064 | 106.70s | train_full 3.469561e-01 | test_full 3.484369e-01
epoch 0065 | 106.45s | train_full 3.456870e-01 | test_full 3.374868e-01
epoch 0066 | 107.78s | train_full 3.467065e-01 | test_full 3.432931e-01
epoch 0067 | 109.37s | train_full 3.493506e-01 | test_full 3.539635e-01
epoch 0068 | 106.56s | train_full 3.484584e-01 | test_full 3.427594e-01
epoch 0069 | 106.19s | train_full 3.410410e-01 | test_full 3.464161e-01
epoch 0070 | 106.81s | train_full 3.458027e-01 | test_full 3.336929e-01
epoch 0071 | 105.69s | train_full 3.418660e-01 | test_full 3.496750e-01
epoch 0072 | 105.76s | train_full 3.433005e-01 | test_full 3.355559e-01
epoch 0073 | 105.29s | train_full 3.419182e-01 | test_full 3.368206e-01
epoch 0074 | 107.28s | train_full 3.398850e-01 | test_full 3.620564e-01
epoch 0075 | 106.98s | train_full 3.424560e-01 | test_full 3.302723e-01
epoch 0076 | 105.31s | train_full 3.400267e-01 | test_full 3.317304e-01
epoch 0077 | 104.12s | train_full 3.399177e-01 | test_full 3.226390e-01
epoch 0078 | 104.47s | train_full 3.378689e-01 | test_full 3.294960e-01
epoch 0079 | 105.55s | train_full 3.381938e-01 | test_full 3.496818e-01
epoch 0080 | 106.88s | train_full 3.386043e-01 | test_full 3.276873e-01
epoch 0081 | 104.71s | train_full 3.393679e-01 | test_full 3.222325e-01
epoch 0082 | 104.19s | train_full 3.375237e-01 | test_full 3.461168e-01
epoch 0083 | 104.24s | train_full 3.396291e-01 | test_full 3.459952e-01
epoch 0084 | 107.28s | train_full 3.402314e-01 | test_full 3.336236e-01
