nohup: ignoring input
epoch 0000 | 390.40s | train_full 5.736407e-01 | test_full 9.801595e-02
epoch 0001 | 392.94s | train_full 7.334677e-02 | test_full 5.919776e-02
epoch 0002 | 393.80s | train_full 5.468296e-02 | test_full 5.487252e-02
epoch 0003 | 392.42s | train_full 5.087387e-02 | test_full 5.027503e-02
epoch 0004 | 392.11s | train_full 4.804504e-02 | test_full 4.835033e-02
epoch 0005 | 392.36s | train_full 4.543532e-02 | test_full 4.341291e-02
epoch 0006 | 394.47s | train_full 4.268798e-02 | test_full 4.105923e-02
epoch 0007 | 394.56s | train_full 4.060169e-02 | test_full 4.048931e-02
epoch 0008 | 394.33s | train_full 3.979006e-02 | test_full 3.964493e-02
epoch 0009 | 393.04s | train_full 3.682125e-02 | test_full 3.632444e-02
epoch 0010 | 396.29s | train_full 3.238228e-02 | test_full 2.792130e-02
epoch 0011 | 395.78s | train_full 2.627353e-02 | test_full 2.171922e-02
epoch 0012 | 395.58s | train_full 2.261540e-02 | test_full 2.885632e-02
epoch 0013 | 392.41s | train_full 2.359575e-02 | test_full 2.381234e-02
epoch 0014 | 394.69s | train_full 2.331779e-02 | test_full 2.236454e-02
epoch 0015 | 395.08s | train_full 2.207285e-02 | test_full 2.368006e-02
epoch 0016 | 395.94s | train_full 2.179268e-02 | test_full 1.931432e-02
epoch 0017 | 392.68s | train_full 2.135985e-02 | test_full 1.929043e-02
epoch 0018 | 393.60s | train_full 2.133530e-02 | test_full 2.012196e-02
epoch 0019 | 392.59s | train_full 2.001642e-02 | test_full 1.826541e-02
epoch 0020 | 393.23s | train_full 2.124714e-02 | test_full 2.011516e-02
epoch 0021 | 393.52s | train_full 2.100129e-02 | test_full 2.773934e-02
epoch 0022 | 392.42s | train_full 2.121249e-02 | test_full 1.950500e-02
epoch 0023 | 393.81s | train_full 2.061155e-02 | test_full 1.830470e-02
epoch 0024 | 392.37s | train_full 2.113112e-02 | test_full 2.466838e-02
epoch 0025 | 395.96s | train_full 2.179320e-02 | test_full 2.260813e-02
epoch 0026 | 395.93s | train_full 2.058055e-02 | test_full 1.821859e-02
epoch 0027 | 392.78s | train_full 2.060076e-02 | test_full 1.726618e-02
epoch 0028 | 387.34s | train_full 2.003412e-02 | test_full 1.899749e-02
epoch 0029 | 387.57s | train_full 2.177650e-02 | test_full 1.731749e-02
epoch 0030 | 386.70s | train_full 1.901988e-02 | test_full 1.676649e-02
epoch 0031 | 386.83s | train_full 1.945274e-02 | test_full 1.653088e-02
epoch 0032 | 386.26s | train_full 1.814057e-02 | test_full 1.918802e-02
epoch 0033 | 388.08s | train_full 2.109018e-02 | test_full 2.393138e-02
epoch 0034 | 387.96s | train_full 2.074113e-02 | test_full 2.656631e-02
epoch 0035 | 387.25s | train_full 1.960481e-02 | test_full 1.959753e-02
epoch 0036 | 387.57s | train_full 2.042981e-02 | test_full 1.932602e-02
epoch 0037 | 387.05s | train_full 2.099171e-02 | test_full 2.058010e-02
epoch 0038 | 389.41s | train_full 1.992024e-02 | test_full 1.835664e-02
epoch 0039 | 387.94s | train_full 2.132715e-02 | test_full 1.854004e-02
epoch 0040 | 389.30s | train_full 2.009844e-02 | test_full 2.206655e-02
epoch 0041 | 387.66s | train_full 2.023213e-02 | test_full 1.771935e-02
epoch 0042 | 388.59s | train_full 2.204370e-02 | test_full 2.451201e-02
epoch 0043 | 389.75s | train_full 1.775367e-02 | test_full 1.515381e-02
epoch 0044 | 388.87s | train_full 1.844997e-02 | test_full 2.183069e-02
epoch 0045 | 386.87s | train_full 1.985985e-02 | test_full 2.449130e-02
epoch 0046 | 387.82s | train_full 1.856156e-02 | test_full 2.296801e-02
epoch 0047 | 389.16s | train_full 1.824104e-02 | test_full 1.867231e-02
epoch 0048 | 389.47s | train_full 1.894350e-02 | test_full 2.305971e-02
epoch 0049 | 390.23s | train_full 1.888701e-02 | test_full 1.777449e-02
epoch 0050 | 388.76s | train_full 2.280039e-02 | test_full 2.703418e-02
epoch 0051 | 388.47s | train_full 2.241433e-02 | test_full 2.340865e-02
epoch 0052 | 388.13s | train_full 2.316719e-02 | test_full 2.393182e-02
epoch 0053 | 388.87s | train_full 2.091783e-02 | test_full 1.992770e-02
epoch 0054 | 389.05s | train_full 1.981868e-02 | test_full 1.568063e-02
epoch 0055 | 389.25s | train_full 2.303523e-02 | test_full 2.775949e-02
epoch 0056 | 389.15s | train_full 2.215381e-02 | test_full 2.088724e-02
