nohup: ignoring input
epoch 0000 | 1.51s | train_full 6.617183e-01 | test_full 3.896947e-01
epoch 0001 | 0.63s | train_full 2.945345e-01 | test_full 2.103208e-01
epoch 0002 | 0.59s | train_full 1.859179e-01 | test_full 1.541747e-01
epoch 0003 | 0.60s | train_full 1.452175e-01 | test_full 1.234328e-01
epoch 0004 | 0.66s | train_full 1.178057e-01 | test_full 9.966974e-02
epoch 0005 | 0.58s | train_full 1.020623e-01 | test_full 9.200000e-02
epoch 0006 | 0.62s | train_full 9.051966e-02 | test_full 8.075561e-02
epoch 0007 | 0.59s | train_full 8.209582e-02 | test_full 7.918755e-02
epoch 0008 | 0.58s | train_full 7.836714e-02 | test_full 7.431462e-02
epoch 0009 | 0.59s | train_full 7.326381e-02 | test_full 6.922912e-02
epoch 0010 | 0.60s | train_full 7.023844e-02 | test_full 6.246941e-02
epoch 0011 | 0.58s | train_full 6.524184e-02 | test_full 6.221772e-02
epoch 0012 | 0.58s | train_full 6.326252e-02 | test_full 5.792936e-02
epoch 0013 | 0.60s | train_full 5.713211e-02 | test_full 5.503441e-02
epoch 0014 | 0.59s | train_full 5.476474e-02 | test_full 4.870666e-02
epoch 0015 | 0.58s | train_full 5.008489e-02 | test_full 4.812859e-02
epoch 0016 | 0.59s | train_full 4.849343e-02 | test_full 4.596004e-02
epoch 0017 | 0.59s | train_full 4.700498e-02 | test_full 5.317729e-02
epoch 0018 | 0.58s | train_full 4.842789e-02 | test_full 4.806985e-02
epoch 0019 | 0.58s | train_full 4.357422e-02 | test_full 4.057540e-02
epoch 0020 | 0.64s | train_full 4.481036e-02 | test_full 4.607508e-02
epoch 0021 | 0.60s | train_full 4.145201e-02 | test_full 3.722045e-02
epoch 0022 | 0.65s | train_full 4.554106e-02 | test_full 4.117443e-02
epoch 0023 | 0.61s | train_full 4.417200e-02 | test_full 3.912985e-02
epoch 0024 | 0.60s | train_full 4.042972e-02 | test_full 3.885758e-02
epoch 0025 | 0.58s | train_full 3.723666e-02 | test_full 3.429959e-02
epoch 0026 | 0.59s | train_full 3.708648e-02 | test_full 3.288732e-02
epoch 0027 | 0.59s | train_full 4.067849e-02 | test_full 3.797080e-02
epoch 0028 | 0.58s | train_full 3.536378e-02 | test_full 3.407937e-02
epoch 0029 | 0.60s | train_full 3.587175e-02 | test_full 3.478398e-02
epoch 0030 | 0.60s | train_full 3.791033e-02 | test_full 3.933911e-02
epoch 0031 | 0.59s | train_full 4.227194e-02 | test_full 3.575429e-02
epoch 0032 | 0.59s | train_full 4.005327e-02 | test_full 4.242325e-02
epoch 0033 | 0.59s | train_full 3.895681e-02 | test_full 3.809940e-02
epoch 0034 | 0.59s | train_full 3.914860e-02 | test_full 4.370619e-02
epoch 0035 | 0.59s | train_full 3.942675e-02 | test_full 3.977948e-02
epoch 0036 | 0.59s | train_full 3.542694e-02 | test_full 3.582270e-02
epoch 0037 | 0.59s | train_full 3.167683e-02 | test_full 2.942909e-02
epoch 0038 | 0.59s | train_full 3.182259e-02 | test_full 3.238878e-02
epoch 0039 | 0.61s | train_full 3.553040e-02 | test_full 3.877209e-02
epoch 0040 | 0.58s | train_full 3.225782e-02 | test_full 2.912116e-02
epoch 0041 | 0.60s | train_full 3.117993e-02 | test_full 3.376845e-02
epoch 0042 | 0.68s | train_full 3.212985e-02 | test_full 3.181256e-02
epoch 0043 | 0.58s | train_full 3.208992e-02 | test_full 4.526406e-02
epoch 0044 | 0.59s | train_full 4.621958e-02 | test_full 4.234690e-02
epoch 0045 | 0.60s | train_full 3.470586e-02 | test_full 2.788284e-02
epoch 0046 | 0.60s | train_full 3.230213e-02 | test_full 2.753821e-02
epoch 0047 | 0.58s | train_full 2.874943e-02 | test_full 2.901572e-02
epoch 0048 | 0.60s | train_full 3.275441e-02 | test_full 2.690698e-02
epoch 0049 | 0.61s | train_full 3.069378e-02 | test_full 2.553982e-02
epoch 0050 | 0.59s | train_full 3.186270e-02 | test_full 3.954956e-02
epoch 0051 | 0.61s | train_full 3.245245e-02 | test_full 3.255783e-02
epoch 0052 | 0.63s | train_full 3.003154e-02 | test_full 3.126902e-02
epoch 0053 | 0.60s | train_full 2.953523e-02 | test_full 2.716042e-02
epoch 0054 | 0.59s | train_full 2.992630e-02 | test_full 2.909505e-02
epoch 0055 | 0.60s | train_full 2.772976e-02 | test_full 2.807497e-02
epoch 0056 | 0.63s | train_full 2.777439e-02 | test_full 3.034911e-02
epoch 0057 | 0.58s | train_full 2.898011e-02 | test_full 3.604178e-02
epoch 0058 | 0.59s | train_full 3.098568e-02 | test_full 3.040439e-02
epoch 0059 | 0.59s | train_full 3.006495e-02 | test_full 3.447105e-02
epoch 0060 | 0.62s | train_full 3.156211e-02 | test_full 2.994859e-02
epoch 0061 | 0.65s | train_full 3.053794e-02 | test_full 2.815916e-02
epoch 0062 | 0.60s | train_full 2.892558e-02 | test_full 4.049739e-02
epoch 0063 | 0.61s | train_full 3.238666e-02 | test_full 3.103130e-02
epoch 0064 | 0.58s | train_full 3.228076e-02 | test_full 3.148741e-02
epoch 0065 | 0.64s | train_full 2.964123e-02 | test_full 2.487003e-02
epoch 0066 | 0.59s | train_full 2.839901e-02 | test_full 2.981094e-02
epoch 0067 | 0.67s | train_full 2.919024e-02 | test_full 2.756658e-02
epoch 0068 | 0.60s | train_full 2.590778e-02 | test_full 2.527046e-02
epoch 0069 | 0.62s | train_full 2.535028e-02 | test_full 2.541864e-02
epoch 0070 | 0.60s | train_full 3.114968e-02 | test_full 3.440978e-02
epoch 0071 | 0.61s | train_full 3.480334e-02 | test_full 3.101769e-02
epoch 0072 | 0.62s | train_full 2.948310e-02 | test_full 2.611846e-02
epoch 0073 | 0.59s | train_full 2.701959e-02 | test_full 2.797397e-02
epoch 0074 | 0.63s | train_full 2.784297e-02 | test_full 2.688462e-02
epoch 0075 | 0.58s | train_full 2.691710e-02 | test_full 2.370286e-02
epoch 0076 | 0.58s | train_full 2.509224e-02 | test_full 2.817528e-02
epoch 0077 | 0.60s | train_full 2.590588e-02 | test_full 2.550335e-02
epoch 0078 | 0.59s | train_full 2.590150e-02 | test_full 3.259320e-02
epoch 0079 | 0.59s | train_full 2.731887e-02 | test_full 2.644746e-02
epoch 0080 | 0.59s | train_full 2.554187e-02 | test_full 2.396706e-02
epoch 0081 | 0.68s | train_full 2.598255e-02 | test_full 3.478649e-02
epoch 0082 | 0.59s | train_full 2.882165e-02 | test_full 2.844498e-02
epoch 0083 | 0.58s | train_full 2.568473e-02 | test_full 2.718251e-02
epoch 0084 | 0.61s | train_full 2.661462e-02 | test_full 2.536779e-02
epoch 0085 | 0.61s | train_full 2.788004e-02 | test_full 4.869008e-02
epoch 0086 | 0.59s | train_full 3.331855e-02 | test_full 2.921750e-02
epoch 0087 | 0.59s | train_full 2.600514e-02 | test_full 2.681532e-02
epoch 0088 | 0.62s | train_full 2.455783e-02 | test_full 2.339507e-02
epoch 0089 | 0.61s | train_full 2.363377e-02 | test_full 2.304347e-02
epoch 0090 | 0.58s | train_full 2.484327e-02 | test_full 2.533489e-02
epoch 0091 | 0.60s | train_full 2.613383e-02 | test_full 2.490001e-02
epoch 0092 | 0.61s | train_full 2.985687e-02 | test_full 3.241932e-02
epoch 0093 | 0.60s | train_full 3.405048e-02 | test_full 3.228179e-02
epoch 0094 | 0.60s | train_full 3.363717e-02 | test_full 2.961942e-02
epoch 0095 | 0.59s | train_full 2.648751e-02 | test_full 2.416717e-02
epoch 0096 | 0.62s | train_full 2.575666e-02 | test_full 2.577284e-02
epoch 0097 | 0.62s | train_full 2.645800e-02 | test_full 2.619168e-02
epoch 0098 | 0.59s | train_full 2.751439e-02 | test_full 2.284565e-02
epoch 0099 | 0.60s | train_full 2.605340e-02 | test_full 2.439090e-02
epoch 0100 | 0.63s | train_full 2.240567e-02 | test_full 2.449385e-02
