nohup: ignoring input
epoch 0000 | 112.74s | train_full 8.018373e-01 | test_full 6.989591e-01
epoch 0001 | 111.21s | train_full 6.326779e-01 | test_full 5.550635e-01
epoch 0002 | 110.50s | train_full 5.003360e-01 | test_full 4.929075e-01
epoch 0003 | 111.73s | train_full 4.732127e-01 | test_full 4.703140e-01
epoch 0004 | 110.64s | train_full 4.556136e-01 | test_full 4.420334e-01
epoch 0005 | 108.29s | train_full 4.404327e-01 | test_full 4.236777e-01
epoch 0006 | 105.07s | train_full 4.282652e-01 | test_full 4.122587e-01
epoch 0007 | 106.51s | train_full 4.184167e-01 | test_full 4.168766e-01
epoch 0008 | 107.31s | train_full 4.164366e-01 | test_full 4.012671e-01
epoch 0009 | 106.83s | train_full 4.067040e-01 | test_full 4.034360e-01
epoch 0010 | 104.61s | train_full 4.043025e-01 | test_full 3.876004e-01
epoch 0011 | 104.55s | train_full 3.993755e-01 | test_full 3.906802e-01
epoch 0012 | 104.88s | train_full 3.917761e-01 | test_full 3.898747e-01
epoch 0013 | 106.80s | train_full 3.916529e-01 | test_full 3.817660e-01
epoch 0014 | 104.72s | train_full 3.876673e-01 | test_full 3.741507e-01
epoch 0015 | 105.82s | train_full 3.844556e-01 | test_full 3.692340e-01
epoch 0016 | 106.66s | train_full 3.805001e-01 | test_full 3.674787e-01
epoch 0017 | 106.71s | train_full 3.796546e-01 | test_full 3.745781e-01
epoch 0018 | 103.89s | train_full 3.762930e-01 | test_full 3.664307e-01
epoch 0019 | 103.96s | train_full 3.741845e-01 | test_full 3.864038e-01
epoch 0020 | 108.41s | train_full 3.781169e-01 | test_full 3.791403e-01
epoch 0021 | 107.76s | train_full 3.773043e-01 | test_full 3.880197e-01
epoch 0022 | 107.64s | train_full 3.795582e-01 | test_full 3.780350e-01
epoch 0023 | 107.48s | train_full 3.667532e-01 | test_full 3.555761e-01
epoch 0024 | 106.72s | train_full 3.655427e-01 | test_full 3.657592e-01
epoch 0025 | 106.67s | train_full 3.657982e-01 | test_full 3.784162e-01
epoch 0026 | 106.71s | train_full 3.652041e-01 | test_full 3.548748e-01
epoch 0027 | 107.63s | train_full 3.677076e-01 | test_full 3.541751e-01
epoch 0028 | 106.63s | train_full 3.627413e-01 | test_full 3.582864e-01
epoch 0029 | 104.31s | train_full 3.649824e-01 | test_full 3.587448e-01
epoch 0030 | 105.28s | train_full 3.618320e-01 | test_full 3.620069e-01
epoch 0031 | 104.42s | train_full 3.610185e-01 | test_full 3.770632e-01
epoch 0032 | 104.63s | train_full 3.593341e-01 | test_full 3.537857e-01
epoch 0033 | 105.49s | train_full 3.647200e-01 | test_full 3.496401e-01
epoch 0034 | 106.24s | train_full 3.599910e-01 | test_full 3.829635e-01
epoch 0035 | 104.22s | train_full 3.628852e-01 | test_full 3.648552e-01
epoch 0036 | 102.65s | train_full 3.534296e-01 | test_full 3.524132e-01
epoch 0037 | 103.43s | train_full 3.569801e-01 | test_full 3.497203e-01
epoch 0038 | 102.82s | train_full 3.497823e-01 | test_full 3.420008e-01
epoch 0039 | 103.56s | train_full 3.555274e-01 | test_full 3.464154e-01
epoch 0040 | 102.30s | train_full 3.515426e-01 | test_full 3.722317e-01
epoch 0041 | 100.94s | train_full 3.552366e-01 | test_full 3.413969e-01
epoch 0042 | 101.63s | train_full 3.505336e-01 | test_full 3.422713e-01
epoch 0043 | 100.83s | train_full 3.504250e-01 | test_full 3.629133e-01
epoch 0044 | 100.97s | train_full 3.514223e-01 | test_full 3.366690e-01
epoch 0045 | 101.83s | train_full 3.466985e-01 | test_full 3.450898e-01
epoch 0046 | 103.22s | train_full 3.472139e-01 | test_full 3.734512e-01
epoch 0047 | 102.79s | train_full 3.507589e-01 | test_full 3.357193e-01
epoch 0048 | 104.38s | train_full 3.447950e-01 | test_full 3.445754e-01
epoch 0049 | 105.24s | train_full 3.424630e-01 | test_full 3.418315e-01
epoch 0050 | 104.29s | train_full 3.427334e-01 | test_full 3.320181e-01
epoch 0051 | 104.51s | train_full 3.440350e-01 | test_full 3.498093e-01
epoch 0052 | 105.07s | train_full 3.414434e-01 | test_full 3.361447e-01
epoch 0053 | 104.26s | train_full 3.417648e-01 | test_full 3.351777e-01
epoch 0054 | 103.15s | train_full 3.415640e-01 | test_full 3.338198e-01
epoch 0055 | 103.95s | train_full 3.393025e-01 | test_full 3.398582e-01
epoch 0056 | 101.74s | train_full 3.403024e-01 | test_full 3.395631e-01
epoch 0057 | 101.59s | train_full 3.439082e-01 | test_full 3.435056e-01
epoch 0058 | 104.64s | train_full 3.447232e-01 | test_full 3.370863e-01
epoch 0059 | 104.25s | train_full 3.372248e-01 | test_full 3.263042e-01
epoch 0060 | 104.02s | train_full 3.364693e-01 | test_full 3.303448e-01
epoch 0061 | 104.01s | train_full 3.448399e-01 | test_full 3.300172e-01
epoch 0062 | 105.03s | train_full 3.433577e-01 | test_full 3.256099e-01
epoch 0063 | 103.05s | train_full 3.412538e-01 | test_full 3.385459e-01
epoch 0064 | 103.81s | train_full 3.457353e-01 | test_full 3.372123e-01
epoch 0065 | 104.13s | train_full 3.425354e-01 | test_full 3.346253e-01
epoch 0066 | 102.90s | train_full 3.352948e-01 | test_full 3.287352e-01
epoch 0067 | 101.19s | train_full 3.393870e-01 | test_full 3.392469e-01
