nohup: ignoring input
epoch 0000 | 385.04s | train_full 5.782917e-01 | test_full 1.083669e-01
epoch 0001 | 388.24s | train_full 9.119081e-02 | test_full 7.226276e-02
epoch 0002 | 389.38s | train_full 5.684304e-02 | test_full 5.384261e-02
epoch 0003 | 389.96s | train_full 5.152815e-02 | test_full 5.033725e-02
epoch 0004 | 389.64s | train_full 4.971907e-02 | test_full 5.036543e-02
epoch 0005 | 389.98s | train_full 4.733787e-02 | test_full 4.579720e-02
epoch 0006 | 389.56s | train_full 4.533492e-02 | test_full 4.623942e-02
epoch 0007 | 388.46s | train_full 4.278402e-02 | test_full 4.145936e-02
epoch 0008 | 388.02s | train_full 4.022035e-02 | test_full 3.999620e-02
epoch 0009 | 388.81s | train_full 3.832418e-02 | test_full 3.961931e-02
epoch 0010 | 389.02s | train_full 3.360988e-02 | test_full 2.949191e-02
epoch 0011 | 388.46s | train_full 2.607620e-02 | test_full 2.406525e-02
epoch 0012 | 387.67s | train_full 2.329315e-02 | test_full 2.639443e-02
epoch 0013 | 388.05s | train_full 2.144736e-02 | test_full 1.946396e-02
epoch 0014 | 387.97s | train_full 2.212303e-02 | test_full 2.071943e-02
epoch 0015 | 387.37s | train_full 2.108416e-02 | test_full 2.384610e-02
epoch 0016 | 387.64s | train_full 2.132158e-02 | test_full 1.890401e-02
epoch 0017 | 388.48s | train_full 2.006495e-02 | test_full 1.898243e-02
epoch 0018 | 389.26s | train_full 2.119675e-02 | test_full 2.000962e-02
epoch 0019 | 388.26s | train_full 2.052605e-02 | test_full 1.921649e-02
epoch 0020 | 388.01s | train_full 1.940812e-02 | test_full 1.935669e-02
epoch 0021 | 388.67s | train_full 1.915623e-02 | test_full 2.163000e-02
epoch 0022 | 389.48s | train_full 1.978516e-02 | test_full 1.934046e-02
epoch 0023 | 387.68s | train_full 2.143892e-02 | test_full 1.829638e-02
epoch 0024 | 388.96s | train_full 1.993393e-02 | test_full 1.750380e-02
epoch 0025 | 387.04s | train_full 1.947179e-02 | test_full 1.863917e-02
epoch 0026 | 388.17s | train_full 2.074278e-02 | test_full 2.137549e-02
epoch 0027 | 389.42s | train_full 1.992505e-02 | test_full 2.078066e-02
epoch 0028 | 388.40s | train_full 2.021758e-02 | test_full 2.291785e-02
epoch 0029 | 387.30s | train_full 1.954021e-02 | test_full 1.995959e-02
epoch 0030 | 389.49s | train_full 1.894248e-02 | test_full 2.142142e-02
epoch 0031 | 388.97s | train_full 1.905075e-02 | test_full 1.885194e-02
epoch 0032 | 388.45s | train_full 1.937156e-02 | test_full 1.916037e-02
epoch 0033 | 398.28s | train_full 1.906322e-02 | test_full 1.733070e-02
epoch 0034 | 389.66s | train_full 1.842483e-02 | test_full 1.701694e-02
epoch 0035 | 390.90s | train_full 1.896549e-02 | test_full 1.888408e-02
epoch 0036 | 391.24s | train_full 1.880648e-02 | test_full 1.948454e-02
epoch 0037 | 387.95s | train_full 1.869511e-02 | test_full 1.848836e-02
epoch 0038 | 388.22s | train_full 1.969643e-02 | test_full 1.875396e-02
epoch 0039 | 389.74s | train_full 1.970651e-02 | test_full 2.288732e-02
epoch 0040 | 389.49s | train_full 2.014851e-02 | test_full 1.719367e-02
epoch 0041 | 391.43s | train_full 1.798457e-02 | test_full 2.051996e-02
epoch 0042 | 389.97s | train_full 1.930313e-02 | test_full 1.832881e-02
epoch 0043 | 390.43s | train_full 1.957080e-02 | test_full 2.479867e-02
epoch 0044 | 388.54s | train_full 2.085681e-02 | test_full 3.260658e-02
epoch 0045 | 390.11s | train_full 1.919718e-02 | test_full 1.737920e-02
epoch 0046 | 389.00s | train_full 1.936319e-02 | test_full 1.863196e-02
epoch 0047 | 389.23s | train_full 1.855101e-02 | test_full 2.116696e-02
epoch 0048 | 390.04s | train_full 1.880103e-02 | test_full 1.726146e-02
epoch 0049 | 390.01s | train_full 1.844032e-02 | test_full 2.618898e-02
epoch 0050 | 390.24s | train_full 1.958782e-02 | test_full 2.787821e-02
epoch 0051 | 390.12s | train_full 1.868497e-02 | test_full 1.864924e-02
epoch 0052 | 390.45s | train_full 1.950319e-02 | test_full 1.858744e-02
epoch 0053 | 389.15s | train_full 1.977206e-02 | test_full 1.679685e-02
epoch 0054 | 389.70s | train_full 1.875187e-02 | test_full 2.485971e-02
epoch 0055 | 389.64s | train_full 1.903541e-02 | test_full 2.487069e-02
epoch 0056 | 389.67s | train_full 2.004276e-02 | test_full 2.226360e-02
epoch 0057 | 390.56s | train_full 1.979327e-02 | test_full 2.021879e-02
epoch 0058 | 390.54s | train_full 2.016931e-02 | test_full 1.610945e-02
epoch 0059 | 390.46s | train_full 1.931804e-02 | test_full 1.637655e-02
epoch 0060 | 390.88s | train_full 1.946535e-02 | test_full 2.251306e-02
epoch 0061 | 390.30s | train_full 2.137966e-02 | test_full 2.483577e-02
epoch 0062 | 391.18s | train_full 1.942488e-02 | test_full 1.659603e-02
epoch 0063 | 390.73s | train_full 2.051837e-02 | test_full 1.857906e-02
epoch 0064 | 391.82s | train_full 1.929004e-02 | test_full 1.832621e-02
epoch 0065 | 390.51s | train_full 1.926368e-02 | test_full 1.761015e-02
epoch 0066 | 388.63s | train_full 1.853010e-02 | test_full 1.948342e-02
epoch 0067 | 388.27s | train_full 2.019955e-02 | test_full 1.816587e-02
epoch 0068 | 389.63s | train_full 2.214743e-02 | test_full 1.598278e-02
epoch 0069 | 390.23s | train_full 2.157821e-02 | test_full 2.567665e-02
epoch 0070 | 390.96s | train_full 2.082954e-02 | test_full 1.920199e-02
epoch 0071 | 390.61s | train_full 2.077426e-02 | test_full 2.225251e-02
epoch 0072 | 388.54s | train_full 2.068377e-02 | test_full 1.634151e-02
epoch 0073 | 388.61s | train_full 2.018060e-02 | test_full 2.566756e-02
epoch 0074 | 388.72s | train_full 1.940054e-02 | test_full 1.990615e-02
epoch 0075 | 391.08s | train_full 1.816871e-02 | test_full 1.764516e-02
epoch 0076 | 389.78s | train_full 2.198034e-02 | test_full 2.233206e-02
epoch 0077 | 388.10s | train_full 2.179235e-02 | test_full 1.963633e-02
epoch 0078 | 390.11s | train_full 2.184117e-02 | test_full 2.451118e-02
epoch 0079 | 390.63s | train_full 1.946169e-02 | test_full 2.114827e-02
epoch 0080 | 391.12s | train_full 2.161551e-02 | test_full 1.810963e-02
epoch 0081 | 390.70s | train_full 2.151949e-02 | test_full 2.529058e-02
epoch 0082 | 390.44s | train_full 2.121837e-02 | test_full 3.219397e-02
epoch 0083 | 390.10s | train_full 2.689668e-02 | test_full 3.244232e-02
epoch 0084 | 390.73s | train_full 2.052681e-02 | test_full 2.034054e-02
epoch 0085 | 392.51s | train_full 2.232063e-02 | test_full 4.497376e-02
epoch 0086 | 389.73s | train_full 2.121834e-02 | test_full 1.766638e-02
epoch 0087 | 388.39s | train_full 2.209528e-02 | test_full 1.947837e-02
epoch 0088 | 389.47s | train_full 2.031196e-02 | test_full 3.051735e-02
epoch 0089 | 390.13s | train_full 2.534422e-02 | test_full 1.773910e-02
epoch 0090 | 390.14s | train_full 1.996153e-02 | test_full 1.974252e-02
epoch 0091 | 390.50s | train_full 2.084429e-02 | test_full 2.604843e-02
epoch 0092 | 391.35s | train_full 1.863647e-02 | test_full 1.844567e-02
epoch 0093 | 391.77s | train_full 1.930262e-02 | test_full 1.821548e-02
epoch 0094 | 389.75s | train_full 2.395390e-02 | test_full 2.689485e-02
epoch 0095 | 392.49s | train_full 2.134419e-02 | test_full 1.757695e-02
epoch 0096 | 390.85s | train_full 2.330835e-02 | test_full 2.300517e-02
epoch 0097 | 389.25s | train_full 2.086995e-02 | test_full 1.891124e-02
epoch 0098 | 390.01s | train_full 2.064412e-02 | test_full 3.296419e-02
epoch 0099 | 391.45s | train_full 2.262964e-02 | test_full 1.796985e-02
epoch 0100 | 389.87s | train_full 1.787014e-02 | test_full 1.712041e-02
epoch 0101 | 392.52s | train_full 1.780409e-02 | test_full 1.624485e-02
epoch 0102 | 391.23s | train_full 1.812218e-02 | test_full 1.763343e-02
epoch 0103 | 389.89s | train_full 1.716642e-02 | test_full 1.931791e-02
epoch 0104 | 389.87s | train_full 1.802287e-02 | test_full 1.982202e-02
epoch 0105 | 391.46s | train_full 1.791687e-02 | test_full 1.708928e-02
epoch 0106 | 390.90s | train_full 1.738688e-02 | test_full 1.670230e-02
epoch 0107 | 392.08s | train_full 1.676582e-02 | test_full 1.693518e-02
epoch 0108 | 393.02s | train_full 1.831031e-02 | test_full 2.052123e-02
epoch 0109 | 391.14s | train_full 1.789157e-02 | test_full 1.615443e-02
epoch 0110 | 391.09s | train_full 1.747387e-02 | test_full 1.610017e-02
epoch 0111 | 391.64s | train_full 1.677222e-02 | test_full 1.690997e-02
epoch 0112 | 392.85s | train_full 1.795015e-02 | test_full 1.997568e-02
epoch 0113 | 393.36s | train_full 1.898231e-02 | test_full 1.712512e-02
epoch 0114 | 396.33s | train_full 1.764211e-02 | test_full 1.633514e-02
epoch 0115 | 392.61s | train_full 1.687469e-02 | test_full 1.659187e-02
epoch 0116 | 391.22s | train_full 1.741279e-02 | test_full 1.687504e-02
epoch 0117 | 393.25s | train_full 1.887879e-02 | test_full 1.848898e-02
epoch 0118 | 405.65s | train_full 1.805661e-02 | test_full 1.672919e-02
epoch 0119 | 411.47s | train_full 1.800367e-02 | test_full 1.579146e-02
epoch 0120 | 400.36s | train_full 1.763488e-02 | test_full 1.569027e-02
epoch 0121 | 398.73s | train_full 1.801544e-02 | test_full 1.955318e-02
epoch 0122 | 398.41s | train_full 1.753243e-02 | test_full 1.632991e-02
epoch 0123 | 395.40s | train_full 1.753830e-02 | test_full 1.812582e-02
epoch 0124 | 396.89s | train_full 1.692804e-02 | test_full 1.674108e-02
epoch 0125 | 399.87s | train_full 1.737069e-02 | test_full 1.844417e-02
epoch 0126 | 399.78s | train_full 1.710732e-02 | test_full 1.561871e-02
epoch 0127 | 397.80s | train_full 1.780095e-02 | test_full 1.568813e-02
epoch 0128 | 398.51s | train_full 1.709762e-02 | test_full 1.627260e-02
epoch 0129 | 407.71s | train_full 1.903517e-02 | test_full 1.908015e-02
epoch 0130 | 397.22s | train_full 1.737300e-02 | test_full 1.593556e-02
epoch 0131 | 406.20s | train_full 1.839912e-02 | test_full 2.069998e-02
epoch 0132 | 405.57s | train_full 1.861093e-02 | test_full 2.037841e-02
epoch 0133 | 395.93s | train_full 1.906832e-02 | test_full 2.104709e-02
epoch 0134 | 396.09s | train_full 1.814450e-02 | test_full 1.606202e-02
epoch 0135 | 396.15s | train_full 1.651488e-02 | test_full 1.805091e-02
epoch 0136 | 397.80s | train_full 1.691082e-02 | test_full 2.098995e-02
epoch 0137 | 398.30s | train_full 1.873858e-02 | test_full 1.850908e-02
epoch 0138 | 400.11s | train_full 1.838814e-02 | test_full 1.967221e-02
epoch 0139 | 396.71s | train_full 1.767744e-02 | test_full 1.883864e-02
epoch 0140 | 396.96s | train_full 1.724343e-02 | test_full 1.591123e-02
epoch 0141 | 396.03s | train_full 1.656775e-02 | test_full 1.743967e-02
epoch 0142 | 398.21s | train_full 1.798388e-02 | test_full 1.565314e-02
epoch 0143 | 399.70s | train_full 1.711590e-02 | test_full 1.900756e-02
epoch 0144 | 399.01s | train_full 1.643497e-02 | test_full 1.576553e-02
epoch 0145 | 399.09s | train_full 1.740058e-02 | test_full 1.638783e-02
epoch 0146 | 398.30s | train_full 1.769655e-02 | test_full 1.623477e-02
epoch 0147 | 398.64s | train_full 1.759016e-02 | test_full 1.741385e-02
epoch 0148 | 400.17s | train_full 1.770328e-02 | test_full 1.738092e-02
epoch 0149 | 400.50s | train_full 1.665715e-02 | test_full 1.531549e-02
epoch 0150 | 400.69s | train_full 1.870545e-02 | test_full 1.909452e-02
epoch 0151 | 400.03s | train_full 1.737959e-02 | test_full 1.646018e-02
epoch 0152 | 397.88s | train_full 1.920448e-02 | test_full 1.970324e-02
epoch 0153 | 399.26s | train_full 1.818200e-02 | test_full 1.575059e-02
epoch 0154 | 397.82s | train_full 1.789775e-02 | test_full 1.877585e-02
epoch 0155 | 399.27s | train_full 1.791518e-02 | test_full 1.992139e-02
epoch 0156 | 400.14s | train_full 1.804685e-02 | test_full 1.963359e-02
epoch 0157 | 397.48s | train_full 1.664983e-02 | test_full 1.598994e-02
epoch 0158 | 399.47s | train_full 1.637504e-02 | test_full 1.525186e-02
epoch 0159 | 399.05s | train_full 1.630090e-02 | test_full 1.520671e-02
epoch 0160 | 399.90s | train_full 1.899274e-02 | test_full 2.266536e-02
epoch 0161 | 399.26s | train_full 1.996270e-02 | test_full 1.959667e-02
epoch 0162 | 399.57s | train_full 1.789984e-02 | test_full 1.678497e-02
epoch 0163 | 397.96s | train_full 1.814768e-02 | test_full 1.921633e-02
epoch 0164 | 399.73s | train_full 1.655789e-02 | test_full 1.582047e-02
epoch 0165 | 400.31s | train_full 1.797319e-02 | test_full 1.878108e-02
epoch 0166 | 399.36s | train_full 1.738973e-02 | test_full 1.632003e-02
epoch 0167 | 398.56s | train_full 1.666333e-02 | test_full 1.629696e-02
epoch 0168 | 398.24s | train_full 1.631363e-02 | test_full 1.544761e-02
epoch 0169 | 399.40s | train_full 1.630747e-02 | test_full 1.731803e-02
epoch 0170 | 399.38s | train_full 1.624510e-02 | test_full 1.738579e-02
epoch 0171 | 399.22s | train_full 1.629601e-02 | test_full 1.751806e-02
epoch 0172 | 398.06s | train_full 1.882853e-02 | test_full 1.889443e-02
epoch 0173 | 397.30s | train_full 1.637475e-02 | test_full 1.756606e-02
epoch 0174 | 398.35s | train_full 1.778032e-02 | test_full 1.998109e-02
epoch 0175 | 399.52s | train_full 1.827902e-02 | test_full 1.578556e-02
epoch 0176 | 402.43s | train_full 1.724033e-02 | test_full 1.609315e-02
epoch 0177 | 399.55s | train_full 1.933925e-02 | test_full 1.650306e-02
epoch 0178 | 405.26s | train_full 1.761599e-02 | test_full 1.691242e-02
epoch 0179 | 400.28s | train_full 1.625861e-02 | test_full 1.770518e-02
epoch 0180 | 401.35s | train_full 1.791523e-02 | test_full 2.095991e-02
epoch 0181 | 401.06s | train_full 1.946155e-02 | test_full 1.655602e-02
epoch 0182 | 405.13s | train_full 1.641718e-02 | test_full 1.645239e-02
epoch 0183 | 411.35s | train_full 1.632194e-02 | test_full 1.572588e-02
epoch 0184 | 409.42s | train_full 1.668898e-02 | test_full 2.375109e-02
epoch 0185 | 407.61s | train_full 1.907075e-02 | test_full 1.730593e-02
epoch 0186 | 407.92s | train_full 1.658958e-02 | test_full 1.719365e-02
epoch 0187 | 408.15s | train_full 1.819626e-02 | test_full 1.604153e-02
epoch 0188 | 407.79s | train_full 1.807217e-02 | test_full 2.168607e-02
epoch 0189 | 412.66s | train_full 1.763008e-02 | test_full 1.704222e-02
epoch 0190 | 411.51s | train_full 1.732882e-02 | test_full 1.636885e-02
epoch 0191 | 412.38s | train_full 1.657706e-02 | test_full 1.769303e-02
epoch 0192 | 409.54s | train_full 1.648145e-02 | test_full 1.761627e-02
epoch 0193 | 401.25s | train_full 1.725221e-02 | test_full 1.495830e-02
