nohup: ignoring input
epoch 0000 | 1.58s | train_full 6.220498e-01 | test_full 4.295414e-01
epoch 0001 | 0.63s | train_full 3.112757e-01 | test_full 2.305886e-01
epoch 0002 | 0.66s | train_full 2.007909e-01 | test_full 1.532791e-01
epoch 0003 | 0.65s | train_full 1.428160e-01 | test_full 1.280400e-01
epoch 0004 | 0.63s | train_full 1.214582e-01 | test_full 1.006312e-01
epoch 0005 | 0.66s | train_full 9.996180e-02 | test_full 9.204114e-02
epoch 0006 | 0.74s | train_full 9.024452e-02 | test_full 7.967843e-02
epoch 0007 | 0.63s | train_full 8.312053e-02 | test_full 8.084952e-02
epoch 0008 | 0.65s | train_full 7.886661e-02 | test_full 7.412500e-02
epoch 0009 | 0.64s | train_full 7.375010e-02 | test_full 7.195192e-02
epoch 0010 | 0.63s | train_full 7.229920e-02 | test_full 6.923818e-02
epoch 0011 | 0.64s | train_full 6.706384e-02 | test_full 6.527802e-02
epoch 0012 | 0.66s | train_full 6.354284e-02 | test_full 5.714015e-02
epoch 0013 | 0.65s | train_full 6.170031e-02 | test_full 5.721717e-02
epoch 0014 | 0.64s | train_full 6.017288e-02 | test_full 6.307925e-02
epoch 0015 | 0.66s | train_full 5.539147e-02 | test_full 5.275598e-02
epoch 0016 | 0.65s | train_full 5.446380e-02 | test_full 4.813454e-02
epoch 0017 | 0.63s | train_full 4.993772e-02 | test_full 4.737377e-02
epoch 0018 | 0.65s | train_full 4.580383e-02 | test_full 4.748611e-02
epoch 0019 | 0.63s | train_full 4.231956e-02 | test_full 4.180652e-02
epoch 0020 | 0.64s | train_full 4.482475e-02 | test_full 3.876184e-02
epoch 0021 | 0.66s | train_full 4.211731e-02 | test_full 4.092264e-02
epoch 0022 | 0.59s | train_full 4.175603e-02 | test_full 4.138914e-02
epoch 0023 | 0.58s | train_full 4.138942e-02 | test_full 3.944425e-02
epoch 0024 | 0.62s | train_full 4.381312e-02 | test_full 4.449038e-02
epoch 0025 | 0.59s | train_full 4.744260e-02 | test_full 4.133850e-02
epoch 0026 | 0.59s | train_full 3.910286e-02 | test_full 3.893731e-02
epoch 0027 | 0.59s | train_full 3.704490e-02 | test_full 3.417786e-02
epoch 0028 | 0.60s | train_full 3.434926e-02 | test_full 3.361420e-02
epoch 0029 | 0.59s | train_full 3.551219e-02 | test_full 3.618292e-02
epoch 0030 | 0.59s | train_full 3.957047e-02 | test_full 3.791881e-02
epoch 0031 | 0.60s | train_full 3.649925e-02 | test_full 3.554147e-02
epoch 0032 | 0.59s | train_full 3.662661e-02 | test_full 4.173743e-02
epoch 0033 | 0.60s | train_full 4.572402e-02 | test_full 3.764757e-02
epoch 0034 | 0.58s | train_full 3.781832e-02 | test_full 3.020734e-02
epoch 0035 | 0.59s | train_full 3.304881e-02 | test_full 3.375649e-02
epoch 0036 | 0.59s | train_full 3.545957e-02 | test_full 3.069606e-02
epoch 0037 | 0.58s | train_full 3.035517e-02 | test_full 3.195543e-02
epoch 0038 | 0.68s | train_full 3.319220e-02 | test_full 3.437467e-02
epoch 0039 | 0.59s | train_full 3.411654e-02 | test_full 3.250261e-02
epoch 0040 | 0.58s | train_full 3.647757e-02 | test_full 3.282742e-02
epoch 0041 | 0.59s | train_full 3.185700e-02 | test_full 3.843054e-02
epoch 0042 | 0.59s | train_full 3.431886e-02 | test_full 3.327123e-02
epoch 0043 | 0.58s | train_full 3.287958e-02 | test_full 3.065026e-02
epoch 0044 | 0.59s | train_full 3.450215e-02 | test_full 3.133082e-02
epoch 0045 | 0.59s | train_full 3.341503e-02 | test_full 3.131633e-02
epoch 0046 | 0.59s | train_full 3.339139e-02 | test_full 3.410147e-02
epoch 0047 | 0.58s | train_full 3.150591e-02 | test_full 2.706684e-02
epoch 0048 | 0.59s | train_full 3.317104e-02 | test_full 3.770933e-02
epoch 0049 | 0.60s | train_full 3.354040e-02 | test_full 2.912859e-02
epoch 0050 | 0.57s | train_full 3.585243e-02 | test_full 2.774399e-02
epoch 0051 | 0.59s | train_full 3.038847e-02 | test_full 2.533100e-02
epoch 0052 | 0.59s | train_full 2.898153e-02 | test_full 2.857915e-02
epoch 0053 | 0.59s | train_full 3.099911e-02 | test_full 2.871058e-02
epoch 0054 | 0.57s | train_full 3.062899e-02 | test_full 2.771587e-02
epoch 0055 | 0.60s | train_full 2.915376e-02 | test_full 2.721915e-02
epoch 0056 | 0.66s | train_full 2.668211e-02 | test_full 2.460882e-02
epoch 0057 | 0.58s | train_full 2.855791e-02 | test_full 2.959501e-02
epoch 0058 | 0.61s | train_full 2.782402e-02 | test_full 3.287977e-02
epoch 0059 | 0.58s | train_full 2.850952e-02 | test_full 2.668363e-02
epoch 0060 | 0.60s | train_full 2.992743e-02 | test_full 2.773375e-02
epoch 0061 | 0.58s | train_full 3.221754e-02 | test_full 4.267531e-02
epoch 0062 | 0.58s | train_full 2.927508e-02 | test_full 2.506659e-02
epoch 0063 | 0.58s | train_full 2.898161e-02 | test_full 2.951375e-02
epoch 0064 | 0.57s | train_full 2.965497e-02 | test_full 2.470871e-02
epoch 0065 | 0.59s | train_full 2.732253e-02 | test_full 3.141641e-02
epoch 0066 | 0.57s | train_full 2.988618e-02 | test_full 2.891910e-02
epoch 0067 | 0.59s | train_full 2.930720e-02 | test_full 3.290786e-02
epoch 0068 | 0.58s | train_full 2.909158e-02 | test_full 2.513159e-02
epoch 0069 | 0.59s | train_full 3.001655e-02 | test_full 2.844158e-02
epoch 0070 | 0.59s | train_full 2.915709e-02 | test_full 3.372859e-02
epoch 0071 | 0.58s | train_full 3.010059e-02 | test_full 2.657044e-02
epoch 0072 | 0.60s | train_full 2.579927e-02 | test_full 2.204681e-02
epoch 0073 | 0.57s | train_full 3.051489e-02 | test_full 2.639569e-02
epoch 0074 | 0.67s | train_full 2.882446e-02 | test_full 3.812632e-02
epoch 0075 | 0.59s | train_full 3.579331e-02 | test_full 2.903453e-02
epoch 0076 | 0.58s | train_full 2.808051e-02 | test_full 3.209696e-02
epoch 0077 | 0.60s | train_full 2.817038e-02 | test_full 2.725263e-02
epoch 0078 | 0.58s | train_full 3.220165e-02 | test_full 3.037401e-02
epoch 0079 | 0.59s | train_full 2.683059e-02 | test_full 2.957088e-02
epoch 0080 | 0.58s | train_full 2.745656e-02 | test_full 3.717668e-02
epoch 0081 | 0.59s | train_full 3.216757e-02 | test_full 2.540459e-02
epoch 0082 | 0.59s | train_full 2.737171e-02 | test_full 3.052840e-02
epoch 0083 | 0.58s | train_full 2.783526e-02 | test_full 2.563168e-02
epoch 0084 | 0.60s | train_full 2.722806e-02 | test_full 2.791785e-02
epoch 0085 | 0.57s | train_full 3.776572e-02 | test_full 3.313878e-02
epoch 0086 | 0.59s | train_full 3.234744e-02 | test_full 2.521306e-02
epoch 0087 | 0.59s | train_full 2.485079e-02 | test_full 2.721887e-02
epoch 0088 | 0.59s | train_full 2.634945e-02 | test_full 2.123457e-02
epoch 0089 | 0.59s | train_full 2.641688e-02 | test_full 3.720527e-02
epoch 0090 | 0.58s | train_full 3.089892e-02 | test_full 2.603375e-02
epoch 0091 | 0.60s | train_full 2.809643e-02 | test_full 2.584981e-02
epoch 0092 | 0.58s | train_full 2.595695e-02 | test_full 2.611203e-02
epoch 0093 | 0.60s | train_full 2.549166e-02 | test_full 2.844961e-02
epoch 0094 | 0.57s | train_full 2.697259e-02 | test_full 2.218502e-02
epoch 0095 | 0.59s | train_full 2.558323e-02 | test_full 2.373364e-02
epoch 0096 | 0.59s | train_full 2.420771e-02 | test_full 2.733391e-02
epoch 0097 | 0.58s | train_full 2.761253e-02 | test_full 2.850937e-02
epoch 0098 | 0.58s | train_full 2.765597e-02 | test_full 2.475148e-02
epoch 0099 | 0.57s | train_full 3.575643e-02 | test_full 3.218441e-02
epoch 0100 | 0.60s | train_full 2.569483e-02 | test_full 2.233767e-02
epoch 0101 | 0.56s | train_full 2.226130e-02 | test_full 2.065518e-02
epoch 0102 | 0.59s | train_full 2.150104e-02 | test_full 2.277978e-02
