nohup: ignoring input
epoch 0000 | 211.34s | train_full 6.773542e-01 | test_full 5.746249e-01
epoch 0001 | 209.97s | train_full 5.023880e-01 | test_full 4.614551e-01
epoch 0002 | 209.35s | train_full 4.577049e-01 | test_full 4.492916e-01
epoch 0003 | 213.02s | train_full 4.499239e-01 | test_full 4.483844e-01
epoch 0004 | 214.65s | train_full 3.640923e-01 | test_full 2.846216e-01
epoch 0005 | 229.73s | train_full 2.614111e-01 | test_full 2.354307e-01
epoch 0006 | 231.32s | train_full 2.396077e-01 | test_full 2.289026e-01
epoch 0007 | 227.80s | train_full 2.250413e-01 | test_full 2.071338e-01
epoch 0008 | 231.95s | train_full 2.118371e-01 | test_full 2.065560e-01
epoch 0009 | 231.88s | train_full 2.033262e-01 | test_full 1.939075e-01
epoch 0010 | 231.00s | train_full 1.941359e-01 | test_full 1.776786e-01
epoch 0011 | 228.01s | train_full 1.806120e-01 | test_full 1.865293e-01
epoch 0012 | 228.49s | train_full 1.770670e-01 | test_full 1.802419e-01
epoch 0013 | 227.54s | train_full 1.730610e-01 | test_full 1.663862e-01
epoch 0014 | 226.80s | train_full 1.693352e-01 | test_full 1.603864e-01
epoch 0015 | 229.12s | train_full 1.671680e-01 | test_full 1.653332e-01
epoch 0016 | 226.88s | train_full 1.650590e-01 | test_full 1.511944e-01
epoch 0017 | 227.80s | train_full 1.599243e-01 | test_full 1.507850e-01
epoch 0018 | 226.36s | train_full 1.572414e-01 | test_full 1.603964e-01
epoch 0019 | 231.80s | train_full 1.581526e-01 | test_full 1.826616e-01
epoch 0020 | 227.75s | train_full 1.560202e-01 | test_full 1.659263e-01
epoch 0021 | 226.34s | train_full 1.528785e-01 | test_full 1.525297e-01
epoch 0022 | 229.87s | train_full 1.484900e-01 | test_full 1.462842e-01
epoch 0023 | 227.86s | train_full 1.518489e-01 | test_full 1.443746e-01
epoch 0024 | 225.04s | train_full 1.456852e-01 | test_full 1.457702e-01
epoch 0025 | 223.16s | train_full 1.496661e-01 | test_full 1.450946e-01
epoch 0026 | 263.71s | train_full 1.452498e-01 | test_full 1.367294e-01
epoch 0027 | 227.52s | train_full 1.440803e-01 | test_full 1.387575e-01
epoch 0028 | 236.86s | train_full 1.449512e-01 | test_full 1.311048e-01
epoch 0029 | 286.35s | train_full 1.417962e-01 | test_full 1.360051e-01
epoch 0030 | 329.14s | train_full 1.384134e-01 | test_full 1.521895e-01
epoch 0031 | 314.84s | train_full 1.468928e-01 | test_full 1.416035e-01
epoch 0032 | 320.57s | train_full 1.376495e-01 | test_full 1.316526e-01
epoch 0033 | 318.54s | train_full 1.397643e-01 | test_full 1.373365e-01
epoch 0034 | 333.93s | train_full 1.348707e-01 | test_full 1.354578e-01
epoch 0035 | 328.91s | train_full 1.340420e-01 | test_full 1.225328e-01
epoch 0036 | 315.94s | train_full 1.394952e-01 | test_full 1.402208e-01
epoch 0037 | 311.47s | train_full 1.357995e-01 | test_full 1.410721e-01
epoch 0038 | 222.55s | train_full 1.350222e-01 | test_full 1.223793e-01
epoch 0039 | 221.98s | train_full 1.294520e-01 | test_full 1.383709e-01
epoch 0040 | 221.30s | train_full 1.413769e-01 | test_full 1.460561e-01
epoch 0041 | 223.48s | train_full 1.318635e-01 | test_full 1.347857e-01
epoch 0042 | 222.79s | train_full 1.318706e-01 | test_full 1.331825e-01
epoch 0043 | 223.32s | train_full 1.318540e-01 | test_full 1.255244e-01
epoch 0044 | 224.32s | train_full 1.303691e-01 | test_full 1.225598e-01
epoch 0045 | 223.73s | train_full 1.309170e-01 | test_full 1.295239e-01
epoch 0046 | 223.92s | train_full 1.299519e-01 | test_full 1.222708e-01
epoch 0047 | 224.02s | train_full 1.269194e-01 | test_full 1.243145e-01
epoch 0048 | 224.10s | train_full 1.311178e-01 | test_full 1.276921e-01
epoch 0049 | 223.72s | train_full 1.346144e-01 | test_full 1.476963e-01
epoch 0050 | 224.31s | train_full 1.280100e-01 | test_full 1.273165e-01
epoch 0051 | 223.51s | train_full 1.246525e-01 | test_full 1.210833e-01
epoch 0052 | 223.44s | train_full 1.288830e-01 | test_full 1.225286e-01
epoch 0053 | 224.89s | train_full 1.323236e-01 | test_full 1.200811e-01
epoch 0054 | 224.62s | train_full 1.252341e-01 | test_full 1.281367e-01
epoch 0055 | 225.65s | train_full 1.244884e-01 | test_full 1.245772e-01
epoch 0056 | 225.40s | train_full 1.220746e-01 | test_full 1.256357e-01
epoch 0057 | 224.71s | train_full 1.249578e-01 | test_full 1.326593e-01
epoch 0058 | 224.60s | train_full 1.246683e-01 | test_full 1.204193e-01
epoch 0059 | 225.35s | train_full 1.240481e-01 | test_full 1.103336e-01
epoch 0060 | 225.86s | train_full 1.232392e-01 | test_full 1.211801e-01
epoch 0061 | 224.61s | train_full 1.204817e-01 | test_full 1.295209e-01
epoch 0062 | 224.54s | train_full 1.193521e-01 | test_full 1.138110e-01
epoch 0063 | 222.82s | train_full 1.248277e-01 | test_full 1.625313e-01
epoch 0064 | 223.72s | train_full 1.202364e-01 | test_full 1.147015e-01
epoch 0065 | 224.19s | train_full 1.202099e-01 | test_full 1.129239e-01
epoch 0066 | 222.59s | train_full 1.168675e-01 | test_full 1.078665e-01
