nohup: ignoring input
epoch 0000 | 386.64s | train_full 7.066258e-01 | test_full 9.797752e-02
epoch 0001 | 391.22s | train_full 8.775383e-02 | test_full 6.262846e-02
epoch 0002 | 390.80s | train_full 5.582111e-02 | test_full 5.404737e-02
epoch 0003 | 389.46s | train_full 5.211767e-02 | test_full 5.047939e-02
epoch 0004 | 391.86s | train_full 4.927251e-02 | test_full 4.897390e-02
epoch 0005 | 393.47s | train_full 4.854854e-02 | test_full 4.719682e-02
epoch 0006 | 392.19s | train_full 4.632725e-02 | test_full 4.560860e-02
epoch 0007 | 393.46s | train_full 4.540078e-02 | test_full 4.531614e-02
epoch 0008 | 392.35s | train_full 4.437564e-02 | test_full 4.449449e-02
epoch 0009 | 391.91s | train_full 4.346500e-02 | test_full 4.172487e-02
epoch 0010 | 392.30s | train_full 4.179203e-02 | test_full 4.003997e-02
epoch 0011 | 392.47s | train_full 4.084415e-02 | test_full 4.334878e-02
epoch 0012 | 391.84s | train_full 3.903614e-02 | test_full 3.765600e-02
epoch 0013 | 392.16s | train_full 3.435485e-02 | test_full 2.916315e-02
epoch 0014 | 391.14s | train_full 3.016185e-02 | test_full 2.815463e-02
epoch 0015 | 391.76s | train_full 2.774244e-02 | test_full 2.540932e-02
epoch 0016 | 393.62s | train_full 2.717983e-02 | test_full 2.778777e-02
epoch 0017 | 391.92s | train_full 2.567410e-02 | test_full 2.504338e-02
epoch 0018 | 390.39s | train_full 2.628716e-02 | test_full 2.416123e-02
epoch 0019 | 392.70s | train_full 2.615251e-02 | test_full 2.330391e-02
epoch 0020 | 391.85s | train_full 2.400584e-02 | test_full 2.333426e-02
epoch 0021 | 390.13s | train_full 2.420911e-02 | test_full 2.410147e-02
epoch 0022 | 392.01s | train_full 2.422515e-02 | test_full 2.308768e-02
epoch 0023 | 391.11s | train_full 2.416436e-02 | test_full 2.461123e-02
epoch 0024 | 391.91s | train_full 2.392395e-02 | test_full 2.349785e-02
epoch 0025 | 390.88s | train_full 2.320274e-02 | test_full 2.179827e-02
epoch 0026 | 390.87s | train_full 2.488123e-02 | test_full 2.529678e-02
epoch 0027 | 392.35s | train_full 2.394583e-02 | test_full 2.377625e-02
epoch 0028 | 391.48s | train_full 2.371900e-02 | test_full 2.516922e-02
epoch 0029 | 392.32s | train_full 2.354579e-02 | test_full 2.222002e-02
epoch 0030 | 393.68s | train_full 2.361034e-02 | test_full 2.619007e-02
