nohup: ignoring input
epoch 0000 | 1.11s | horizon 01 | train 2.956780e-01 | val n/a
epoch 0001 | 0.26s | horizon 01 | train 1.321046e-01 | val n/a
epoch 0002 | 0.28s | horizon 01 | train 7.754605e-02 | val n/a
epoch 0003 | 0.26s | horizon 01 | train 6.065491e-02 | val n/a
epoch 0004 | 0.27s | horizon 01 | train 4.246802e-02 | val n/a
epoch 0005 | 0.25s | horizon 01 | train 3.515677e-02 | val n/a
epoch 0006 | 0.25s | horizon 01 | train 3.212574e-02 | val n/a
epoch 0007 | 0.25s | horizon 01 | train 2.846256e-02 | val n/a
epoch 0008 | 0.22s | horizon 01 | train 2.635576e-02 | val n/a
epoch 0009 | 0.22s | horizon 01 | train 2.442785e-02 | val n/a
epoch 0010 | 0.24s | horizon 01 | train 2.330693e-02 | val n/a
epoch 0011 | 0.24s | horizon 01 | train 2.324701e-02 | val n/a
epoch 0012 | 0.25s | horizon 01 | train 2.119138e-02 | val n/a
epoch 0013 | 0.24s | horizon 01 | train 2.120894e-02 | val n/a
epoch 0014 | 0.26s | horizon 01 | train 1.960075e-02 | val n/a
epoch 0015 | 0.27s | horizon 01 | train 2.078518e-02 | val n/a
epoch 0016 | 0.25s | horizon 01 | train 1.949689e-02 | val n/a
epoch 0017 | 0.24s | horizon 01 | train 1.958391e-02 | val n/a
epoch 0018 | 0.23s | horizon 01 | train 1.850442e-02 | val n/a
epoch 0019 | 0.27s | horizon 01 | train 1.876602e-02 | val n/a
epoch 0020 | 0.29s | horizon 01 | train 1.746674e-02 | val n/a
epoch 0021 | 0.30s | horizon 01 | train 2.099916e-02 | val n/a
epoch 0022 | 0.31s | horizon 01 | train 1.904226e-02 | val n/a
epoch 0023 | 0.30s | horizon 01 | train 1.796286e-02 | val n/a
epoch 0024 | 0.30s | horizon 01 | train 1.861755e-02 | val n/a
epoch 0025 | 0.26s | horizon 01 | train 1.819031e-02 | val n/a
epoch 0026 | 0.23s | horizon 01 | train 1.664028e-02 | val n/a
epoch 0027 | 0.26s | horizon 01 | train 1.691461e-02 | val n/a
epoch 0028 | 0.28s | horizon 01 | train 1.792594e-02 | val n/a
epoch 0029 | 0.26s | horizon 01 | train 1.741402e-02 | val n/a
epoch 0030 | 0.26s | horizon 01 | train 1.672066e-02 | val n/a
epoch 0031 | 0.25s | horizon 01 | train 1.593793e-02 | val n/a
epoch 0032 | 0.26s | horizon 01 | train 2.081634e-02 | val n/a
epoch 0033 | 0.25s | horizon 01 | train 1.804178e-02 | val n/a
epoch 0034 | 0.25s | horizon 01 | train 1.661090e-02 | val n/a
epoch 0035 | 0.22s | horizon 01 | train 1.464635e-02 | val n/a
epoch 0036 | 0.22s | horizon 01 | train 1.399815e-02 | val n/a
epoch 0037 | 0.22s | horizon 01 | train 1.596872e-02 | val n/a
epoch 0038 | 0.21s | horizon 01 | train 1.630913e-02 | val n/a
epoch 0039 | 0.21s | horizon 01 | train 1.461929e-02 | val n/a
epoch 0040 | 0.21s | horizon 01 | train 1.648365e-02 | val n/a
epoch 0041 | 0.21s | horizon 01 | train 1.887749e-02 | val n/a
epoch 0042 | 0.22s | horizon 01 | train 1.881038e-02 | val n/a
epoch 0043 | 0.26s | horizon 01 | train 1.640888e-02 | val n/a
epoch 0044 | 0.29s | horizon 01 | train 1.637597e-02 | val n/a
epoch 0045 | 0.30s | horizon 01 | train 1.483283e-02 | val n/a
epoch 0046 | 0.30s | horizon 01 | train 1.579417e-02 | val n/a
epoch 0047 | 0.30s | horizon 01 | train 1.769923e-02 | val n/a
epoch 0048 | 0.29s | horizon 01 | train 1.839499e-02 | val n/a
epoch 0049 | 0.26s | horizon 01 | train 1.812151e-02 | val n/a
epoch 0050 | 0.26s | horizon 01 | train 1.600371e-02 | val n/a
epoch 0051 | 0.27s | horizon 01 | train 1.431106e-02 | val n/a
epoch 0052 | 0.29s | horizon 01 | train 1.587378e-02 | val n/a
epoch 0053 | 0.64s | horizon 01 | train 1.605261e-02 | val n/a
epoch 0054 | 0.27s | horizon 01 | train 1.416091e-02 | val n/a
epoch 0055 | 0.21s | horizon 01 | train 1.513631e-02 | val n/a
epoch 0056 | 0.22s | horizon 01 | train 1.447025e-02 | val n/a
epoch 0057 | 0.24s | horizon 01 | train 1.566123e-02 | val n/a
epoch 0058 | 0.24s | horizon 01 | train 1.645825e-02 | val n/a
epoch 0059 | 0.26s | horizon 01 | train 1.598236e-02 | val n/a
epoch 0060 | 0.21s | horizon 01 | train 1.429584e-02 | val n/a
epoch 0061 | 0.21s | horizon 01 | train 1.470669e-02 | val n/a
epoch 0062 | 0.20s | horizon 01 | train 1.529377e-02 | val n/a
epoch 0063 | 0.24s | horizon 01 | train 1.418946e-02 | val n/a
epoch 0064 | 0.27s | horizon 01 | train 1.426978e-02 | val n/a
epoch 0065 | 0.29s | horizon 01 | train 1.485082e-02 | val n/a
epoch 0066 | 0.28s | horizon 01 | train 1.420502e-02 | val n/a
epoch 0067 | 0.25s | horizon 01 | train 1.336862e-02 | val n/a
epoch 0068 | 0.25s | horizon 01 | train 1.308247e-02 | val n/a
epoch 0069 | 0.27s | horizon 01 | train 1.268118e-02 | val n/a
epoch 0070 | 0.24s | horizon 01 | train 1.459895e-02 | val n/a
epoch 0071 | 0.24s | horizon 01 | train 1.549303e-02 | val n/a
epoch 0072 | 0.24s | horizon 01 | train 1.582093e-02 | val n/a
epoch 0073 | 0.23s | horizon 01 | train 1.680968e-02 | val n/a
epoch 0074 | 0.26s | horizon 01 | train 2.280890e-02 | val n/a
epoch 0075 | 0.25s | horizon 01 | train 1.994272e-02 | val n/a
epoch 0076 | 0.23s | horizon 01 | train 1.970882e-02 | val n/a
epoch 0077 | 0.24s | horizon 01 | train 1.584308e-02 | val n/a
epoch 0078 | 0.23s | horizon 01 | train 1.550352e-02 | val n/a
epoch 0079 | 0.27s | horizon 01 | train 1.395751e-02 | val n/a
epoch 0080 | 0.27s | horizon 01 | train 1.311700e-02 | val n/a
epoch 0081 | 0.27s | horizon 01 | train 1.250960e-02 | val n/a
epoch 0082 | 0.30s | horizon 01 | train 1.495730e-02 | val n/a
epoch 0083 | 0.31s | horizon 01 | train 1.357861e-02 | val n/a
epoch 0084 | 0.29s | horizon 01 | train 1.443401e-02 | val n/a
epoch 0085 | 0.23s | horizon 01 | train 1.186979e-02 | val n/a
epoch 0086 | 0.22s | horizon 01 | train 1.293984e-02 | val n/a
epoch 0087 | 0.22s | horizon 01 | train 1.584250e-02 | val n/a
epoch 0088 | 0.26s | horizon 01 | train 1.633669e-02 | val n/a
epoch 0089 | 0.26s | horizon 01 | train 1.994753e-02 | val n/a
epoch 0090 | 0.26s | horizon 01 | train 2.144632e-02 | val n/a
epoch 0091 | 0.28s | horizon 01 | train 2.000614e-02 | val n/a
epoch 0092 | 0.27s | horizon 01 | train 1.765634e-02 | val n/a
epoch 0093 | 0.31s | horizon 01 | train 1.494872e-02 | val n/a
epoch 0094 | 0.29s | horizon 01 | train 1.444234e-02 | val n/a
epoch 0095 | 0.27s | horizon 01 | train 1.520792e-02 | val n/a
epoch 0096 | 0.33s | horizon 01 | train 1.482887e-02 | val n/a
epoch 0097 | 0.24s | horizon 01 | train 1.349465e-02 | val n/a
epoch 0098 | 0.28s | horizon 01 | train 1.449586e-02 | val n/a
epoch 0099 | 0.26s | horizon 01 | train 1.394314e-02 | val n/a
epoch 0100 | 0.25s | horizon 01 | train 1.136888e-02 | val n/a
epoch 0101 | 0.23s | horizon 01 | train 1.034771e-02 | val n/a
epoch 0102 | 0.37s | horizon 01 | train 1.003070e-02 | val n/a
epoch 0103 | 0.36s | horizon 01 | train 9.781211e-03 | val n/a
epoch 0104 | 0.27s | horizon 01 | train 9.806642e-03 | val n/a
epoch 0105 | 0.28s | horizon 01 | train 9.635459e-03 | val n/a
epoch 0106 | 0.28s | horizon 01 | train 9.851799e-03 | val n/a
epoch 0107 | 0.26s | horizon 01 | train 9.985080e-03 | val n/a
epoch 0108 | 0.25s | horizon 01 | train 1.001966e-02 | val n/a
epoch 0109 | 0.24s | horizon 01 | train 1.004644e-02 | val n/a
epoch 0110 | 0.27s | horizon 01 | train 9.937905e-03 | val n/a
epoch 0111 | 0.29s | horizon 01 | train 9.622132e-03 | val n/a
epoch 0112 | 0.24s | horizon 01 | train 9.696015e-03 | val n/a
epoch 0113 | 0.25s | horizon 01 | train 9.619325e-03 | val n/a
epoch 0114 | 0.24s | horizon 01 | train 9.949932e-03 | val n/a
epoch 0115 | 0.22s | horizon 01 | train 9.867758e-03 | val n/a
epoch 0116 | 0.25s | horizon 01 | train 9.801138e-03 | val n/a
epoch 0117 | 0.23s | horizon 01 | train 9.653430e-03 | val n/a
epoch 0118 | 0.30s | horizon 01 | train 9.607262e-03 | val n/a
epoch 0119 | 0.31s | horizon 01 | train 9.541333e-03 | val n/a
epoch 0120 | 0.32s | horizon 01 | train 9.273223e-03 | val n/a
epoch 0121 | 0.22s | horizon 01 | train 9.211597e-03 | val n/a
epoch 0122 | 0.22s | horizon 01 | train 9.719754e-03 | val n/a
epoch 0123 | 0.30s | horizon 01 | train 9.367459e-03 | val n/a
epoch 0124 | 0.23s | horizon 01 | train 9.569678e-03 | val n/a
epoch 0125 | 0.23s | horizon 01 | train 9.422405e-03 | val n/a
epoch 0126 | 0.29s | horizon 01 | train 9.676047e-03 | val n/a
epoch 0127 | 0.22s | horizon 01 | train 9.388242e-03 | val n/a
epoch 0128 | 0.31s | horizon 01 | train 9.561262e-03 | val n/a
epoch 0129 | 0.28s | horizon 01 | train 1.000815e-02 | val n/a
epoch 0130 | 0.27s | horizon 01 | train 9.656620e-03 | val n/a
epoch 0131 | 0.29s | horizon 01 | train 9.566424e-03 | val n/a
epoch 0132 | 0.22s | horizon 01 | train 9.688675e-03 | val n/a
epoch 0133 | 0.34s | horizon 01 | train 9.668144e-03 | val n/a
epoch 0134 | 0.32s | horizon 01 | train 1.029335e-02 | val n/a
epoch 0135 | 0.25s | horizon 01 | train 9.883720e-03 | val n/a
epoch 0136 | 0.27s | horizon 01 | train 9.910104e-03 | val n/a
epoch 0137 | 0.30s | horizon 01 | train 9.838251e-03 | val n/a
epoch 0138 | 0.20s | horizon 01 | train 9.416303e-03 | val n/a
epoch 0139 | 0.22s | horizon 01 | train 9.257241e-03 | val n/a
epoch 0140 | 0.22s | horizon 01 | train 9.386505e-03 | val n/a
epoch 0141 | 0.24s | horizon 01 | train 9.260491e-03 | val n/a
epoch 0142 | 0.24s | horizon 01 | train 9.589845e-03 | val n/a
epoch 0143 | 0.25s | horizon 01 | train 9.375800e-03 | val n/a
epoch 0144 | 0.26s | horizon 01 | train 1.018592e-02 | val n/a
epoch 0145 | 0.29s | horizon 01 | train 9.314427e-03 | val n/a
epoch 0146 | 0.27s | horizon 01 | train 9.348829e-03 | val n/a
epoch 0147 | 0.25s | horizon 01 | train 9.656104e-03 | val n/a
