nohup: ignoring input
epoch 0000 | 9.46s | horizon 01 | train 2.634447e-02 | val 1.45577848e+00
epoch 0001 | 14.33s | horizon 01 | train 1.307635e-02 | val 1.22852923e+00
epoch 0002 | 16.24s | horizon 01 | train 9.218494e-03 | val 1.19814001e+00
epoch 0003 | 30.86s | horizon 01 | train 7.745808e-03 | val 1.13819998e+00
epoch 0004 | 32.07s | horizon 01 | train 7.125270e-03 | val 1.06818404e+00
epoch 0005 | 29.83s | horizon 01 | train 6.742439e-03 | val 1.02304297e+00
epoch 0006 | 27.90s | horizon 01 | train 6.621664e-03 | val 1.08798991e+00
epoch 0007 | 32.92s | horizon 01 | train 6.099251e-03 | val 1.03573485e+00
epoch 0008 | 32.75s | horizon 01 | train 6.353859e-03 | val 1.05273160e+00
epoch 0009 | 31.87s | horizon 01 | train 6.123578e-03 | val 9.30197959e-01
epoch 0010 | 31.55s | horizon 01 | train 6.243947e-03 | val 9.07730474e-01
epoch 0011 | 33.02s | horizon 01 | train 6.235909e-03 | val 9.61969190e-01
epoch 0012 | 31.81s | horizon 01 | train 6.032544e-03 | val 8.89974465e-01
epoch 0013 | 29.38s | horizon 01 | train 6.503672e-03 | val 9.38174310e-01
epoch 0014 | 34.81s | horizon 01 | train 6.312469e-03 | val 8.54609938e-01
epoch 0015 | 24.79s | horizon 01 | train 6.100599e-03 | val 9.19106088e-01
epoch 0016 | 25.46s | horizon 01 | train 6.081957e-03 | val 8.47621102e-01
epoch 0017 | 28.64s | horizon 01 | train 6.062814e-03 | val 9.64339705e-01
epoch 0018 | 31.06s | horizon 01 | train 6.094167e-03 | val 9.22901888e-01
epoch 0019 | 32.35s | horizon 01 | train 5.907359e-03 | val 9.26603022e-01
epoch 0020 | 29.43s | horizon 01 | train 6.364692e-03 | val 9.32365670e-01
epoch 0021 | 33.41s | horizon 01 | train 6.070196e-03 | val 8.97497802e-01
epoch 0022 | 35.64s | horizon 01 | train 6.178122e-03 | val 9.26573215e-01
epoch 0023 | 31.47s | horizon 01 | train 5.801847e-03 | val 9.13673687e-01
epoch 0024 | 34.11s | horizon 01 | train 6.025682e-03 | val 9.16272674e-01
epoch 0025 | 29.13s | horizon 01 | train 6.119147e-03 | val 9.41140313e-01
epoch 0026 | 25.40s | horizon 01 | train 5.914993e-03 | val 8.79057198e-01
epoch 0027 | 26.71s | horizon 01 | train 5.884445e-03 | val 9.79626961e-01
epoch 0028 | 25.22s | horizon 01 | train 6.060373e-03 | val 9.86923418e-01
epoch 0029 | 29.99s | horizon 01 | train 5.991413e-03 | val 8.71326203e-01
epoch 0030 | 26.02s | horizon 01 | train 6.037044e-03 | val 9.20312548e-01
epoch 0031 | 27.41s | horizon 01 | train 6.149025e-03 | val 8.89864731e-01
epoch 0032 | 40.30s | horizon 01 | train 5.641833e-03 | val 9.68843474e-01
epoch 0033 | 42.38s | horizon 01 | train 5.877830e-03 | val 9.14214191e-01
epoch 0034 | 44.91s | horizon 01 | train 5.797422e-03 | val 8.54002991e-01
epoch 0035 | 47.23s | horizon 01 | train 5.995574e-03 | val 8.63914008e-01
epoch 0036 | 44.46s | horizon 01 | train 5.854456e-03 | val 9.20442166e-01
epoch 0037 | 49.03s | horizon 01 | train 5.997602e-03 | val 9.60951777e-01
epoch 0038 | 45.18s | horizon 01 | train 5.931053e-03 | val 9.56767969e-01
epoch 0039 | 45.56s | horizon 01 | train 6.067879e-03 | val 8.58272824e-01
epoch 0040 | 46.52s | horizon 01 | train 5.636482e-03 | val 9.23344588e-01
epoch 0041 | 45.52s | horizon 01 | train 6.052483e-03 | val 8.75701928e-01
epoch 0042 | 45.03s | horizon 01 | train 5.731573e-03 | val 9.16197395e-01
epoch 0043 | 46.18s | horizon 01 | train 5.918937e-03 | val 8.89806938e-01
