nohup: ignoring input
epoch 0000 | 37.21s | horizon 01 | train 7.445830e-03 | val n/a
epoch 0001 | 35.77s | horizon 01 | train 6.365893e-03 | val n/a
epoch 0002 | 31.24s | horizon 01 | train 4.973002e-03 | val n/a
epoch 0003 | 30.21s | horizon 01 | train 4.387090e-03 | val n/a
epoch 0004 | 35.94s | horizon 01 | train 4.107247e-03 | val n/a
epoch 0005 | 35.54s | horizon 01 | train 3.917558e-03 | val n/a
epoch 0006 | 26.46s | horizon 01 | train 3.779521e-03 | val n/a
epoch 0007 | 33.48s | horizon 01 | train 3.676798e-03 | val n/a
epoch 0008 | 36.07s | horizon 01 | train 3.598782e-03 | val n/a
epoch 0009 | 30.49s | horizon 01 | train 3.523245e-03 | val n/a
epoch 0010 | 29.76s | horizon 01 | train 3.472123e-03 | val n/a
epoch 0011 | 37.58s | horizon 01 | train 3.415346e-03 | val n/a
epoch 0012 | 27.61s | horizon 01 | train 3.367998e-03 | val n/a
epoch 0013 | 29.55s | horizon 01 | train 3.346749e-03 | val n/a
epoch 0014 | 37.09s | horizon 01 | train 3.278891e-03 | val n/a
epoch 0015 | 28.53s | horizon 01 | train 3.253164e-03 | val n/a
epoch 0016 | 23.69s | horizon 01 | train 3.212453e-03 | val n/a
epoch 0017 | 32.62s | horizon 01 | train 3.182670e-03 | val n/a
epoch 0018 | 30.33s | horizon 01 | train 3.144706e-03 | val n/a
epoch 0019 | 29.16s | horizon 01 | train 3.114909e-03 | val n/a
epoch 0020 | 31.96s | horizon 01 | train 3.088622e-03 | val n/a
epoch 0021 | 30.09s | horizon 01 | train 3.056203e-03 | val n/a
epoch 0022 | 33.11s | horizon 01 | train 3.026316e-03 | val n/a
epoch 0023 | 26.11s | horizon 01 | train 3.004584e-03 | val n/a
epoch 0024 | 31.39s | horizon 01 | train 2.991399e-03 | val n/a
epoch 0025 | 24.92s | horizon 01 | train 2.955614e-03 | val n/a
epoch 0026 | 23.85s | horizon 01 | train 2.949411e-03 | val n/a
epoch 0027 | 30.00s | horizon 01 | train 2.967287e-03 | val n/a
epoch 0028 | 28.29s | horizon 01 | train 2.901172e-03 | val n/a
epoch 0029 | 25.20s | horizon 01 | train 2.881945e-03 | val n/a
epoch 0030 | 26.08s | horizon 01 | train 2.872800e-03 | val n/a
epoch 0031 | 22.32s | horizon 01 | train 2.862624e-03 | val n/a
epoch 0032 | 24.77s | horizon 01 | train 2.843152e-03 | val n/a
epoch 0033 | 23.14s | horizon 01 | train 2.826995e-03 | val n/a
