nohup: ignoring input
epoch 0000 | 1.06s | horizon 01 | train 3.167817e-01 | val 1.45535288e-01
epoch 0001 | 0.22s | horizon 01 | train 1.411411e-01 | val 1.10481863e-01
epoch 0002 | 0.25s | horizon 01 | train 9.038175e-02 | val 6.72638369e-02
epoch 0003 | 0.27s | horizon 01 | train 6.737061e-02 | val 5.51990640e-02
epoch 0004 | 0.22s | horizon 01 | train 4.973538e-02 | val 4.20047665e-02
epoch 0005 | 0.21s | horizon 01 | train 3.897790e-02 | val 3.91958809e-02
epoch 0006 | 0.21s | horizon 01 | train 3.975959e-02 | val 3.38348556e-02
epoch 0007 | 0.21s | horizon 01 | train 3.205819e-02 | val 3.20112002e-02
epoch 0008 | 0.21s | horizon 01 | train 3.137313e-02 | val 2.82536346e-02
epoch 0009 | 0.24s | horizon 01 | train 2.700501e-02 | val 2.79937005e-02
epoch 0010 | 0.24s | horizon 01 | train 2.661836e-02 | val 2.89883518e-02
epoch 0011 | 0.22s | horizon 01 | train 2.535318e-02 | val 2.82864773e-02
epoch 0012 | 0.21s | horizon 01 | train 2.986464e-02 | val 2.62044942e-02
epoch 0013 | 0.21s | horizon 01 | train 2.463654e-02 | val 2.39165080e-02
epoch 0014 | 0.21s | horizon 01 | train 2.273894e-02 | val 2.31235087e-02
epoch 0015 | 0.21s | horizon 01 | train 2.217961e-02 | val 2.42620027e-02
epoch 0016 | 0.27s | horizon 01 | train 2.242479e-02 | val 2.45666760e-02
epoch 0017 | 0.19s | horizon 01 | train 2.058026e-02 | val 2.13563061e-02
epoch 0018 | 0.25s | horizon 01 | train 1.998837e-02 | val 2.27175939e-02
epoch 0019 | 0.20s | horizon 01 | train 2.008245e-02 | val 2.12791914e-02
epoch 0020 | 0.18s | horizon 01 | train 2.019163e-02 | val 2.11255246e-02
epoch 0021 | 0.18s | horizon 01 | train 2.012453e-02 | val 2.18025982e-02
epoch 0022 | 0.18s | horizon 01 | train 2.075284e-02 | val 1.94101405e-02
epoch 0023 | 0.18s | horizon 01 | train 1.794981e-02 | val 2.18619484e-02
epoch 0024 | 0.18s | horizon 01 | train 1.969098e-02 | val 1.96581942e-02
epoch 0025 | 0.18s | horizon 01 | train 1.922300e-02 | val 1.94891942e-02
epoch 0026 | 0.18s | horizon 01 | train 1.694291e-02 | val 2.23496783e-02
epoch 0027 | 0.18s | horizon 01 | train 1.911309e-02 | val 2.40659893e-02
epoch 0028 | 0.18s | horizon 01 | train 2.301256e-02 | val 1.97122341e-02
epoch 0029 | 0.18s | horizon 01 | train 1.674779e-02 | val 1.72981727e-02
epoch 0030 | 0.20s | horizon 01 | train 1.776269e-02 | val 4.42076683e-02
epoch 0031 | 0.21s | horizon 01 | train 2.765294e-02 | val 2.87338603e-02
