nohup: ignoring input
epoch 0000 | 8.41s | horizon 01 | train 7.945471e-03 | val 7.27609092e-02
epoch 0001 | 8.14s | horizon 01 | train 7.055841e-03 | val 5.92039144e-02
epoch 0002 | 7.42s | horizon 01 | train 5.804409e-03 | val 5.23651269e-02
epoch 0003 | 7.33s | horizon 01 | train 5.212118e-03 | val 5.27248175e-02
epoch 0004 | 7.13s | horizon 01 | train 4.795610e-03 | val 5.08248304e-02
epoch 0005 | 7.09s | horizon 01 | train 4.542640e-03 | val 5.09768385e-02
epoch 0006 | 7.00s | horizon 01 | train 4.334122e-03 | val 5.10249496e-02
epoch 0007 | 7.06s | horizon 01 | train 4.177283e-03 | val 5.17677443e-02
epoch 0008 | 7.21s | horizon 01 | train 4.042893e-03 | val 5.19726916e-02
epoch 0009 | 7.11s | horizon 01 | train 3.938661e-03 | val 5.02155478e-02
epoch 0010 | 7.07s | horizon 01 | train 3.852742e-03 | val 5.06282684e-02
epoch 0011 | 7.10s | horizon 01 | train 3.787453e-03 | val 4.99431972e-02
epoch 0012 | 7.40s | horizon 01 | train 3.736827e-03 | val 4.86446571e-02
epoch 0013 | 7.27s | horizon 01 | train 3.694077e-03 | val 6.89231029e-02
epoch 0014 | 7.35s | horizon 01 | train 3.652853e-03 | val 4.80479503e-02
epoch 0015 | 7.24s | horizon 01 | train 3.620152e-03 | val 6.53659710e-02
epoch 0016 | 7.39s | horizon 01 | train 3.589165e-03 | val 5.75222601e-02
epoch 0017 | 7.18s | horizon 01 | train 3.557432e-03 | val 5.11829546e-02
epoch 0018 | 7.45s | horizon 01 | train 3.527542e-03 | val 4.21958539e-02
epoch 0019 | 7.37s | horizon 01 | train 3.500139e-03 | val 4.50813256e-02
epoch 0020 | 7.27s | horizon 01 | train 3.474232e-03 | val 8.95163697e-02
epoch 0021 | 7.27s | horizon 01 | train 3.452952e-03 | val 4.92560048e-02
epoch 0022 | 7.32s | horizon 01 | train 3.425181e-03 | val 8.37229705e-02
epoch 0023 | 7.39s | horizon 01 | train 3.411042e-03 | val 1.31272340e-01
epoch 0024 | 7.22s | horizon 01 | train 3.383824e-03 | val 6.29554757e-02
epoch 0025 | 7.25s | horizon 01 | train 3.363487e-03 | val 1.11954945e-01
epoch 0026 | 7.20s | horizon 01 | train 3.337773e-03 | val 8.86668563e-02
epoch 0027 | 7.30s | horizon 01 | train 3.318931e-03 | val 5.64699204e-02
epoch 0028 | 7.52s | horizon 01 | train 3.301769e-03 | val 7.28248873e-02
epoch 0029 | 7.33s | horizon 01 | train 3.288550e-03 | val 1.32083619e-01
epoch 0030 | 7.20s | horizon 01 | train 3.266487e-03 | val 6.13582666e-02
epoch 0031 | 7.31s | horizon 01 | train 3.251422e-03 | val 6.10596624e-02
epoch 0032 | 7.36s | horizon 01 | train 3.231198e-03 | val 7.06186897e-02
epoch 0033 | 7.27s | horizon 01 | train 3.217028e-03 | val 7.49290347e-02
epoch 0034 | 7.28s | horizon 01 | train 3.203688e-03 | val 5.97295393e-02
epoch 0035 | 7.38s | horizon 01 | train 3.193103e-03 | val 1.36352277e-01
epoch 0036 | 7.35s | horizon 01 | train 3.174739e-03 | val 1.44219621e-01
epoch 0037 | 7.35s | horizon 01 | train 3.160657e-03 | val 6.10226056e-02
epoch 0038 | 7.38s | horizon 01 | train 3.150346e-03 | val 6.19010405e-02
epoch 0039 | 7.47s | horizon 01 | train 3.131497e-03 | val 8.37494856e-02
epoch 0040 | 7.47s | horizon 01 | train 3.120872e-03 | val 9.25226253e-02
epoch 0041 | 7.68s | horizon 01 | train 3.105457e-03 | val 1.28214099e-01
epoch 0042 | 7.16s | horizon 01 | train 3.094709e-03 | val 6.11566097e-02
epoch 0043 | 7.22s | horizon 01 | train 3.080928e-03 | val 1.12815155e-01
epoch 0044 | 7.14s | horizon 01 | train 3.068106e-03 | val 2.07498556e-01
epoch 0045 | 7.26s | horizon 01 | train 3.052830e-03 | val 1.72482883e-01
epoch 0046 | 6.99s | horizon 01 | train 3.042901e-03 | val 2.36329515e-01
epoch 0047 | 7.07s | horizon 01 | train 3.026116e-03 | val 6.40682533e-02
epoch 0048 | 7.06s | horizon 01 | train 3.013677e-03 | val 9.48634183e-02
epoch 0049 | 7.05s | horizon 01 | train 3.004085e-03 | val 1.68463016e-01
epoch 0050 | 19.35s | horizon 05 | train 1.033419e-02 | val 3.38190401e-01
epoch 0051 | 19.11s | horizon 05 | train 7.555380e-03 | val 2.71036426e-01
epoch 0052 | 19.36s | horizon 05 | train 1.037479e-02 | val 2.96640549e-01
epoch 0053 | 19.22s | horizon 05 | train 9.336434e-03 | val 1.75701802e-01
epoch 0054 | 19.75s | horizon 05 | train 8.744164e-03 | val 1.16699390e-01
epoch 0055 | 20.42s | horizon 05 | train 8.401185e-03 | val 1.19447340e-01
epoch 0056 | 20.55s | horizon 05 | train 8.166034e-03 | val 1.21834514e-01
epoch 0057 | 23.16s | horizon 05 | train 8.006162e-03 | val 1.34619728e-01
epoch 0058 | 40.89s | horizon 05 | train 7.955156e-03 | val 1.76088015e-01
epoch 0059 | 48.14s | horizon 05 | train 7.873852e-03 | val 1.77685181e-01
epoch 0060 | 47.53s | horizon 05 | train 7.736555e-03 | val 7.85816130e-02
epoch 0061 | 44.53s | horizon 05 | train 7.636295e-03 | val 1.33517795e-01
epoch 0062 | 48.61s | horizon 05 | train 7.602585e-03 | val 2.26575308e-01
epoch 0063 | 42.68s | horizon 05 | train 6.989198e-03 | val 7.08358106e-02
epoch 0064 | 50.09s | horizon 05 | train 9.150139e-03 | val 1.28590067e-01
epoch 0065 | 46.43s | horizon 05 | train 6.911374e-03 | val 9.91414702e-02
epoch 0066 | 49.87s | horizon 05 | train 7.469888e-03 | val 9.02648482e-02
epoch 0067 | 49.38s | horizon 05 | train 6.413619e-03 | val 1.44029672e-01
epoch 0068 | 46.78s | horizon 05 | train 7.048798e-03 | val 8.64142311e-02
epoch 0069 | 49.82s | horizon 05 | train 6.927739e-03 | val 5.89130159e-02
epoch 0070 | 43.50s | horizon 05 | train 7.558374e-03 | val 1.19738926e-01
epoch 0071 | 50.02s | horizon 05 | train 6.421021e-03 | val 1.89882415e-01
epoch 0072 | 47.40s | horizon 05 | train 6.129096e-03 | val 7.31342725e-02
epoch 0073 | 48.52s | horizon 05 | train 6.165762e-03 | val 7.49097976e-02
