nohup: ignoring input
epoch 0000 | 0.85s | horizon 01 | train 1.548139e-01 | test 4.093779e-01
epoch 0001 | 0.32s | horizon 01 | train 5.598012e-02 | test 4.091800e-01
epoch 0002 | 0.33s | horizon 01 | train 4.596703e-02 | test 4.261341e-01
epoch 0003 | 0.33s | horizon 01 | train 4.104703e-02 | test 3.806243e-01
epoch 0004 | 0.33s | horizon 01 | train 3.575669e-02 | test 3.472764e-01
epoch 0005 | 0.32s | horizon 01 | train 2.756717e-02 | test 2.874365e-01
epoch 0006 | 0.33s | horizon 01 | train 1.675721e-02 | test 2.088511e-01
epoch 0007 | 0.32s | horizon 01 | train 1.002258e-02 | test 1.692713e-01
epoch 0008 | 0.33s | horizon 01 | train 7.725932e-03 | test 1.495893e-01
epoch 0009 | 0.34s | horizon 01 | train 6.158098e-03 | test 1.324563e-01
epoch 0010 | 0.32s | horizon 01 | train 5.150553e-03 | test 1.203786e-01
epoch 0011 | 0.32s | horizon 01 | train 4.577940e-03 | test 1.159613e-01
epoch 0012 | 0.32s | horizon 01 | train 4.166376e-03 | test 1.111470e-01
epoch 0013 | 0.33s | horizon 01 | train 3.878485e-03 | test 1.059844e-01
epoch 0014 | 0.32s | horizon 01 | train 3.735914e-03 | test 1.038482e-01
epoch 0015 | 0.33s | horizon 01 | train 3.465631e-03 | test 9.794673e-02
epoch 0016 | 0.33s | horizon 01 | train 3.276033e-03 | test 9.389957e-02
epoch 0017 | 0.33s | horizon 01 | train 3.126591e-03 | test 1.049084e-01
epoch 0018 | 0.33s | horizon 01 | train 3.131955e-03 | test 9.264928e-02
epoch 0019 | 0.33s | horizon 01 | train 2.904005e-03 | test 8.978084e-02
epoch 0020 | 0.31s | horizon 01 | train 2.710904e-03 | test 8.776773e-02
epoch 0021 | 0.26s | horizon 01 | train 2.689598e-03 | test 8.258851e-02
epoch 0022 | 0.24s | horizon 01 | train 2.549920e-03 | test 8.180355e-02
epoch 0023 | 0.24s | horizon 01 | train 2.534735e-03 | test 7.975845e-02
epoch 0024 | 0.24s | horizon 01 | train 2.423526e-03 | test 7.484229e-02
epoch 0025 | 0.24s | horizon 01 | train 2.219433e-03 | test 7.283093e-02
epoch 0026 | 0.24s | horizon 01 | train 2.204087e-03 | test 7.023839e-02
epoch 0027 | 0.24s | horizon 01 | train 2.113597e-03 | test 7.257466e-02
epoch 0028 | 0.24s | horizon 01 | train 2.105404e-03 | test 6.751751e-02
epoch 0029 | 0.24s | horizon 01 | train 2.103282e-03 | test 7.863740e-02
epoch 0030 | 0.24s | horizon 01 | train 2.120162e-03 | test 6.723053e-02
epoch 0031 | 0.24s | horizon 01 | train 2.058755e-03 | test 7.563402e-02
epoch 0032 | 0.23s | horizon 01 | train 1.980066e-03 | test 6.689833e-02
epoch 0033 | 0.24s | horizon 01 | train 1.897913e-03 | test 6.625380e-02
epoch 0034 | 0.23s | horizon 01 | train 1.842846e-03 | test 6.235844e-02
epoch 0035 | 0.24s | horizon 01 | train 1.812920e-03 | test 6.018370e-02
epoch 0036 | 0.24s | horizon 01 | train 1.785049e-03 | test 6.189430e-02
