nohup: ignoring input
epoch 0000 | 14.67s | horizon 01 | train 3.465383e-02 | test 2.242702e+00
epoch 0001 | 12.64s | horizon 01 | train 2.347152e-03 | test nan
epoch 0002 | 12.54s | horizon 01 | train 7.024664e-04 | test nan
epoch 0003 | 12.10s | horizon 01 | train 5.735334e-04 | test nan
epoch 0004 | 12.29s | horizon 01 | train 5.127156e-04 | test nan
epoch 0005 | 12.14s | horizon 01 | train 4.845340e-04 | test nan
epoch 0006 | 11.94s | horizon 01 | train 4.680831e-04 | test nan
epoch 0007 | 12.15s | horizon 01 | train 4.546937e-04 | test nan
epoch 0008 | 11.99s | horizon 01 | train 4.450261e-04 | test nan
epoch 0009 | 12.03s | horizon 01 | train 4.370404e-04 | test nan
epoch 0010 | 12.00s | horizon 01 | train 4.292685e-04 | test nan
epoch 0011 | 12.11s | horizon 01 | train 4.234942e-04 | test nan
epoch 0012 | 12.42s | horizon 01 | train 4.174127e-04 | test nan
epoch 0013 | 12.17s | horizon 01 | train 4.090600e-04 | test nan
epoch 0014 | 11.93s | horizon 01 | train 4.021968e-04 | test nan
epoch 0015 | 12.50s | horizon 01 | train 3.958337e-04 | test nan
epoch 0016 | 12.02s | horizon 01 | train 3.900177e-04 | test nan
epoch 0017 | 11.92s | horizon 01 | train 3.807592e-04 | test nan
epoch 0018 | 12.46s | horizon 01 | train 3.740102e-04 | test nan
epoch 0019 | 12.30s | horizon 01 | train 3.667711e-04 | test nan
epoch 0020 | 12.22s | horizon 01 | train 3.588510e-04 | test nan
epoch 0021 | 12.16s | horizon 01 | train 3.521668e-04 | test nan
epoch 0022 | 12.25s | horizon 01 | train 3.439405e-04 | test nan
epoch 0023 | 12.16s | horizon 01 | train 3.355696e-04 | test nan
epoch 0024 | 12.34s | horizon 01 | train 3.291904e-04 | test nan
epoch 0025 | 12.32s | horizon 01 | train 3.243310e-04 | test nan
epoch 0026 | 12.51s | horizon 01 | train 3.146576e-04 | test nan
epoch 0027 | 12.38s | horizon 01 | train 3.090277e-04 | test nan
epoch 0028 | 12.14s | horizon 01 | train 3.101596e-04 | test nan
epoch 0029 | 12.14s | horizon 01 | train 3.049631e-04 | test nan
epoch 0030 | 11.88s | horizon 01 | train 2.957623e-04 | test nan
epoch 0031 | 12.06s | horizon 01 | train 2.925943e-04 | test nan
epoch 0032 | 12.55s | horizon 01 | train 2.914077e-04 | test nan
epoch 0033 | 12.71s | horizon 01 | train 2.884080e-04 | test nan
epoch 0034 | 12.45s | horizon 01 | train 2.861922e-04 | test nan
epoch 0035 | 12.27s | horizon 01 | train 2.829411e-04 | test nan
epoch 0036 | 12.48s | horizon 01 | train 2.842955e-04 | test nan
epoch 0037 | 12.22s | horizon 01 | train 2.808482e-04 | test nan
epoch 0038 | 12.22s | horizon 01 | train 2.806744e-04 | test nan
epoch 0039 | 12.14s | horizon 01 | train 2.790985e-04 | test nan
epoch 0040 | 22.02s | horizon 05 | train 6.038784e-03 | test nan
epoch 0041 | 21.46s | horizon 05 | train 2.807141e-03 | test nan
epoch 0042 | 21.61s | horizon 05 | train 2.597063e-03 | test nan
epoch 0043 | 21.34s | horizon 05 | train 2.471760e-03 | test nan
epoch 0044 | 21.39s | horizon 05 | train 2.358968e-03 | test nan
epoch 0045 | 21.64s | horizon 05 | train 2.353950e-03 | test 1.069167e+00
epoch 0046 | 21.55s | horizon 05 | train 2.265378e-03 | test 1.749708e+00
epoch 0047 | 21.62s | horizon 05 | train 2.200243e-03 | test 3.724488e+04
epoch 0048 | 21.46s | horizon 05 | train 2.165988e-03 | test 1.618264e+00
epoch 0049 | 21.49s | horizon 05 | train 2.136828e-03 | test 1.195653e+00
epoch 0050 | 21.53s | horizon 05 | train 2.101436e-03 | test 1.069503e+00
epoch 0051 | 21.79s | horizon 05 | train 2.100811e-03 | test 1.218923e+00
epoch 0052 | 21.76s | horizon 05 | train 2.026453e-03 | test 1.040811e+00
epoch 0053 | 21.73s | horizon 05 | train 2.048154e-03 | test 1.141489e+00
epoch 0054 | 21.75s | horizon 05 | train 1.960551e-03 | test 1.188365e+00
epoch 0055 | 21.85s | horizon 05 | train 1.947854e-03 | test 1.064730e+00
epoch 0056 | 22.05s | horizon 05 | train 1.950175e-03 | test 1.060972e+00
epoch 0057 | 21.27s | horizon 05 | train 1.918230e-03 | test 1.199153e+00
epoch 0058 | 21.53s | horizon 05 | train 1.930899e-03 | test 1.367698e+00
epoch 0059 | 21.77s | horizon 05 | train 1.847556e-03 | test 9.548248e-01
epoch 0060 | 23.20s | horizon 05 | train 1.805971e-03 | test 1.043188e+00
epoch 0061 | 24.80s | horizon 05 | train 1.802367e-03 | test 9.412883e-01
epoch 0062 | 25.70s | horizon 05 | train 1.838349e-03 | test 1.079123e+00
epoch 0063 | 41.11s | horizon 05 | train 1.817248e-03 | test 1.042825e+00
epoch 0064 | 59.35s | horizon 05 | train 1.771502e-03 | test 1.151744e+00
epoch 0065 | 25.41s | horizon 05 | train 1.757762e-03 | test 1.000115e+00
