nohup: ignoring input
epoch 0000 | 13.56s | horizon 01 | fallback 00 | train 7.645361e-02 | test 1.288853e+00
epoch 0001 | 11.60s | horizon 01 | fallback 00 | train 1.695390e-02 | test 8.592404e-01
epoch 0002 | 10.95s | horizon 01 | fallback 00 | train 1.230324e-02 | test 8.835935e-01
epoch 0003 | 11.39s | horizon 01 | fallback 00 | train 1.120107e-02 | test 8.138277e-01
epoch 0004 | 10.64s | horizon 01 | fallback 00 | train 1.053760e-02 | test 7.928373e-01
epoch 0005 | 10.90s | horizon 01 | fallback 00 | train 1.002273e-02 | test 7.436924e-01
epoch 0006 | 13.00s | horizon 01 | fallback 00 | train 9.621071e-03 | test 7.162138e-01
epoch 0007 | 13.04s | horizon 01 | fallback 00 | train 9.307568e-03 | test 7.308992e-01
epoch 0008 | 11.14s | horizon 01 | fallback 00 | train 8.988546e-03 | test 7.177858e-01
epoch 0009 | 13.07s | horizon 01 | fallback 00 | train 8.794159e-03 | test 7.344711e-01
epoch 0010 | 10.74s | horizon 01 | fallback 00 | train 8.602026e-03 | test 6.901728e-01
epoch 0011 | 9.86s | horizon 01 | fallback 00 | train 8.527236e-03 | test 7.840451e-01
epoch 0012 | 11.10s | horizon 01 | fallback 00 | train 8.399933e-03 | test 7.143555e-01
epoch 0013 | 10.17s | horizon 01 | fallback 00 | train 8.326043e-03 | test 7.219989e-01
epoch 0014 | 11.45s | horizon 01 | fallback 00 | train 8.234031e-03 | test 6.928052e-01
epoch 0015 | 12.49s | horizon 01 | fallback 00 | train 8.198673e-03 | test 6.911270e-01
epoch 0016 | 10.79s | horizon 01 | fallback 00 | train 8.117823e-03 | test 6.825245e-01
epoch 0017 | 11.45s | horizon 01 | fallback 00 | train 7.993822e-03 | test 6.967696e-01
epoch 0018 | 13.39s | horizon 01 | fallback 00 | train 7.879813e-03 | test 6.888348e-01
epoch 0019 | 11.19s | horizon 01 | fallback 00 | train 7.835029e-03 | test 6.785727e-01
epoch 0020 | 12.51s | horizon 01 | fallback 00 | train 7.764905e-03 | test 6.756057e-01
epoch 0021 | 10.75s | horizon 01 | fallback 00 | train 7.728022e-03 | test 7.029458e-01
epoch 0022 | 10.38s | horizon 01 | fallback 00 | train 7.572708e-03 | test 6.918808e-01
epoch 0023 | 10.94s | horizon 01 | fallback 00 | train 7.471765e-03 | test 6.809943e-01
epoch 0024 | 10.09s | horizon 01 | fallback 00 | train 7.372172e-03 | test 6.806115e-01
