nohup: ignoring input
epoch 0000 | 9.37s | horizon 01 | fallback 00 | train 4.017862e-01 | test 9.864244e-02
epoch 0001 | 9.07s | horizon 01 | fallback 00 | train 4.369422e-02 | test 8.175635e-02
epoch 0002 | 9.10s | horizon 01 | fallback 00 | train 2.267882e-03 | test 7.804871e-02
epoch 0003 | 13.17s | horizon 01 | fallback 00 | train 1.009136e-03 | test 7.441755e-02
epoch 0004 | 11.26s | horizon 01 | fallback 00 | train 6.763638e-04 | test 7.319573e-02
epoch 0005 | 9.62s | horizon 01 | fallback 00 | train 5.780721e-04 | test 7.118723e-02
epoch 0006 | 9.61s | horizon 01 | fallback 00 | train 5.278769e-04 | test 6.977314e-02
epoch 0007 | 10.32s | horizon 01 | fallback 00 | train 4.954457e-04 | test 6.825253e-02
epoch 0008 | 9.98s | horizon 01 | fallback 00 | train 4.713200e-04 | test 6.679442e-02
epoch 0009 | 8.40s | horizon 01 | fallback 00 | train 4.512943e-04 | test 6.623895e-02
epoch 0010 | 9.17s | horizon 01 | fallback 00 | train 4.331552e-04 | test 6.434512e-02
epoch 0011 | 8.89s | horizon 01 | fallback 00 | train 4.162681e-04 | test 6.354631e-02
epoch 0012 | 8.96s | horizon 01 | fallback 00 | train 4.002191e-04 | test 6.408353e-02
epoch 0013 | 8.52s | horizon 01 | fallback 00 | train 3.846894e-04 | test 6.424278e-02
epoch 0014 | 8.56s | horizon 01 | fallback 00 | train 3.696111e-04 | test 6.090386e-02
epoch 0015 | 9.57s | horizon 01 | fallback 00 | train 3.550037e-04 | test 6.081607e-02
epoch 0016 | 8.74s | horizon 01 | fallback 00 | train 3.407369e-04 | test 6.003217e-02
epoch 0017 | 8.47s | horizon 01 | fallback 00 | train 3.269245e-04 | test 6.003068e-02
epoch 0018 | 9.19s | horizon 01 | fallback 00 | train 3.133510e-04 | test 5.981088e-02
epoch 0019 | 9.00s | horizon 01 | fallback 00 | train 3.002783e-04 | test 6.262986e-02
epoch 0020 | 9.31s | horizon 01 | fallback 00 | train 2.870770e-04 | test 5.979594e-02
epoch 0021 | 9.34s | horizon 01 | fallback 00 | train 2.744457e-04 | test 6.046866e-02
epoch 0022 | 8.39s | horizon 01 | fallback 00 | train 2.620415e-04 | test 5.929618e-02
epoch 0023 | 9.25s | horizon 01 | fallback 00 | train 2.498992e-04 | test 5.930988e-02
epoch 0024 | 8.55s | horizon 01 | fallback 00 | train 2.384240e-04 | test 6.021695e-02
epoch 0025 | 8.52s | horizon 01 | fallback 00 | train 2.273599e-04 | test 5.935970e-02
epoch 0026 | 9.58s | horizon 01 | fallback 00 | train 2.172507e-04 | test 5.934017e-02
epoch 0027 | 9.19s | horizon 01 | fallback 00 | train 2.077066e-04 | test 5.935820e-02
epoch 0028 | 9.27s | horizon 01 | fallback 00 | train 1.994558e-04 | test 5.957745e-02
epoch 0029 | 9.31s | horizon 01 | fallback 00 | train 1.918479e-04 | test 5.972502e-02
epoch 0030 | 8.55s | horizon 01 | fallback 00 | train 1.852815e-04 | test 6.088752e-02
epoch 0031 | 9.51s | horizon 01 | fallback 00 | train 1.795847e-04 | test 6.026405e-02
epoch 0032 | 8.84s | horizon 01 | fallback 00 | train 1.746673e-04 | test 6.160259e-02
epoch 0033 | 8.55s | horizon 01 | fallback 00 | train 1.707129e-04 | test 6.044609e-02
epoch 0034 | 9.15s | horizon 01 | fallback 00 | train 1.671679e-04 | test 6.057644e-02
epoch 0035 | 8.67s | horizon 01 | fallback 00 | train 1.644943e-04 | test 6.063199e-02
epoch 0036 | 9.22s | horizon 01 | fallback 00 | train 1.619540e-04 | test 6.128700e-02
epoch 0037 | 8.56s | horizon 01 | fallback 00 | train 1.597311e-04 | test 6.180869e-02
epoch 0038 | 8.57s | horizon 01 | fallback 00 | train 1.580698e-04 | test 6.108361e-02
epoch 0039 | 9.27s | horizon 01 | fallback 00 | train 1.566736e-04 | test 6.151935e-02
epoch 0040 | 24.61s | horizon 05 | fallback 00 | train 4.350672e-04 | test 4.853112e-02
epoch 0041 | 23.33s | horizon 05 | fallback 00 | train 3.195417e-04 | test 3.767112e-02
epoch 0042 | 23.52s | horizon 05 | fallback 00 | train 2.664221e-04 | test 4.324643e-02
epoch 0043 | 24.34s | horizon 05 | fallback 00 | train 2.301513e-04 | test 3.376745e-02
epoch 0044 | 24.92s | horizon 05 | fallback 00 | train 2.124440e-04 | test 4.868221e-02
epoch 0045 | 23.80s | horizon 05 | fallback 00 | train 2.005729e-04 | test 7.676541e-02
epoch 0046 | 23.79s | horizon 05 | fallback 00 | train 2.066504e-04 | test 3.932195e-02
epoch 0047 | 24.08s | horizon 05 | fallback 00 | train 1.924184e-04 | test 3.633167e-02
epoch 0048 | 24.13s | horizon 05 | fallback 00 | train 1.911073e-04 | test 4.555522e-02
epoch 0049 | 23.98s | horizon 05 | fallback 00 | train 1.868225e-04 | test 3.897903e-02
epoch 0050 | 23.75s | horizon 05 | fallback 00 | train 1.828696e-04 | test 6.967868e-02
epoch 0051 | 23.93s | horizon 05 | fallback 00 | train 1.880512e-04 | test 4.144799e-02
epoch 0052 | 23.69s | horizon 05 | fallback 00 | train 1.824397e-04 | test 5.999969e-02
epoch 0053 | 24.03s | horizon 05 | fallback 00 | train 1.777530e-04 | test 4.625040e-02
epoch 0054 | 23.58s | horizon 05 | fallback 00 | train 1.765694e-04 | test 4.644593e-02
epoch 0055 | 24.16s | horizon 05 | fallback 00 | train 1.760391e-04 | test 4.591707e-02
epoch 0056 | 23.95s | horizon 05 | fallback 00 | train 1.741546e-04 | test 4.712264e-02
epoch 0057 | 23.71s | horizon 05 | fallback 00 | train 1.726527e-04 | test 5.842150e-02
epoch 0058 | 24.33s | horizon 05 | fallback 00 | train 1.745009e-04 | test 6.321878e-02
epoch 0059 | 24.04s | horizon 05 | fallback 00 | train 1.719149e-04 | test 4.915160e-02
epoch 0060 | 23.49s | horizon 05 | fallback 00 | train 1.703083e-04 | test 6.699095e-02
epoch 0061 | 23.63s | horizon 05 | fallback 00 | train 1.696003e-04 | test 4.801795e-02
epoch 0062 | 24.02s | horizon 05 | fallback 00 | train 1.694376e-04 | test 5.177208e-02
epoch 0063 | 27.53s | horizon 05 | fallback 00 | train 1.701038e-04 | test 4.856701e-02
epoch 0064 | 28.53s | horizon 05 | fallback 00 | train 1.685612e-04 | test 7.796399e-02
epoch 0065 | 25.40s | horizon 05 | fallback 00 | train 1.671615e-04 | test 5.021123e-02
epoch 0066 | 23.64s | horizon 05 | fallback 00 | train 1.645791e-04 | test 5.827673e-02
epoch 0067 | 24.15s | horizon 05 | fallback 00 | train 1.691375e-04 | test 5.390375e-02
epoch 0068 | 23.66s | horizon 05 | fallback 00 | train 1.632496e-04 | test 1.005555e-01
epoch 0069 | 23.37s | horizon 05 | fallback 00 | train 1.621641e-04 | test 8.077824e-02
epoch 0070 | 23.59s | horizon 05 | fallback 00 | train 1.617368e-04 | test 5.308398e-02
epoch 0071 | 30.19s | horizon 05 | fallback 00 | train 1.617900e-04 | test 1.034032e-01
epoch 0072 | 30.52s | horizon 05 | fallback 00 | train 1.634128e-04 | test 5.787647e-02
epoch 0073 | 31.16s | horizon 05 | fallback 00 | train 1.601966e-04 | test 8.543021e-02
epoch 0074 | 31.12s | horizon 05 | fallback 00 | train 1.585547e-04 | test 8.397911e-02
epoch 0075 | 29.19s | horizon 05 | fallback 00 | train 1.581073e-04 | test 6.329753e-02
epoch 0076 | 28.01s | horizon 05 | fallback 00 | train 1.603667e-04 | test 5.744978e-02
epoch 0077 | 29.71s | horizon 05 | fallback 00 | train 1.571518e-04 | test 6.512892e-02
epoch 0078 | 29.96s | horizon 05 | fallback 00 | train 1.572665e-04 | test 7.041695e-02
epoch 0079 | 29.16s | horizon 05 | fallback 00 | train 1.560268e-04 | test 6.840000e-02
epoch 0080 | 47.31s | horizon 10 | fallback 00 | train 3.293541e-04 | test 1.048320e-01
epoch 0081 | 47.41s | horizon 10 | fallback 00 | train 2.942466e-04 | test 4.544397e-02
epoch 0082 | 47.79s | horizon 10 | fallback 00 | train 2.465662e-04 | test 4.529754e-02
epoch 0083 | 47.34s | horizon 10 | fallback 00 | train 2.579085e-04 | test 1.223176e-01
epoch 0084 | 43.85s | horizon 10 | fallback 00 | train 2.580762e-04 | test 4.628772e-02
epoch 0085 | 44.55s | horizon 10 | fallback 00 | train 2.228657e-04 | test 4.250964e-02
epoch 0086 | 44.42s | horizon 10 | fallback 00 | train 2.404294e-04 | test 8.904733e-02
epoch 0087 | 45.40s | horizon 10 | fallback 00 | train 2.122918e-04 | test 4.671902e-02
epoch 0088 | 44.34s | horizon 10 | fallback 00 | train 2.419289e-04 | test 5.942877e-02
epoch 0089 | 44.34s | horizon 10 | fallback 00 | train 2.046710e-04 | test 8.870243e-02
epoch 0090 | 45.38s | horizon 10 | fallback 00 | train 2.045193e-04 | test 4.592394e-02
epoch 0091 | 44.49s | horizon 10 | fallback 00 | train 2.203888e-04 | test 1.019221e-01
epoch 0092 | 44.38s | horizon 10 | fallback 00 | train 2.134781e-04 | test 5.597079e-02
epoch 0093 | 43.54s | horizon 10 | fallback 00 | train 2.159707e-04 | test 7.072290e-02
epoch 0094 | 43.17s | horizon 10 | fallback 00 | train 2.053448e-04 | test 5.679253e-02
epoch 0095 | 43.28s | horizon 10 | fallback 00 | train 1.987250e-04 | test 5.326154e-02
epoch 0096 | 43.31s | horizon 10 | fallback 00 | train 2.216772e-04 | test 7.439969e-02
epoch 0097 | 45.57s | horizon 10 | fallback 00 | train 2.168765e-04 | test 4.673218e-02
epoch 0098 | 44.67s | horizon 10 | fallback 00 | train 2.085380e-04 | test 4.568490e-02
epoch 0099 | 45.27s | horizon 10 | fallback 00 | train 2.074076e-04 | test 6.718206e-02
epoch 0100 | 45.79s | horizon 10 | fallback 00 | train 1.872692e-04 | test 6.589452e-02
epoch 0101 | 45.05s | horizon 10 | fallback 00 | train 1.866155e-04 | test 5.150402e-02
epoch 0102 | 44.04s | horizon 10 | fallback 00 | train 1.815442e-04 | test 4.817525e-02
epoch 0103 | 42.52s | horizon 10 | fallback 00 | train 1.793025e-04 | test 4.708746e-02
epoch 0104 | 44.27s | horizon 10 | fallback 00 | train 1.774728e-04 | test 4.899111e-02
epoch 0105 | 45.08s | horizon 10 | fallback 00 | train 1.764213e-04 | test 5.198893e-02
epoch 0106 | 45.24s | horizon 10 | fallback 00 | train 1.730371e-04 | test 4.880996e-02
epoch 0107 | 43.82s | horizon 10 | fallback 00 | train 1.728749e-04 | test 4.939313e-02
epoch 0108 | 45.07s | horizon 10 | fallback 00 | train 1.716626e-04 | test 6.052442e-02
epoch 0109 | 43.85s | horizon 10 | fallback 00 | train 1.692531e-04 | test 6.123568e-02
epoch 0110 | 44.36s | horizon 10 | fallback 00 | train 1.677071e-04 | test 5.273862e-02
epoch 0111 | 45.22s | horizon 10 | fallback 00 | train 1.700619e-04 | test 5.309532e-02
epoch 0112 | 44.65s | horizon 10 | fallback 00 | train 1.664520e-04 | test 4.950124e-02
epoch 0113 | 42.64s | horizon 10 | fallback 00 | train 1.679424e-04 | test 6.884298e-02
epoch 0114 | 43.16s | horizon 10 | fallback 00 | train 1.675632e-04 | test 5.695404e-02
epoch 0115 | 43.09s | horizon 10 | fallback 00 | train 1.652258e-04 | test 5.180834e-02
epoch 0116 | 44.15s | horizon 10 | fallback 00 | train 1.646068e-04 | test 5.076104e-02
epoch 0117 | 43.70s | horizon 10 | fallback 00 | train 1.631602e-04 | test 6.065031e-02
epoch 0118 | 41.85s | horizon 10 | fallback 00 | train 1.622705e-04 | test 6.570394e-02
epoch 0119 | 42.92s | horizon 10 | fallback 00 | train 1.622027e-04 | test 6.750440e-02
epoch 0120 | 79.28s | horizon 20 | fallback 00 | train 5.487364e-04 | test 4.090462e-02
epoch 0121 | 78.16s | horizon 20 | fallback 00 | train 4.273275e-04 | test 4.766946e-02
epoch 0122 | 77.80s | horizon 20 | fallback 00 | train 3.926665e-04 | test 7.657407e-02
epoch 0123 | 78.85s | horizon 20 | fallback 00 | train 3.606583e-04 | test 5.514666e-02
epoch 0124 | 77.86s | horizon 20 | fallback 00 | train 3.263219e-04 | test 4.617118e-02
epoch 0125 | 78.49s | horizon 20 | fallback 00 | train 2.706805e-04 | test 3.586484e-02
epoch 0126 | 78.54s | horizon 20 | fallback 00 | train 3.679442e-04 | test 3.673326e-02
epoch 0127 | 78.65s | horizon 20 | fallback 00 | train 4.354212e-04 | test 7.395774e-02
epoch 0128 | 78.68s | horizon 20 | fallback 00 | train 3.091193e-04 | test 3.888375e-02
epoch 0129 | 77.19s | horizon 20 | fallback 00 | train 3.800455e-04 | test 3.240594e-02
epoch 0130 | 77.29s | horizon 20 | fallback 00 | train 3.010870e-04 | test 3.644156e-02
epoch 0131 | 76.82s | horizon 20 | fallback 00 | train 2.712299e-04 | test 3.984076e-02
epoch 0132 | 77.25s | horizon 20 | fallback 00 | train 2.923215e-04 | test 3.150249e-02
epoch 0133 | 76.69s | horizon 20 | fallback 00 | train 3.298621e-04 | test 3.124189e-02
epoch 0134 | 75.83s | horizon 20 | fallback 00 | train 3.185237e-04 | test 3.165271e-02
epoch 0135 | 76.95s | horizon 20 | fallback 00 | train 3.293311e-04 | test 3.159804e-02
epoch 0136 | 78.37s | horizon 20 | fallback 00 | train 3.065832e-04 | test 4.386249e-02
epoch 0137 | 80.25s | horizon 20 | fallback 00 | train 3.278253e-04 | test 3.682623e-02
epoch 0138 | 77.42s | horizon 20 | fallback 00 | train 3.522982e-04 | test 2.784319e-02
epoch 0139 | 76.81s | horizon 20 | fallback 00 | train 3.108448e-04 | test 3.255307e-02
epoch 0140 | 75.05s | horizon 20 | fallback 00 | train 3.320512e-04 | test 4.102752e-02
epoch 0141 | 77.23s | horizon 20 | fallback 00 | train 3.826506e-04 | test 3.621479e-02
epoch 0142 | 77.61s | horizon 20 | fallback 00 | train 3.759476e-04 | test 3.291305e-02
epoch 0143 | 78.56s | horizon 20 | fallback 00 | train 3.469008e-04 | test 3.557804e-02
epoch 0144 | 76.83s | horizon 20 | fallback 00 | train 4.222951e-04 | test 3.600131e-02
epoch 0145 | 77.03s | horizon 20 | fallback 00 | train 3.327753e-04 | test 2.873039e-02
epoch 0146 | 76.85s | horizon 20 | fallback 00 | train 3.337383e-04 | test 4.184110e-02
epoch 0147 | 78.29s | horizon 20 | fallback 00 | train 4.170300e-04 | test 4.015441e-02
epoch 0148 | 77.79s | horizon 20 | fallback 00 | train 3.670281e-04 | test 5.147575e-02
