nohup: ignoring input
epoch 0000 | 208.45s | train_full 9.382254e-01 | test_full 9.130157e-01
epoch 0001 | 214.16s | train_full 9.056975e-01 | test_full 8.890205e-01
epoch 0002 | 206.79s | train_full 8.819410e-01 | test_full 8.679356e-01
epoch 0003 | 205.67s | train_full 8.721358e-01 | test_full 8.634979e-01
epoch 0004 | 207.21s | train_full 8.644244e-01 | test_full 8.519269e-01
epoch 0005 | 216.89s | train_full 8.400779e-01 | test_full 8.382608e-01
epoch 0006 | 213.44s | train_full 8.227861e-01 | test_full 8.125971e-01
epoch 0007 | 207.03s | train_full 8.122069e-01 | test_full 8.056307e-01
epoch 0008 | 206.37s | train_full 7.991142e-01 | test_full 7.823138e-01
epoch 0009 | 205.93s | train_full 7.979180e-01 | test_full 7.952155e-01
epoch 0010 | 205.72s | train_full 7.798912e-01 | test_full 7.846102e-01
epoch 0011 | 206.40s | train_full 7.674103e-01 | test_full 7.622303e-01
epoch 0012 | 208.65s | train_full 7.608997e-01 | test_full 7.431538e-01
epoch 0013 | 206.79s | train_full 7.529048e-01 | test_full 7.488778e-01
epoch 0014 | 207.00s | train_full 7.295252e-01 | test_full 7.209905e-01
epoch 0015 | 207.24s | train_full 7.212756e-01 | test_full 6.950141e-01
epoch 0016 | 206.76s | train_full 7.226237e-01 | test_full 7.112485e-01
epoch 0017 | 206.10s | train_full 7.018148e-01 | test_full 7.063311e-01
epoch 0018 | 206.73s | train_full 7.040293e-01 | test_full 6.622916e-01
epoch 0019 | 207.66s | train_full 6.985820e-01 | test_full 6.919514e-01
epoch 0020 | 207.14s | train_full 6.895119e-01 | test_full 6.807563e-01
epoch 0021 | 207.01s | train_full 6.900672e-01 | test_full 6.600822e-01
epoch 0022 | 206.86s | train_full 6.835831e-01 | test_full 6.673442e-01
epoch 0023 | 206.49s | train_full 6.820094e-01 | test_full 6.628408e-01
epoch 0024 | 206.64s | train_full 6.725367e-01 | test_full 6.627834e-01
epoch 0025 | 207.42s | train_full 6.692476e-01 | test_full 7.017272e-01
epoch 0026 | 207.05s | train_full 6.653872e-01 | test_full 6.526926e-01
epoch 0027 | 207.07s | train_full 6.717479e-01 | test_full 6.476293e-01
epoch 0028 | 208.32s | train_full 6.537365e-01 | test_full 6.653679e-01
epoch 0029 | 206.03s | train_full 6.630956e-01 | test_full 6.282039e-01
epoch 0030 | 205.48s | train_full 6.584032e-01 | test_full 6.335492e-01
epoch 0031 | 206.64s | train_full 6.526650e-01 | test_full 6.393694e-01
epoch 0032 | 208.53s | train_full 6.579652e-01 | test_full 6.418639e-01
epoch 0033 | 206.08s | train_full 6.415386e-01 | test_full 6.274317e-01
epoch 0034 | 207.59s | train_full 6.661663e-01 | test_full 6.125364e-01
epoch 0035 | 208.60s | train_full 6.452524e-01 | test_full 6.225613e-01
epoch 0036 | 208.15s | train_full 6.376545e-01 | test_full 6.379942e-01
epoch 0037 | 207.82s | train_full 6.486217e-01 | test_full 6.413181e-01
epoch 0038 | 207.07s | train_full 6.290342e-01 | test_full 6.294167e-01
epoch 0039 | 207.80s | train_full 6.252484e-01 | test_full 5.991367e-01
epoch 0040 | 207.36s | train_full 6.293530e-01 | test_full 6.146786e-01
epoch 0041 | 206.64s | train_full 6.251027e-01 | test_full 6.404657e-01
epoch 0042 | 206.53s | train_full 6.264270e-01 | test_full 6.257456e-01
epoch 0043 | 206.89s | train_full 6.231773e-01 | test_full 6.397572e-01
epoch 0044 | 205.79s | train_full 6.266310e-01 | test_full 6.450036e-01
epoch 0045 | 208.66s | train_full 6.293946e-01 | test_full 6.344831e-01
epoch 0046 | 209.56s | train_full 6.109592e-01 | test_full 6.241010e-01
epoch 0047 | 207.45s | train_full 6.131684e-01 | test_full 6.541737e-01
epoch 0048 | 208.01s | train_full 6.174608e-01 | test_full 6.131259e-01
epoch 0049 | 208.93s | train_full 6.126626e-01 | test_full 6.147909e-01
epoch 0050 | 207.52s | train_full 6.140535e-01 | test_full 6.021561e-01
epoch 0051 | 206.55s | train_full 6.085073e-01 | test_full 6.236183e-01
epoch 0052 | 207.87s | train_full 6.125329e-01 | test_full 6.045441e-01
epoch 0053 | 206.87s | train_full 6.040081e-01 | test_full 6.068866e-01
epoch 0054 | 207.74s | train_full 6.206553e-01 | test_full 6.102052e-01
epoch 0055 | 206.69s | train_full 5.992278e-01 | test_full 6.456861e-01
epoch 0056 | 208.70s | train_full 6.004397e-01 | test_full 6.198282e-01
epoch 0057 | 208.02s | train_full 6.162276e-01 | test_full 6.208393e-01
epoch 0058 | 206.15s | train_full 5.993327e-01 | test_full 6.307224e-01
epoch 0059 | 208.42s | train_full 6.071208e-01 | test_full 6.140170e-01
epoch 0060 | 206.99s | train_full 6.130181e-01 | test_full 6.002790e-01
epoch 0061 | 206.27s | train_full 5.980944e-01 | test_full 6.155143e-01
epoch 0062 | 204.79s | train_full 6.053673e-01 | test_full 5.916725e-01
epoch 0063 | 204.42s | train_full 5.978799e-01 | test_full 6.082101e-01
epoch 0064 | 205.34s | train_full 5.999014e-01 | test_full 5.786159e-01
epoch 0065 | 205.41s | train_full 5.983157e-01 | test_full 6.139655e-01
epoch 0066 | 205.83s | train_full 6.016245e-01 | test_full 6.207904e-01
epoch 0067 | 205.59s | train_full 5.957695e-01 | test_full 5.969571e-01
epoch 0068 | 206.09s | train_full 5.920149e-01 | test_full 5.991230e-01
epoch 0069 | 205.38s | train_full 5.936875e-01 | test_full 5.810137e-01
epoch 0070 | 206.00s | train_full 6.009061e-01 | test_full 5.952700e-01
epoch 0071 | 205.90s | train_full 5.929655e-01 | test_full 5.789258e-01
epoch 0072 | 205.97s | train_full 5.848067e-01 | test_full 5.994156e-01
epoch 0073 | 206.81s | train_full 5.865926e-01 | test_full 6.014079e-01
epoch 0074 | 205.60s | train_full 5.827684e-01 | test_full 5.676790e-01
epoch 0075 | 205.32s | train_full 5.875775e-01 | test_full 5.767399e-01
epoch 0076 | 206.56s | train_full 5.805750e-01 | test_full 6.057386e-01
epoch 0077 | 207.25s | train_full 5.842665e-01 | test_full 5.701642e-01
epoch 0078 | 205.89s | train_full 5.920229e-01 | test_full 5.896780e-01
epoch 0079 | 205.29s | train_full 5.772706e-01 | test_full 5.932743e-01
epoch 0080 | 207.62s | train_full 5.816546e-01 | test_full 5.892330e-01
epoch 0081 | 205.69s | train_full 5.791467e-01 | test_full 5.751520e-01
epoch 0082 | 206.57s | train_full 5.852740e-01 | test_full 5.811245e-01
epoch 0083 | 206.45s | train_full 5.786343e-01 | test_full 5.861239e-01
epoch 0084 | 206.04s | train_full 5.780720e-01 | test_full 6.310361e-01
epoch 0085 | 204.48s | train_full 5.791045e-01 | test_full 6.003716e-01
epoch 0086 | 204.66s | train_full 5.897961e-01 | test_full 5.851029e-01
epoch 0087 | 204.27s | train_full 5.823924e-01 | test_full 5.880944e-01
epoch 0088 | 204.25s | train_full 5.813830e-01 | test_full 5.834646e-01
epoch 0089 | 204.60s | train_full 5.714113e-01 | test_full 5.842818e-01
epoch 0090 | 205.13s | train_full 5.749223e-01 | test_full 5.662763e-01
epoch 0091 | 204.66s | train_full 5.760113e-01 | test_full 5.918234e-01
epoch 0092 | 205.91s | train_full 5.922168e-01 | test_full 5.926772e-01
epoch 0093 | 205.98s | train_full 5.822081e-01 | test_full 6.052674e-01
epoch 0094 | 206.12s | train_full 5.713445e-01 | test_full 5.734329e-01
epoch 0095 | 206.51s | train_full 5.701426e-01 | test_full 5.692646e-01
epoch 0096 | 205.15s | train_full 5.686428e-01 | test_full 5.861573e-01
epoch 0097 | 205.02s | train_full 5.655953e-01 | test_full 5.744299e-01
epoch 0098 | 203.80s | train_full 5.783793e-01 | test_full 5.876408e-01
epoch 0099 | 203.97s | train_full 5.755500e-01 | test_full 5.719964e-01
epoch 0100 | 203.83s | train_full 5.519333e-01 | test_full 5.676634e-01
epoch 0101 | 203.95s | train_full 5.467398e-01 | test_full 5.793807e-01
epoch 0102 | 204.08s | train_full 5.399751e-01 | test_full 5.541763e-01
epoch 0103 | 205.42s | train_full 5.436964e-01 | test_full 5.717899e-01
epoch 0104 | 204.23s | train_full 5.409173e-01 | test_full 5.498205e-01
epoch 0105 | 204.15s | train_full 5.428315e-01 | test_full 5.522402e-01
epoch 0106 | 203.78s | train_full 5.360994e-01 | test_full 5.533552e-01
epoch 0107 | 204.22s | train_full 5.358079e-01 | test_full 5.598042e-01
epoch 0108 | 203.74s | train_full 5.386550e-01 | test_full 5.621276e-01
epoch 0109 | 204.21s | train_full 5.340065e-01 | test_full 5.471887e-01
epoch 0110 | 203.52s | train_full 5.439020e-01 | test_full 5.537573e-01
epoch 0111 | 203.75s | train_full 5.352019e-01 | test_full 5.638249e-01
epoch 0112 | 204.04s | train_full 5.405442e-01 | test_full 5.776073e-01
epoch 0113 | 203.55s | train_full 5.403408e-01 | test_full 5.587378e-01
epoch 0114 | 203.90s | train_full 5.411379e-01 | test_full 5.514620e-01
epoch 0115 | 204.40s | train_full 5.332652e-01 | test_full 5.547063e-01
