epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,0.618285,8.63983822e-01,8.63983822e-01,3.75616813e-01,3.75616813e-01,1.75255368e-01,0.00000000e+00,5.90766128e-02,0.00000000e+00,116832,1.00000000e-03
1,0.271777,3.86326258e-01,3.86326258e-01,2.11591849e-01,2.11591849e-01,3.30958503e-02,0.00000000e+00,2.03950075e-02,0.00000000e+00,116832,1.00000000e-03
2,0.294898,1.91129355e-01,1.91129355e-01,1.54135342e-01,1.54135342e-01,1.00743310e-02,0.00000000e+00,1.11867253e-02,0.00000000e+00,116832,1.00000000e-03
3,0.296206,1.45924048e-01,1.45924048e-01,1.11728263e-01,1.11728263e-01,5.56593742e-03,0.00000000e+00,5.49388543e-03,0.00000000e+00,116832,1.00000000e-03
4,0.295644,1.01516006e-01,1.01516006e-01,7.82961497e-02,7.82961497e-02,2.95949882e-03,0.00000000e+00,3.45494706e-03,0.00000000e+00,116832,1.00000000e-03
5,0.295600,7.37112830e-02,7.37112830e-02,6.51308006e-02,6.51308006e-02,1.77508339e-03,0.00000000e+00,2.16150927e-03,0.00000000e+00,116832,1.00000000e-03
6,0.316472,6.49779270e-02,6.49779270e-02,5.61233252e-02,5.61233252e-02,1.29338400e-03,0.00000000e+00,1.73788253e-03,0.00000000e+00,116832,1.00000000e-03
7,0.310912,5.66976843e-02,5.66976843e-02,5.36571431e-02,5.36571431e-02,1.02367648e-03,0.00000000e+00,1.29201618e-03,0.00000000e+00,116832,1.00000000e-03
8,0.325878,5.25409434e-02,5.25409434e-02,4.97222459e-02,4.97222459e-02,8.25316311e-04,0.00000000e+00,1.11249680e-03,0.00000000e+00,116832,1.00000000e-03
9,0.318281,5.05592709e-02,5.05592709e-02,4.63583167e-02,4.63583167e-02,7.48880253e-04,0.00000000e+00,9.31340386e-04,0.00000000e+00,116832,1.00000000e-03
10,0.318672,4.60213734e-02,4.60213734e-02,4.30121508e-02,4.30121508e-02,6.31059887e-04,0.00000000e+00,8.34431761e-04,0.00000000e+00,116832,1.00000000e-03
11,0.327918,4.33534024e-02,4.33534024e-02,4.18543619e-02,4.18543619e-02,5.51042300e-04,0.00000000e+00,7.57633068e-04,0.00000000e+00,116832,1.00000000e-03
12,0.305798,4.21053736e-02,4.21053736e-02,3.90511902e-02,3.90511902e-02,4.96144841e-04,0.00000000e+00,7.53681794e-04,0.00000000e+00,116832,1.00000000e-03
13,0.323467,3.95021501e-02,3.95021501e-02,3.63808042e-02,3.63808042e-02,4.43516028e-04,0.00000000e+00,6.35011369e-04,0.00000000e+00,116832,1.00000000e-03
14,0.315355,3.67748775e-02,3.67748775e-02,3.45578234e-02,3.45578234e-02,3.95050463e-04,0.00000000e+00,6.06077017e-04,0.00000000e+00,116832,1.00000000e-03
15,0.321650,3.54800909e-02,3.54800909e-02,3.38275532e-02,3.38275532e-02,3.75070172e-04,0.00000000e+00,5.90234558e-04,0.00000000e+00,116832,1.00000000e-03
16,0.305303,3.43196485e-02,3.43196485e-02,3.28325361e-02,3.28325361e-02,3.35702272e-04,0.00000000e+00,5.51985264e-04,0.00000000e+00,116832,1.00000000e-03
17,0.315598,3.24975780e-02,3.24975780e-02,3.00536543e-02,3.00536543e-02,3.19572918e-04,0.00000000e+00,4.91164767e-04,0.00000000e+00,116832,1.00000000e-03
18,0.318870,3.23137436e-02,3.23137436e-02,2.94853827e-02,2.94853827e-02,2.96563165e-04,0.00000000e+00,4.65582467e-04,0.00000000e+00,116832,1.00000000e-03
19,0.283740,3.07752411e-02,3.07752411e-02,2.94583930e-02,2.94583930e-02,2.76612005e-04,0.00000000e+00,4.44753001e-04,0.00000000e+00,116832,1.00000000e-03
20,0.236071,3.00515236e-02,3.00515236e-02,2.99347454e-02,2.99347454e-02,2.61499413e-04,0.00000000e+00,4.22740515e-04,0.00000000e+00,116832,1.00000000e-03
21,0.217896,2.94152473e-02,2.94152473e-02,2.78093690e-02,2.78093690e-02,2.48450808e-04,0.00000000e+00,3.97185420e-04,0.00000000e+00,116832,1.00000000e-03
22,0.222021,2.86101550e-02,2.86101550e-02,2.73266023e-02,2.73266023e-02,2.45097126e-04,0.00000000e+00,3.83535717e-04,0.00000000e+00,116832,1.00000000e-03
23,0.227531,2.84123636e-02,2.84123636e-02,2.80795923e-02,2.80795923e-02,2.47208389e-04,0.00000000e+00,3.76363634e-04,0.00000000e+00,116832,1.00000000e-03
24,0.238065,2.80633324e-02,2.80633324e-02,2.52246571e-02,2.52246571e-02,2.20483123e-04,0.00000000e+00,3.50448277e-04,0.00000000e+00,116832,1.00000000e-03
25,0.274780,2.62530835e-02,2.62530835e-02,2.48522608e-02,2.48522608e-02,2.06371700e-04,0.00000000e+00,3.40415510e-04,0.00000000e+00,116832,1.00000000e-03
26,0.298947,2.58619694e-02,2.58619694e-02,2.47875774e-02,2.47875774e-02,1.94655187e-04,0.00000000e+00,3.29480357e-04,0.00000000e+00,116832,1.00000000e-03
27,0.304469,2.56590149e-02,2.56590149e-02,2.52618009e-02,2.52618009e-02,1.91978604e-04,0.00000000e+00,3.34967899e-04,0.00000000e+00,116832,1.00000000e-03
28,0.310227,2.55514638e-02,2.55514638e-02,2.38736074e-02,2.38736074e-02,1.88292945e-04,0.00000000e+00,3.11396721e-04,0.00000000e+00,116832,1.00000000e-03
29,0.291079,2.46530669e-02,2.46530669e-02,2.34197697e-02,2.34197697e-02,1.80194946e-04,0.00000000e+00,3.17982027e-04,0.00000000e+00,116832,1.00000000e-03
