epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,70.769254,8.56820902e-01,8.93672646e-01,8.21723042e-01,8.68603415e-01,9.00595502e+01,0.00000000e+00,8.56575371e+01,0.00000000e+00,608352,1.00000000e-03
1,67.514549,7.80968443e-01,8.38070466e-01,7.43324242e-01,8.02764397e-01,7.90482981e+01,0.00000000e+00,7.36479160e+01,0.00000000e+00,608352,1.00000000e-03
2,66.607381,7.26447262e-01,7.84595065e-01,6.92805134e-01,7.48149087e-01,6.98208118e+01,0.00000000e+00,6.43016338e+01,0.00000000e+00,608352,1.00000000e-03
3,67.712846,6.73426744e-01,7.31020083e-01,6.66101383e-01,7.19842324e-01,6.13176164e+01,0.00000000e+00,6.04103378e+01,0.00000000e+00,608352,1.00000000e-03
4,66.714652,6.47041308e-01,7.01875959e-01,6.74972130e-01,7.41106021e-01,5.68989200e+01,0.00000000e+00,6.45456493e+01,0.00000000e+00,608352,1.00000000e-03
5,67.665958,6.18453855e-01,6.71820033e-01,6.47488743e-01,7.08169391e-01,5.21567113e+01,0.00000000e+00,5.87996691e+01,0.00000000e+00,608352,1.00000000e-03
6,67.498967,6.01535009e-01,6.55151817e-01,5.99166563e-01,6.55924933e-01,4.98036546e+01,0.00000000e+00,5.05016079e+01,0.00000000e+00,608352,1.00000000e-03
7,67.351494,5.83839473e-01,6.37151664e-01,5.81966728e-01,6.35894506e-01,4.71520620e+01,0.00000000e+00,4.74556957e+01,0.00000000e+00,608352,1.00000000e-03
8,67.439768,5.66321161e-01,6.16250116e-01,5.88263109e-01,6.46496370e-01,4.41683570e+01,0.00000000e+00,4.98146469e+01,0.00000000e+00,608352,1.00000000e-03
9,66.976191,5.68301509e-01,6.19733240e-01,5.59655245e-01,6.12905335e-01,4.47781332e+01,0.00000000e+00,4.47024750e+01,0.00000000e+00,608352,1.00000000e-03
10,67.409946,5.58343102e-01,6.07916831e-01,5.74218092e-01,6.30545619e-01,4.29575875e+01,0.00000000e+00,4.71293396e+01,0.00000000e+00,608352,1.00000000e-03
11,67.815443,5.45059886e-01,5.93538052e-01,5.35475008e-01,5.84843180e-01,4.10494184e+01,0.00000000e+00,4.03576942e+01,0.00000000e+00,608352,1.00000000e-03
12,67.182672,5.30526149e-01,5.75968392e-01,5.41932858e-01,5.88488481e-01,3.84141821e+01,0.00000000e+00,4.08197203e+01,0.00000000e+00,608352,1.00000000e-03
13,66.869135,5.34522791e-01,5.80111098e-01,5.60623901e-01,6.17499936e-01,3.91830365e+01,0.00000000e+00,4.56788998e+01,0.00000000e+00,608352,1.00000000e-03
14,67.074786,5.39654558e-01,5.87741831e-01,5.87726896e-01,6.49890876e-01,4.03587413e+01,0.00000000e+00,5.09396503e+01,0.00000000e+00,608352,1.00000000e-03
15,67.279596,5.42288894e-01,5.88589745e-01,5.36992542e-01,5.86388195e-01,4.02721220e+01,0.00000000e+00,4.10347036e+01,0.00000000e+00,608352,1.00000000e-03
16,68.363398,5.24075205e-01,5.68443496e-01,5.31326500e-01,5.83223667e-01,3.76032071e+01,0.00000000e+00,4.05033544e+01,0.00000000e+00,608352,1.00000000e-03
17,67.434994,5.16103960e-01,5.59443388e-01,5.39626741e-01,5.90667312e-01,3.64551569e+01,0.00000000e+00,4.11228601e+01,0.00000000e+00,608352,1.00000000e-03
18,67.127395,5.09072518e-01,5.51972854e-01,5.41940117e-01,5.94663117e-01,3.54215806e+01,0.00000000e+00,4.21922005e+01,0.00000000e+00,608352,1.00000000e-03
19,67.847761,5.14869825e-01,5.58070496e-01,5.35376438e-01,5.81755269e-01,3.63502238e+01,0.00000000e+00,3.98536749e+01,0.00000000e+00,608352,1.00000000e-03
20,67.738517,5.04040151e-01,5.43882663e-01,5.29729237e-01,5.82007728e-01,3.42728378e+01,0.00000000e+00,4.04162485e+01,0.00000000e+00,608352,1.00000000e-03
21,67.730373,5.01759730e-01,5.41328178e-01,5.39077789e-01,5.94512749e-01,3.39727593e+01,0.00000000e+00,4.23742846e+01,0.00000000e+00,608352,1.00000000e-03
22,67.542389,4.86574282e-01,5.24117421e-01,5.48020426e-01,6.06921287e-01,3.18489582e+01,0.00000000e+00,4.47197979e+01,0.00000000e+00,608352,1.00000000e-03
23,68.538952,4.92593325e-01,5.31116269e-01,5.17177084e-01,5.66931341e-01,3.29092399e+01,0.00000000e+00,3.82767195e+01,0.00000000e+00,608352,1.00000000e-03
24,68.123742,4.92334038e-01,5.32252237e-01,5.09124998e-01,5.55114789e-01,3.30960984e+01,0.00000000e+00,3.67772771e+01,0.00000000e+00,608352,1.00000000e-03
25,67.666651,4.90343417e-01,5.29330924e-01,5.06074528e-01,5.54195092e-01,3.25241360e+01,0.00000000e+00,3.67515738e+01,0.00000000e+00,608352,1.00000000e-03
26,67.339555,4.65677745e-01,4.98874224e-01,5.09201416e-01,5.58919480e-01,2.87319765e+01,0.00000000e+00,3.74127043e+01,0.00000000e+00,608352,1.00000000e-03
27,67.613547,4.79941364e-01,5.18170737e-01,5.12460464e-01,5.60493636e-01,3.12034955e+01,0.00000000e+00,3.75685832e+01,0.00000000e+00,608352,1.00000000e-03
28,67.778352,4.82500839e-01,5.18564568e-01,5.13015690e-01,5.62313855e-01,3.12699728e+01,0.00000000e+00,3.82508428e+01,0.00000000e+00,608352,1.00000000e-03
29,68.074118,4.73244233e-01,5.09995412e-01,5.11814526e-01,5.62273185e-01,3.01785309e+01,0.00000000e+00,3.80572968e+01,0.00000000e+00,608352,1.00000000e-03
30,67.950581,4.64940928e-01,4.98655022e-01,5.16652319e-01,5.65828149e-01,2.87203416e+01,0.00000000e+00,3.81225478e+01,0.00000000e+00,608352,1.00000000e-03
31,67.506534,4.62267655e-01,4.96021883e-01,5.04375120e-01,5.52636089e-01,2.83933317e+01,0.00000000e+00,3.68628772e+01,0.00000000e+00,608352,1.00000000e-03
32,67.278440,4.57355303e-01,4.89895196e-01,4.92730429e-01,5.38161526e-01,2.78199181e+01,0.00000000e+00,3.46067995e+01,0.00000000e+00,608352,1.00000000e-03
33,67.979638,4.48772270e-01,4.80136578e-01,5.05481985e-01,5.56613660e-01,2.65881783e+01,0.00000000e+00,3.73923071e+01,0.00000000e+00,608352,1.00000000e-03
34,67.189116,4.50896603e-01,4.82406794e-01,5.04206261e-01,5.52803545e-01,2.67459304e+01,0.00000000e+00,3.65421275e+01,0.00000000e+00,608352,1.00000000e-03
35,67.703534,4.55053447e-01,4.87462233e-01,4.94361507e-01,5.43155012e-01,2.74603345e+01,0.00000000e+00,3.54965251e+01,0.00000000e+00,608352,1.00000000e-03
36,67.800909,4.49621230e-01,4.81414205e-01,4.94928793e-01,5.43464205e-01,2.67292473e+01,0.00000000e+00,3.55854520e+01,0.00000000e+00,608352,1.00000000e-03
37,67.945786,4.53996320e-01,4.87421878e-01,5.16527323e-01,5.71729815e-01,2.75191180e+01,0.00000000e+00,3.91066708e+01,0.00000000e+00,608352,1.00000000e-03
38,67.341156,4.63809087e-01,4.98950428e-01,5.05219423e-01,5.53283303e-01,2.89313844e+01,0.00000000e+00,3.66878954e+01,0.00000000e+00,608352,1.00000000e-03
39,68.070579,4.37947480e-01,4.67517128e-01,4.93223083e-01,5.39105942e-01,2.51775523e+01,0.00000000e+00,3.46121833e+01,0.00000000e+00,608352,1.00000000e-03
40,67.593914,4.42807668e-01,4.73685225e-01,4.96413794e-01,5.47093139e-01,2.58841018e+01,0.00000000e+00,3.61451648e+01,0.00000000e+00,608352,1.00000000e-03
41,68.498138,4.33559732e-01,4.62798504e-01,4.83840593e-01,5.33948722e-01,2.46814552e+01,0.00000000e+00,3.46231131e+01,0.00000000e+00,608352,1.00000000e-03
