step,mse
0,3.30252610e-02
1,2.93293875e-02
2,3.47384736e-02
3,4.13535535e-02
4,4.82812151e-02
5,5.71535453e-02
6,6.69647232e-02
7,7.81597421e-02
8,9.40694064e-02
9,1.13254935e-01
10,1.32080749e-01
11,1.48350924e-01
12,1.62969291e-01
13,1.76390663e-01
14,1.89985394e-01
15,2.11085409e-01
16,2.39833876e-01
17,2.80683964e-01
18,3.24153662e-01
19,3.91089559e-01
20,4.87530470e-01
21,5.89309275e-01
22,6.53936028e-01
23,7.09315479e-01
24,7.64707386e-01
25,8.18794489e-01
26,8.98548365e-01
27,9.99291599e-01
28,1.09765399e+00
29,1.19225359e+00
30,1.27492678e+00
31,1.36592638e+00
32,1.46872950e+00
33,1.58369648e+00
34,1.69916868e+00
35,1.83062840e+00
36,1.98805356e+00
37,2.15310812e+00
38,2.32279873e+00
39,2.49063563e+00
