epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,224.113020,7.60537363e-02,7.64813534e-02,4.47287594e-02,4.50616624e-02,1.06300975e+00,0.00000000e+00,8.93598940e-02,0.00000000e+00,608352,1.00000000e-03
1,224.460581,3.72100528e-02,3.74432738e-02,3.23244828e-02,3.24564607e-02,6.20330734e-02,0.00000000e+00,4.63452672e-02,0.00000000e+00,608352,1.00000000e-03
2,225.621269,3.16977072e-02,3.19673021e-02,3.25127792e-02,3.26881251e-02,4.60522638e-02,0.00000000e+00,4.66563968e-02,0.00000000e+00,608352,1.00000000e-03
3,225.770707,2.52442194e-02,2.54356769e-02,2.21206614e-02,2.22369513e-02,2.90280054e-02,0.00000000e+00,2.17267989e-02,0.00000000e+00,608352,1.00000000e-03
4,225.695517,2.11925088e-02,2.13337371e-02,1.74373287e-02,1.75264611e-02,2.02499226e-02,0.00000000e+00,1.33407114e-02,0.00000000e+00,608352,1.00000000e-03
5,224.715085,2.14630531e-02,2.16291176e-02,2.21912277e-02,2.22736953e-02,2.13450291e-02,0.00000000e+00,2.19942825e-02,0.00000000e+00,608352,1.00000000e-03
6,225.578158,1.90467699e-02,1.91838611e-02,2.15247796e-02,2.15977557e-02,1.71688365e-02,0.00000000e+00,2.08554984e-02,0.00000000e+00,608352,1.00000000e-03
7,225.300447,1.69969501e-02,1.70983480e-02,1.56239112e-02,1.57216277e-02,1.30097241e-02,0.00000000e+00,1.08987731e-02,0.00000000e+00,608352,1.00000000e-03
8,226.139757,1.56473153e-02,1.57421866e-02,1.47355518e-02,1.47944990e-02,1.09951399e-02,0.00000000e+00,9.69926584e-03,0.00000000e+00,608352,1.00000000e-03
9,224.690730,1.73475305e-02,1.74768364e-02,1.82099800e-02,1.83968655e-02,1.39325913e-02,0.00000000e+00,1.47869635e-02,0.00000000e+00,608352,1.00000000e-03
