step,mse
0,3.53529358e-05
1,3.01361670e-05
2,3.01311557e-05
3,3.08083945e-05
4,2.70357687e-05
5,2.42873739e-05
6,2.23479601e-05
7,2.11117695e-05
8,2.11058596e-05
9,2.10604721e-05
10,2.09049485e-05
11,2.08095880e-05
12,2.08687343e-05
13,2.04437620e-05
14,2.09221471e-05
15,2.10711205e-05
16,2.12636169e-05
17,2.16986264e-05
18,2.20439724e-05
19,2.22862745e-05
20,2.26448592e-05
21,2.30476307e-05
22,2.30226342e-05
23,2.29776997e-05
24,2.27287692e-05
25,2.25032745e-05
26,2.23584884e-05
27,2.25273889e-05
28,2.25241183e-05
29,2.25372241e-05
30,2.27616638e-05
31,2.27851069e-05
32,2.28642912e-05
33,2.30013229e-05
34,2.34221898e-05
35,2.41388170e-05
36,2.60766592e-05
37,2.93867470e-05
38,3.52121315e-05
39,4.50490224e-05
