step,mse,rel_l2,samples
0,0.007335631176829338,0.07848512381315231,200
1,0.011266462504863739,0.090605229139328,200
2,0.014649302698671818,0.09705183655023575,200
3,0.018653029575943947,0.10356202721595764,200
4,0.02303401380777359,0.10950473695993423,200
5,0.02727629244327545,0.11449636518955231,200
6,0.032235849648714066,0.12013682723045349,200
7,0.03821008652448654,0.1266278624534607,200
8,0.045202504843473434,0.13409730792045593,200
9,0.05452611297369003,0.14381176233291626,200
10,0.0662536695599556,0.15510539710521698,200
11,0.07865040749311447,0.16505596041679382,200
12,0.09013566374778748,0.17191901803016663,200
13,0.10119248181581497,0.17708131670951843,200
14,0.11507382243871689,0.18342584371566772,200
15,0.12987884879112244,0.1908850222826004,200
16,0.15333060920238495,0.2033541053533554,200
17,0.18594607710838318,0.22202953696250916,200
18,0.2227400541305542,0.24305392801761627,200
19,0.30404797196388245,0.28395047783851624,200
