epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,185.352834,2.04294170e-01,2.07349474e-01,9.40717411e-02,9.44928706e-02,4.77170450e+00,3.24400195e-01,4.19522339e-01,5.55426562e-02,571883,2.00000000e-04
1,184.621784,7.97972543e-02,8.10258229e-02,6.99867110e-02,7.13214016e-02,3.01274443e-01,1.58294332e-02,2.25770847e-01,6.05004627e-03,571883,2.00000000e-04
2,184.387465,6.73451722e-02,6.92822998e-02,6.27066562e-02,6.47410548e-02,2.12608427e-01,5.59722843e-03,1.82359046e-01,5.49904628e-03,571883,2.00000000e-04
3,185.065534,6.59044283e-02,6.82002975e-02,8.57581353e-02,9.02889475e-02,2.06435730e-01,4.68054550e-03,3.55008480e-01,5.03489153e-03,571883,2.00000000e-04
4,184.795831,6.68542836e-02,6.92724291e-02,6.30180902e-02,6.57796845e-02,2.14385355e-01,4.39348640e-03,1.88043438e-01,5.18269941e-03,571883,2.00000000e-04
5,184.570547,6.78171129e-02,7.07475653e-02,6.28283575e-02,6.46463531e-02,2.27105930e-01,4.44721195e-03,1.82168068e-01,4.25613702e-03,571883,2.00000000e-04
6,185.444347,6.04494159e-02,6.23091231e-02,6.57103109e-02,6.76700610e-02,1.70795410e-01,4.18031089e-03,2.00393851e-01,4.22860282e-03,571883,2.00000000e-04
7,187.104151,6.38552848e-02,6.60282540e-02,5.61348252e-02,5.74736556e-02,1.95748066e-01,4.06595436e-03,1.44292855e-01,4.29281351e-03,571883,2.00000000e-04
8,186.287365,6.15958203e-02,6.35921485e-02,8.44578090e-02,9.09531367e-02,1.79044375e-01,3.96569858e-03,3.58122240e-01,5.11919873e-03,571883,2.00000000e-04
9,186.658507,6.74988754e-02,7.03312389e-02,6.93207898e-02,7.15323478e-02,2.22428569e-01,3.97510288e-03,2.24210776e-01,3.94054687e-03,571883,2.00000000e-04
10,186.896955,6.26675931e-02,6.56661240e-02,5.60779967e-02,5.77922195e-02,1.92420580e-01,4.17939209e-03,1.45380468e-01,4.40217467e-03,571883,2.00000000e-04
11,186.196069,5.94355097e-02,6.12603031e-02,5.68282917e-02,5.80953681e-02,1.65316762e-01,3.72425220e-03,1.47667614e-01,3.68720761e-03,571883,2.00000000e-04
12,186.317835,5.79739346e-02,5.96132525e-02,5.51666772e-02,5.65944692e-02,1.55626333e-01,3.61199484e-03,1.39721745e-01,3.96302969e-03,571883,2.00000000e-04
13,185.726321,6.01495082e-02,6.25836481e-02,5.52812490e-02,5.63858783e-02,1.74010583e-01,3.71181652e-03,1.39400411e-01,3.40686160e-03,571883,2.00000000e-04
14,185.573207,5.75712712e-02,5.92475541e-02,6.16468251e-02,6.43068832e-02,1.53764594e-01,3.40710982e-03,1.79694495e-01,3.83356260e-03,571883,2.00000000e-04
15,185.534706,5.96307156e-02,6.15155397e-02,6.75599864e-02,6.97961721e-02,1.66559449e-01,3.23980518e-03,2.13021170e-01,3.27012572e-03,571883,2.00000000e-04
16,185.912572,6.07920646e-02,6.26421162e-02,6.54758561e-02,6.70700651e-02,1.73185512e-01,3.09561556e-03,1.97769512e-01,2.94412157e-03,571883,2.00000000e-04
17,185.763257,6.44390686e-02,6.69437412e-02,5.46066823e-02,5.58027789e-02,1.99754305e-01,3.10068522e-03,1.36232894e-01,3.16857633e-03,571883,2.00000000e-04
18,185.909406,5.87985334e-02,6.05275550e-02,5.56696432e-02,5.66580650e-02,1.60324338e-01,2.94982763e-03,1.41276341e-01,2.80709416e-03,571883,2.00000000e-04
19,185.813606,6.10332900e-02,6.36100743e-02,5.58143830e-02,5.67419386e-02,1.79015973e-01,3.09681528e-03,1.41968089e-01,2.58624282e-03,571883,2.00000000e-04
20,185.128922,5.85861448e-02,6.05675929e-02,6.42074895e-02,6.64639837e-02,1.61268872e-01,2.78605249e-03,1.92717756e-01,2.86041448e-03,571883,2.00000000e-04
