step,mse
0,1.71270367e-04
1,1.55612142e-04
2,1.42876932e-04
3,1.30129934e-04
4,1.24245664e-04
5,1.19948862e-04
6,1.17188516e-04
7,1.15808696e-04
8,1.14535804e-04
9,1.15079485e-04
10,1.13966511e-04
11,1.17554075e-04
12,1.22575104e-04
13,1.29824213e-04
14,1.40246717e-04
15,1.50219159e-04
16,1.62436569e-04
17,1.76833550e-04
18,1.94681736e-04
19,2.07038247e-04
20,2.18419489e-04
21,2.29648445e-04
22,2.43593793e-04
23,2.59008288e-04
24,2.75457831e-04
25,2.91242963e-04
26,3.04680696e-04
27,3.12581891e-04
28,3.19958170e-04
29,3.26560694e-04
30,3.35882854e-04
31,3.41873034e-04
32,3.49049456e-04
33,3.53684096e-04
34,3.63984494e-04
35,3.90115863e-04
36,4.17110015e-04
37,4.41915385e-04
38,4.75098292e-04
39,5.16997708e-04
