epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,167.085140,1.93144294e-01,1.93769035e-01,6.10953178e-02,6.18332484e-02,4.43771069e+00,2.09228936e-01,1.69727309e-01,2.54558547e-03,915585,2.00000000e-04
1,164.110263,6.00474888e-02,6.12493406e-02,4.53424177e-02,4.68738481e-02,1.68421330e-01,1.95474493e-03,9.59970511e-02,1.50033006e-03,915585,2.00000000e-04
2,163.232345,4.01227464e-02,4.16835884e-02,3.39160430e-02,3.57235603e-02,7.59304646e-02,1.06357280e-03,5.54356422e-02,8.23328209e-04,915585,2.00000000e-04
3,163.928962,3.95527714e-02,4.09390538e-02,3.75240153e-02,3.86127618e-02,7.37125420e-02,6.96821134e-04,6.47975704e-02,6.42863098e-04,915585,2.00000000e-04
4,163.054721,3.50649799e-02,3.62737594e-02,3.28070325e-02,3.39790736e-02,5.75213009e-02,5.34272273e-04,5.01497999e-02,5.34959179e-04,915585,2.00000000e-04
5,162.864148,3.31455708e-02,3.44642772e-02,3.37157322e-02,3.50969233e-02,5.17969461e-02,5.34346387e-04,5.34812156e-02,5.20978785e-04,915585,2.00000000e-04
6,167.870968,3.22795880e-02,3.36773530e-02,4.16445152e-02,4.28032534e-02,4.96130735e-02,5.31794354e-04,8.14156234e-02,6.06143894e-04,915585,2.00000000e-04
7,164.659143,3.27889693e-02,3.41392402e-02,2.97610074e-02,3.11208710e-02,5.08596451e-02,5.84254232e-04,4.22736418e-02,6.11849639e-04,915585,2.00000000e-04
8,162.676540,4.84070666e-02,4.97168873e-02,7.76629345e-02,7.80054012e-02,1.33906816e-01,6.55793346e-04,2.71156412e-01,8.78820962e-04,915585,2.00000000e-04
9,160.991984,8.01912072e-02,8.09392398e-02,8.04982555e-02,8.13330039e-02,2.95814381e-01,6.71526776e-04,2.97858132e-01,5.45890611e-04,915585,2.00000000e-04
10,161.701057,8.34628730e-02,8.42577552e-02,8.56292658e-02,8.63941422e-02,3.18705713e-01,4.73067485e-04,3.33411168e-01,4.57749837e-04,915585,2.00000000e-04
11,166.251655,8.04899426e-02,8.12405320e-02,7.89570835e-02,7.98332274e-02,2.95657715e-01,5.53902466e-04,2.86538236e-01,5.02760306e-04,915585,2.00000000e-04
