step,mse
0,3.23955804e-01
1,3.76215518e-01
2,4.70820993e-01
3,5.82607865e-01
4,7.01790333e-01
5,8.34844351e-01
6,9.70603943e-01
7,1.12282085e+00
8,1.26967764e+00
9,1.40303528e+00
10,1.51822209e+00
11,1.60843480e+00
12,1.71358669e+00
13,1.81710720e+00
14,1.92172909e+00
15,2.04170036e+00
16,2.14573908e+00
17,2.27043772e+00
18,2.44831991e+00
19,2.63324070e+00
20,2.80105734e+00
21,2.95486879e+00
22,3.05650616e+00
23,3.08937931e+00
24,3.10503268e+00
25,3.13372469e+00
26,3.17302012e+00
27,3.20292306e+00
28,3.19203973e+00
29,3.14317441e+00
30,3.09525609e+00
31,3.05744576e+00
32,3.02943444e+00
33,2.99921298e+00
34,2.97708440e+00
35,2.97007418e+00
36,2.96883678e+00
37,2.98188257e+00
38,3.02098489e+00
39,3.06798959e+00
