step,mse
0,1.00831939e-02
1,1.31987669e-02
2,1.36705497e-02
3,1.38676455e-02
4,1.39020141e-02
5,1.37604345e-02
6,1.34931961e-02
7,1.37122013e-02
8,1.41187366e-02
9,1.43491039e-02
10,1.45984385e-02
11,1.44640934e-02
12,1.41703701e-02
13,1.38284443e-02
14,1.34805115e-02
15,1.31452819e-02
16,1.28219211e-02
17,1.25166550e-02
18,1.22149065e-02
19,1.19069694e-02
20,1.15996683e-02
21,1.12953782e-02
22,1.10021997e-02
23,1.07256388e-02
24,1.04682017e-02
25,1.02307340e-02
26,1.00127272e-02
27,9.81434621e-03
28,9.63524077e-03
29,9.47543886e-03
30,9.33545735e-03
31,9.21550393e-03
32,9.11559723e-03
33,9.03561525e-03
34,8.97534285e-03
35,8.93400237e-03
36,8.91115051e-03
37,8.90599750e-03
38,8.91753938e-03
39,8.94489419e-03
