step,mse
0,5.02881631e-02
1,6.02415763e-02
2,6.60597309e-02
3,7.47980475e-02
4,8.43123794e-02
5,9.52882841e-02
6,1.07154787e-01
7,1.20900117e-01
8,1.34514183e-01
9,1.48508906e-01
10,1.65405408e-01
11,1.81378379e-01
12,1.98904783e-01
13,2.17845768e-01
14,2.37321109e-01
15,2.56703675e-01
16,2.75748134e-01
17,2.94733167e-01
18,3.13666910e-01
19,3.32093596e-01
20,3.48914862e-01
21,3.62749189e-01
22,3.74088377e-01
23,3.84697139e-01
24,3.95456612e-01
25,4.05988127e-01
26,4.14746642e-01
27,4.19622183e-01
28,4.20377344e-01
29,4.19937640e-01
30,4.22256202e-01
31,4.28654701e-01
32,4.35874939e-01
33,4.38858420e-01
34,4.36455458e-01
35,4.32135671e-01
36,4.30416346e-01
37,4.33106810e-01
38,4.38485384e-01
39,4.42782819e-01
