step,mse
0,1.40665732e-02
1,1.59865674e-02
2,1.60456151e-02
3,1.61848385e-02
4,1.62516832e-02
5,1.61668435e-02
6,1.59648973e-02
7,1.64395124e-02
8,1.67761110e-02
9,1.69607308e-02
10,1.72032062e-02
11,1.69481598e-02
12,1.65835395e-02
13,1.62056834e-02
14,1.58395246e-02
15,1.54788466e-02
16,1.51251294e-02
17,1.47886220e-02
18,1.44475279e-02
19,1.41054532e-02
20,1.37707507e-02
21,1.34443855e-02
22,1.31345941e-02
23,1.28448652e-02
24,1.25762867e-02
25,1.23287216e-02
26,1.21018775e-02
27,1.18962023e-02
28,1.17113665e-02
29,1.15475086e-02
30,1.14049362e-02
31,1.12835672e-02
32,1.11831762e-02
33,1.11034438e-02
34,1.10440291e-02
35,1.10040810e-02
36,1.09831002e-02
37,1.09802373e-02
38,1.09944260e-02
39,1.10247126e-02
