epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,1.628017,6.46882835e-01,6.46882835e-01,4.29320952e-01,4.29320952e-01,1.20171629e-01,2.00592099e-01,4.42763763e-02,9.61365271e-03,469305,1.00000000e-03
1,0.649901,2.91748195e-01,2.91748195e-01,2.15158544e-01,2.15158544e-01,2.28052920e-02,1.27519041e-02,2.22324901e-02,2.79448897e-03,469305,1.00000000e-03
2,0.655309,1.88438161e-01,1.88438161e-01,1.49739500e-01,1.49739500e-01,1.12444937e-02,2.60448305e-03,1.21779796e-02,8.82352440e-04,469305,1.00000000e-03
3,0.653434,1.46787248e-01,1.46787248e-01,1.28429704e-01,1.28429704e-01,6.55991521e-03,8.03553064e-04,7.49117648e-03,6.42189058e-04,469305,1.00000000e-03
4,0.662924,1.21227457e-01,1.21227457e-01,1.10927505e-01,1.10927505e-01,4.49194336e-03,4.19274407e-04,5.72746864e-03,3.52209914e-04,469305,1.00000000e-03
5,0.611640,1.10349058e-01,1.10349058e-01,9.52649528e-02,9.52649528e-02,3.59327308e-03,1.96129506e-04,4.46630723e-03,1.96883781e-04,469305,1.00000000e-03
6,0.624132,9.69260807e-02,9.69260807e-02,8.59372646e-02,8.59372646e-02,2.93894696e-03,1.56091113e-04,3.69834038e-03,1.64273456e-04,469305,1.00000000e-03
7,0.731824,9.19902472e-02,9.19902472e-02,8.13422382e-02,8.13422382e-02,2.50659919e-03,1.40545856e-04,3.17604380e-03,1.51596170e-04,469305,1.00000000e-03
8,0.658641,8.43317151e-02,8.43317151e-02,7.92914006e-02,7.92914006e-02,2.13242135e-03,1.33967510e-04,2.87396536e-03,1.58931118e-04,469305,1.00000000e-03
9,0.633870,7.95507007e-02,7.95507007e-02,7.73596096e-02,7.73596096e-02,1.96038843e-03,1.35004444e-04,2.63374209e-03,1.68334536e-04,469305,1.00000000e-03
10,0.615354,7.69766102e-02,7.69766102e-02,7.28651828e-02,7.28651828e-02,1.80990556e-03,1.32511631e-04,2.54924517e-03,1.61623095e-04,469305,1.00000000e-03
11,0.618635,7.23383839e-02,7.23383839e-02,6.76017588e-02,6.76017588e-02,1.56187689e-03,1.18112889e-04,2.11980822e-03,1.37298837e-04,469305,1.00000000e-03
12,0.627343,6.67760999e-02,6.67760999e-02,6.20837110e-02,6.20837110e-02,1.41222105e-03,1.04270390e-04,2.01687423e-03,1.22442053e-04,469305,1.00000000e-03
