step,mse
0,4.02359961e-04
1,9.53550858e-04
2,1.21933420e-03
3,1.27982569e-03
4,1.29331113e-03
5,1.27653126e-03
6,1.24064740e-03
7,1.24524173e-03
8,1.30696164e-03
9,1.40345725e-03
10,1.50255312e-03
11,1.57752424e-03
12,1.60452782e-03
13,1.59836456e-03
14,1.60112546e-03
15,1.64243160e-03
16,1.74213108e-03
17,1.85456907e-03
18,1.98954390e-03
19,2.16148724e-03
20,2.31165229e-03
21,2.48587737e-03
22,2.64398963e-03
23,2.77869217e-03
24,2.87502538e-03
25,2.95475731e-03
26,3.03665106e-03
27,3.20239901e-03
28,3.31529859e-03
29,3.29767051e-03
30,3.22178472e-03
31,3.26817273e-03
32,3.44264484e-03
33,3.73446546e-03
34,4.08313144e-03
35,4.37732972e-03
36,4.53978917e-03
37,4.71041910e-03
38,5.08988323e-03
39,5.65776369e-03
