epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,213.271764,9.01282494e-01,9.23563243e-01,8.50345650e-01,8.86202960e-01,9.63944416e+01,1.00338125e-01,8.91948170e+01,1.46594635e-02,1135553,3.00000000e-04
1,227.183565,8.37944990e-01,8.80001762e-01,8.08372467e-01,8.62555685e-01,8.70963175e+01,1.84035774e-02,8.46202049e+01,4.48420499e-02,1135553,3.00000000e-04
2,228.421521,7.99582510e-01,8.56300948e-01,7.95253658e-01,8.57222366e-01,8.24962015e+01,4.88496391e-02,8.35637619e+01,3.56230891e-02,1135553,3.00000000e-04
3,228.189747,7.94389442e-01,8.52448230e-01,7.92042835e-01,8.51807771e-01,8.17161269e+01,3.17593453e-02,8.25277992e+01,2.15630515e-02,1135553,3.00000000e-04
4,227.186050,7.84109450e-01,8.46917212e-01,7.66389816e-01,8.36270456e-01,8.07191240e+01,1.97165776e-02,7.96885086e+01,1.96677731e-02,1135553,3.00000000e-04
5,225.402038,7.58337804e-01,8.27525534e-01,7.51405579e-01,8.21433077e-01,7.71351582e+01,2.59464067e-02,7.69525753e+01,2.35913445e-02,1135553,3.00000000e-04
6,228.933498,7.37836366e-01,8.07989017e-01,7.24115078e-01,7.95282266e-01,7.34641470e+01,4.46681932e-02,7.19195522e+01,5.66666558e-02,1135553,3.00000000e-04
7,227.848630,7.06701045e-01,7.75982357e-01,6.73491249e-01,7.42405906e-01,6.80472868e+01,5.75860276e-02,6.35071423e+01,5.08321595e-02,1135553,3.00000000e-04
8,228.189125,6.73343707e-01,7.38705276e-01,6.44869667e-01,7.07773204e-01,6.22893445e+01,5.42008019e-02,5.77480261e+01,4.31341706e-02,1135553,3.00000000e-04
9,225.286398,6.54532071e-01,7.17506924e-01,6.55233507e-01,7.20255008e-01,5.89983589e+01,4.35592787e-02,6.08427464e+01,4.17540272e-02,1135553,3.00000000e-04
10,226.872850,6.45814938e-01,7.07031781e-01,6.35750097e-01,6.93968103e-01,5.73058031e+01,3.75663346e-02,5.55768938e+01,4.06943899e-02,1135553,3.00000000e-04
11,228.608625,6.49519039e-01,7.12441793e-01,6.18307924e-01,6.75518641e-01,5.81711466e+01,3.39018585e-02,5.32206911e+01,3.32544819e-02,1135553,3.00000000e-04
12,225.433710,6.25442449e-01,6.82886215e-01,6.11249647e-01,6.67758231e-01,5.35478914e+01,3.34688925e-02,5.19209473e+01,3.37853706e-02,1135553,3.00000000e-04
13,225.782216,6.24660545e-01,6.81993298e-01,6.36197796e-01,7.00184247e-01,5.33487483e+01,3.31260720e-02,5.72236698e+01,2.19710412e-02,1135553,3.00000000e-04
14,227.693095,6.33722463e-01,6.94357016e-01,6.29510975e-01,6.91487746e-01,5.53621315e+01,3.47034545e-02,5.55676071e+01,3.06953353e-02,1135553,3.00000000e-04
15,227.661514,6.19654231e-01,6.75949840e-01,6.24061008e-01,6.79523890e-01,5.24257114e+01,3.25393379e-02,5.35884930e+01,3.62993395e-02,1135553,3.00000000e-04
16,226.625756,6.23196575e-01,6.81841879e-01,6.13688877e-01,6.65649655e-01,5.35316847e+01,3.15671094e-02,5.14643988e+01,4.21687917e-02,1135553,3.00000000e-04
17,226.690346,6.29323254e-01,6.89148011e-01,6.41160261e-01,7.08434889e-01,5.46564508e+01,3.29232429e-02,5.90605810e+01,3.30441917e-02,1135553,3.00000000e-04
18,227.883053,6.15414663e-01,6.71814483e-01,6.02718321e-01,6.55886970e-01,5.18502160e+01,3.31422625e-02,4.99699808e+01,3.31484789e-02,1135553,3.00000000e-04
19,225.895694,6.19650269e-01,6.77972759e-01,6.06348677e-01,6.62425914e-01,5.30412605e+01,3.42828446e-02,5.07591311e+01,2.55777963e-02,1135553,3.00000000e-04
