epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,390.403631,5.73173569e-01,5.73640676e-01,9.76094077e-02,9.80159524e-02,1.78656260e+01,2.83815148e-01,4.56520294e-01,4.38232555e-01,1135553,5.00000000e-05
1,392.941277,7.27529555e-02,7.33467720e-02,5.83581371e-02,5.91977605e-02,2.58306533e-01,9.58299706e-02,1.57048287e-01,2.68683095e-03,1135553,5.00000000e-05
2,393.799874,5.40478740e-02,5.46829598e-02,5.43925142e-02,5.48725161e-02,1.32242019e-01,2.04037284e-03,1.37167814e-01,1.84620150e-03,1135553,5.00000000e-05
3,392.417850,5.03422128e-02,5.08738730e-02,4.98093994e-02,5.02750336e-02,1.14716435e-01,1.64571223e-03,1.14294335e-01,1.51064036e-03,1135553,5.00000000e-05
4,392.107286,4.75817899e-02,4.80450435e-02,4.79119430e-02,4.83503303e-02,1.02379115e-01,1.34285377e-03,1.01572690e-01,1.27395085e-03,1135553,5.00000000e-05
5,392.363556,4.50181992e-02,4.54353236e-02,4.29904981e-02,4.34129098e-02,9.13813811e-02,1.12391544e-03,8.30306314e-02,1.07430646e-03,1135553,5.00000000e-05
6,394.468248,4.22774515e-02,4.26879817e-02,4.06360161e-02,4.10592307e-02,8.02818245e-02,9.46612278e-04,7.44687174e-02,8.95693968e-04,1135553,5.00000000e-05
7,394.555075,4.01893486e-02,4.06016888e-02,3.99759604e-02,4.04893060e-02,7.25439379e-02,8.00001870e-04,7.34541878e-02,7.58129340e-04,1135553,5.00000000e-05
8,394.331184,3.93509070e-02,3.97900551e-02,3.91246684e-02,3.96449322e-02,6.98409539e-02,6.94920355e-04,6.86477497e-02,6.57934947e-04,1135553,5.00000000e-05
9,393.038077,3.63658123e-02,3.68212456e-02,3.58518145e-02,3.63244358e-02,5.99759509e-02,6.15035686e-04,5.98179683e-02,6.03927968e-04,1135553,5.00000000e-05
10,396.291576,3.18653610e-02,3.23822847e-02,2.74091253e-02,2.79212956e-02,4.64885740e-02,5.79853726e-04,3.47156657e-02,6.06598258e-04,1135553,5.00000000e-05
11,395.782922,2.56949661e-02,2.62735253e-02,2.13192258e-02,2.17192208e-02,3.13437158e-02,6.03424883e-04,2.12195706e-02,6.38966628e-04,1135553,5.00000000e-05
12,395.581078,2.21637311e-02,2.26154045e-02,2.82720854e-02,2.88563202e-02,2.35249196e-02,6.03435865e-04,3.81261462e-02,6.13813498e-04,1135553,5.00000000e-05
13,392.409691,2.30698858e-02,2.35957474e-02,2.33399834e-02,2.38123436e-02,2.62707220e-02,5.87315568e-04,2.88310345e-02,6.13927345e-04,1135553,5.00000000e-05
14,394.693167,2.28258453e-02,2.33177874e-02,2.19175193e-02,2.23645395e-02,2.60340154e-02,5.74273607e-04,2.25645490e-02,5.76696924e-04,1135553,5.00000000e-05
15,395.076353,2.16216439e-02,2.20728498e-02,2.29893774e-02,2.36800562e-02,2.30643537e-02,5.61570392e-04,2.52487036e-02,6.10127808e-04,1135553,5.00000000e-05
16,395.939682,2.13478824e-02,2.17926759e-02,1.90087305e-02,1.93143202e-02,2.22772753e-02,5.50634821e-04,1.72691317e-02,5.55421095e-04,1135553,5.00000000e-05
17,392.681050,2.09227431e-02,2.13598490e-02,1.89728552e-02,1.92904268e-02,2.16607071e-02,5.43940158e-04,1.66870624e-02,5.22523911e-04,1135553,5.00000000e-05
18,393.601732,2.08914149e-02,2.13353040e-02,1.97495555e-02,2.01219610e-02,2.16875745e-02,5.40042501e-04,1.98736169e-02,5.30686902e-04,1135553,5.00000000e-05
19,392.589433,1.96190011e-02,2.00164179e-02,1.79747907e-02,1.82654059e-02,1.87019216e-02,5.27357489e-04,1.52317490e-02,5.29769403e-04,1135553,5.00000000e-05
20,393.228912,2.07855257e-02,2.12471369e-02,1.98062956e-02,2.01151584e-02,2.14652737e-02,5.26869057e-04,1.79833435e-02,4.99029574e-04,1135553,5.00000000e-05
21,393.522806,2.05392471e-02,2.10012945e-02,2.71056233e-02,2.77393371e-02,2.08853683e-02,5.16152524e-04,3.82107275e-02,5.28259748e-04,1135553,5.00000000e-05
22,392.416565,2.07494939e-02,2.12124905e-02,1.91250284e-02,1.95049985e-02,2.15413004e-02,5.11298902e-04,1.70540112e-02,5.06979763e-04,1135553,5.00000000e-05
23,393.813168,2.01559295e-02,2.06115472e-02,1.79410703e-02,1.83047047e-02,1.98766213e-02,5.08290041e-04,1.52434380e-02,5.21003476e-04,1135553,5.00000000e-05
24,392.373354,2.06236515e-02,2.11311196e-02,2.40503433e-02,2.46683790e-02,2.10060324e-02,5.00835908e-04,2.66721012e-02,4.72958467e-04,1135553,5.00000000e-05
25,395.961667,2.12482870e-02,2.17932018e-02,2.20418995e-02,2.26081306e-02,2.23730821e-02,4.98599148e-04,2.24136901e-02,4.96391826e-04,1135553,5.00000000e-05
26,395.934538,2.00715920e-02,2.05805474e-02,1.78167318e-02,1.82185940e-02,1.97480070e-02,4.95391928e-04,1.54999258e-02,5.20700719e-04,1135553,5.00000000e-05
27,392.778891,2.00903803e-02,2.06007620e-02,1.68815092e-02,1.72661776e-02,1.99288124e-02,4.96344745e-04,1.37879984e-02,5.21554414e-04,1135553,5.00000000e-05
