step,mse
0,4.02324840e-05
1,8.44933529e-05
2,1.12798902e-04
3,1.28366373e-04
4,1.34335656e-04
5,1.34992675e-04
6,1.34659538e-04
7,1.35285591e-04
8,1.36768460e-04
9,1.38666423e-04
10,1.40366188e-04
11,1.41055978e-04
12,1.40688484e-04
13,1.39057316e-04
14,1.36580929e-04
15,1.33560825e-04
16,1.30501357e-04
17,1.27667285e-04
18,1.25438091e-04
19,1.23806254e-04
20,1.22720885e-04
21,1.22342273e-04
22,1.22566285e-04
23,1.23455640e-04
24,1.24980215e-04
25,1.27167063e-04
26,1.29712542e-04
27,1.32575005e-04
28,1.35619644e-04
29,1.38762218e-04
30,1.42169592e-04
31,1.46052655e-04
32,1.50741922e-04
33,1.56609560e-04
34,1.64275742e-04
35,1.74282264e-04
36,1.87465514e-04
37,2.04661614e-04
38,2.26642936e-04
39,2.54215935e-04
