epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,1.511260,6.61718279e-01,6.61718279e-01,3.89694676e-01,3.89694676e-01,1.25686103e-01,2.18251643e-01,4.11587609e-02,1.53884406e-02,474453,1.00000000e-03
1,0.625372,2.94534521e-01,2.94534521e-01,2.10320756e-01,2.10320756e-01,2.29390595e-02,1.48756009e-02,2.20758708e-02,2.19135705e-03,474453,1.00000000e-03
2,0.586671,1.85917911e-01,1.85917911e-01,1.54174715e-01,1.54174715e-01,1.08644919e-02,3.53009720e-03,1.12342144e-02,8.13921375e-04,474453,1.00000000e-03
3,0.598718,1.45217529e-01,1.45217529e-01,1.23432821e-01,1.23432821e-01,5.98440637e-03,1.13344575e-03,7.00085482e-03,9.40979313e-04,474453,1.00000000e-03
4,0.664677,1.17805737e-01,1.17805737e-01,9.96697438e-02,9.96697438e-02,4.19565439e-03,7.67580520e-04,5.05477021e-03,6.81325371e-04,474453,1.00000000e-03
5,0.581160,1.02062270e-01,1.02062270e-01,9.20000011e-02,9.20000011e-02,3.31088551e-03,4.31812113e-04,3.94537515e-03,3.39249622e-04,474453,1.00000000e-03
6,0.619868,9.05196583e-02,9.05196583e-02,8.07556096e-02,8.07556096e-02,2.51098522e-03,2.80981834e-04,3.30188964e-03,2.46392461e-04,474453,1.00000000e-03
7,0.588589,8.20958200e-02,8.20958200e-02,7.91875476e-02,7.91875476e-02,2.15351112e-03,2.23868417e-04,2.83721637e-03,2.08296895e-04,474453,1.00000000e-03
8,0.579631,7.83671370e-02,7.83671370e-02,7.43146181e-02,7.43146181e-02,1.92416421e-03,1.93850444e-04,2.67685245e-03,1.90068795e-04,474453,1.00000000e-03
9,0.585243,7.32638102e-02,7.32638102e-02,6.92291161e-02,6.92291161e-02,1.77637693e-03,1.91607170e-04,2.33995661e-03,1.73538392e-04,474453,1.00000000e-03
10,0.598274,7.02384384e-02,7.02384384e-02,6.24694070e-02,6.24694070e-02,1.55829638e-03,1.53270335e-04,2.08709785e-03,1.74913450e-04,474453,1.00000000e-03
11,0.580536,6.52418354e-02,6.52418354e-02,6.22177151e-02,6.22177151e-02,1.44664283e-03,1.35904097e-04,1.93644248e-03,1.55369060e-04,474453,1.00000000e-03
12,0.582039,6.32625229e-02,6.32625229e-02,5.79293591e-02,5.79293591e-02,1.32503079e-03,1.18561873e-04,1.80627580e-03,1.42452549e-04,474453,1.00000000e-03
13,0.597522,5.71321123e-02,5.71321123e-02,5.50344062e-02,5.50344062e-02,1.16302241e-03,1.00028860e-04,1.60880892e-03,1.29427283e-04,474453,1.00000000e-03
14,0.587121,5.47647367e-02,5.47647367e-02,4.87066585e-02,4.87066585e-02,1.02718378e-03,8.88236480e-05,1.50640759e-03,1.21967137e-04,474453,1.00000000e-03
15,0.582172,5.00848949e-02,5.00848949e-02,4.81285934e-02,4.81285934e-02,9.90840992e-04,9.26267271e-05,1.39799246e-03,1.09182834e-04,474453,1.00000000e-03
16,0.590938,4.84934268e-02,4.84934268e-02,4.59600425e-02,4.59600425e-02,9.03894143e-04,7.13887762e-05,1.29767336e-03,1.01944886e-04,474453,1.00000000e-03
17,0.590714,4.70049825e-02,4.70049825e-02,5.31772916e-02,5.31772916e-02,8.48077681e-04,6.11862467e-05,1.39957735e-03,8.81744018e-05,474453,1.00000000e-03
18,0.584082,4.84278886e-02,4.84278886e-02,4.80698508e-02,4.80698508e-02,8.26679796e-04,4.92166703e-05,1.27621571e-03,7.89512169e-05,474453,1.00000000e-03
19,0.582975,4.35742176e-02,4.35742176e-02,4.05754048e-02,4.05754048e-02,7.52662343e-04,4.41465186e-05,1.05921463e-03,7.39318330e-05,474453,1.00000000e-03
20,0.639074,4.48103597e-02,4.48103597e-02,4.60750836e-02,4.60750836e-02,7.10082913e-04,3.58668232e-05,1.11944656e-03,6.74123780e-05,474453,1.00000000e-03
21,0.604636,4.14520066e-02,4.14520066e-02,3.72204474e-02,3.72204474e-02,6.35737837e-04,2.73268698e-05,9.54834191e-04,5.89136455e-05,474453,1.00000000e-03
22,0.654034,4.55410646e-02,4.55410646e-02,4.11744316e-02,4.11744316e-02,6.86577217e-04,2.27713227e-05,9.46401531e-04,5.58717772e-05,474453,1.00000000e-03
23,0.608575,4.41719965e-02,4.41719965e-02,3.91298486e-02,3.91298486e-02,6.51228251e-04,2.12704485e-05,8.86546186e-04,5.39074761e-05,474453,1.00000000e-03
24,0.597983,4.04297189e-02,4.04297189e-02,3.88575801e-02,3.88575801e-02,5.66067891e-04,2.02556590e-05,8.67998286e-04,5.12387430e-05,474453,1.00000000e-03
25,0.584824,3.72366620e-02,3.72366620e-02,3.42995879e-02,3.42995879e-02,5.30073677e-04,1.84474904e-05,7.81419163e-04,4.45437774e-05,474453,1.00000000e-03
26,0.592848,3.70864763e-02,3.70864763e-02,3.28873199e-02,3.28873199e-02,4.98249510e-04,1.36510532e-05,7.52776075e-04,4.17640981e-05,474453,1.00000000e-03
27,0.592749,4.06784859e-02,4.06784859e-02,3.79708031e-02,3.79708031e-02,5.43870343e-04,1.29445910e-05,7.98887457e-04,3.97739700e-05,474453,1.00000000e-03
28,0.583015,3.53637816e-02,3.53637816e-02,3.40793690e-02,3.40793690e-02,4.69847639e-04,1.21429698e-05,7.50896157e-04,3.81403519e-05,474453,1.00000000e-03
29,0.601690,3.58717473e-02,3.58717473e-02,3.47839792e-02,3.47839792e-02,4.57755487e-04,1.05102742e-05,6.75517927e-04,3.51330656e-05,474453,1.00000000e-03
30,0.598425,3.79103286e-02,3.79103286e-02,3.93391114e-02,3.93391114e-02,4.75435380e-04,1.00516003e-05,8.11094695e-04,3.45869905e-05,474453,1.00000000e-03
31,0.593574,4.22719361e-02,4.22719361e-02,3.57542898e-02,3.57542898e-02,5.34642029e-04,1.15172432e-05,6.66195912e-04,3.24654995e-05,474453,1.00000000e-03
32,0.592249,4.00532708e-02,4.00532708e-02,4.24232540e-02,4.24232540e-02,4.81158339e-04,1.08618860e-05,8.21830268e-04,3.13508526e-05,474453,1.00000000e-03
33,0.588321,3.89568138e-02,3.89568138e-02,3.80993959e-02,3.80993959e-02,4.73783506e-04,9.72575552e-06,7.62121628e-04,3.21172672e-05,474453,1.00000000e-03
34,0.588941,3.91485986e-02,3.91485986e-02,4.37061939e-02,4.37061939e-02,4.85614117e-04,9.86255153e-06,8.52905534e-04,2.94640879e-05,474453,1.00000000e-03
