epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,112.736036,7.70473147e-01,8.01837327e-01,6.47090689e-01,6.98959064e-01,3.24382487e+01,1.59900687e-01,2.44240467e+01,2.89191139e-02,1147721,3.00000000e-04
1,111.210430,5.82955948e-01,6.32677929e-01,5.06830095e-01,5.55063474e-01,2.00236958e+01,9.23162798e-02,1.56290569e+01,1.39582416e-01,1147721,3.00000000e-04
2,110.499624,4.53731722e-01,5.00335976e-01,4.38510925e-01,4.92907543e-01,1.25704855e+01,1.29488300e-01,1.22885198e+01,1.10427027e-01,1147721,3.00000000e-04
3,111.733905,4.26972315e-01,4.73212697e-01,4.24828241e-01,4.70314028e-01,1.12244411e+01,1.06897019e-01,1.11888837e+01,1.06241693e-01,1147721,3.00000000e-04
4,110.644041,4.13331430e-01,4.55613561e-01,4.01847843e-01,4.42033432e-01,1.03843635e+01,8.64880210e-02,9.82750897e+00,6.88850224e-02,1147721,3.00000000e-04
5,108.286035,4.01846707e-01,4.40432700e-01,3.88203978e-01,4.23677654e-01,9.67462873e+00,5.80924600e-02,9.02893338e+00,4.70166402e-02,1147721,3.00000000e-04
6,105.066919,3.91817934e-01,4.28265216e-01,3.76719782e-01,4.12258693e-01,9.14970402e+00,4.55225312e-02,8.55039053e+00,4.63875639e-02,1147721,3.00000000e-04
7,106.508359,3.83741743e-01,4.18416656e-01,3.80226250e-01,4.16876638e-01,8.71723195e+00,4.28148412e-02,8.73319917e+00,4.27403520e-02,1147721,3.00000000e-04
8,107.311132,3.81474864e-01,4.16436570e-01,3.67110760e-01,4.01267086e-01,8.64096260e+00,4.17717977e-02,8.10844731e+00,4.80342864e-02,1147721,3.00000000e-04
9,106.828419,3.72872796e-01,4.06703956e-01,3.68573376e-01,4.03435984e-01,8.23872900e+00,4.14056720e-02,8.20168285e+00,4.40609409e-02,1147721,3.00000000e-04
10,104.614051,3.70749110e-01,4.04302487e-01,3.56825603e-01,3.87600386e-01,8.13863522e+00,4.06450132e-02,7.54983974e+00,3.83785601e-02,1147721,3.00000000e-04
11,104.548580,3.66473659e-01,3.99375515e-01,3.58046867e-01,3.90680238e-01,7.95436231e+00,3.99552466e-02,7.67864261e+00,4.30598937e-02,1147721,3.00000000e-04
12,104.884117,3.59931327e-01,3.91776086e-01,3.57763033e-01,3.89874719e-01,7.64779763e+00,3.95613145e-02,7.62852950e+00,3.63753006e-02,1147721,3.00000000e-04
13,106.803543,3.59331253e-01,3.91652889e-01,3.50486082e-01,3.81766024e-01,7.64423472e+00,3.88599757e-02,7.33837671e+00,3.66135100e-02,1147721,3.00000000e-04
14,104.715205,3.55991733e-01,3.87667275e-01,3.43765072e-01,3.74150707e-01,7.49171216e+00,3.86317975e-02,7.05563796e+00,4.10792938e-02,1147721,3.00000000e-04
15,105.822918,3.53203603e-01,3.84455644e-01,3.40019978e-01,3.69234046e-01,7.36663238e+00,3.87172022e-02,6.86581535e+00,3.73424403e-02,1147721,3.00000000e-04
16,106.656814,3.49446054e-01,3.80500054e-01,3.38940441e-01,3.67478653e-01,7.21163642e+00,3.84163658e-02,6.80376706e+00,3.96686162e-02,1147721,3.00000000e-04
17,106.709669,3.48330056e-01,3.79654553e-01,3.43525366e-01,3.74578089e-01,7.18344877e+00,3.81444774e-02,7.09228971e+00,3.85322368e-02,1147721,3.00000000e-04
18,103.893537,3.45581066e-01,3.76293012e-01,3.36937408e-01,3.66430670e-01,7.05378950e+00,3.86185537e-02,6.77000070e+00,4.08735293e-02,1147721,3.00000000e-04
19,103.956541,3.43158098e-01,3.74184455e-01,3.49274660e-01,3.86403775e-01,6.98727115e+00,3.86387747e-02,7.56800938e+00,3.69643404e-02,1147721,3.00000000e-04
20,108.413557,3.45691685e-01,3.78116906e-01,3.45272909e-01,3.79140348e-01,7.14440455e+00,3.78380051e-02,7.22832625e+00,3.38493901e-02,1147721,3.00000000e-04
21,107.755786,3.46114464e-01,3.77304278e-01,3.50997028e-01,3.88019667e-01,7.09452048e+00,3.75006216e-02,7.59259238e+00,3.81761064e-02,1147721,3.00000000e-04
22,107.637367,3.47103256e-01,3.79558202e-01,3.44211159e-01,3.78034987e-01,7.20354343e+00,3.76305054e-02,7.19479623e+00,3.56779325e-02,1147721,3.00000000e-04
23,107.475641,3.36958611e-01,3.66753221e-01,3.26829659e-01,3.55576103e-01,6.70996258e+00,3.77187256e-02,6.39600890e+00,4.07204072e-02,1147721,3.00000000e-04
24,106.722653,3.35730484e-01,3.65542695e-01,3.33778162e-01,3.65759153e-01,6.66343645e+00,3.78929180e-02,6.74948285e+00,3.86910518e-02,1147721,3.00000000e-04
