step,mse
0,3.37631591e-02
1,8.78606513e-02
2,1.35809541e-01
3,1.74045518e-01
4,2.10396588e-01
5,2.56638616e-01
6,3.16934615e-01
7,3.84181261e-01
8,4.46103483e-01
9,5.04317343e-01
10,5.43858647e-01
11,5.59932411e-01
12,5.71975470e-01
13,6.08494818e-01
14,6.30915284e-01
15,6.44235969e-01
16,6.84538245e-01
17,7.22938001e-01
18,7.66936958e-01
19,8.58881593e-01
20,9.46818113e-01
21,9.84886169e-01
22,1.01951885e+00
23,1.03147233e+00
24,1.05177236e+00
25,1.09820950e+00
26,1.18138611e+00
27,1.29281247e+00
28,1.40103817e+00
29,1.48095763e+00
30,1.55347335e+00
31,1.64442611e+00
32,1.74005067e+00
33,1.83522964e+00
34,1.93376875e+00
35,2.04140425e+00
36,2.16256833e+00
37,2.30151010e+00
38,2.45454812e+00
39,2.62285399e+00
