epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,385.041666,5.77986061e-01,5.78291692e-01,1.07917094e-01,1.08366902e-01,1.77415706e+01,2.75963089e-01,5.53931357e-01,4.48850017e-01,1147721,5.00000000e-05
1,388.241705,9.06841157e-02,9.11908133e-02,7.18681042e-02,7.22627640e-02,3.96000284e-01,1.07472621e-01,2.42371081e-01,2.64724098e-03,1147721,5.00000000e-05
2,389.382333,5.61821606e-02,5.68430426e-02,5.32738564e-02,5.38426116e-02,1.43687817e-01,1.91251832e-03,1.27004938e-01,1.67375390e-03,1147721,5.00000000e-05
3,389.963466,5.09977029e-02,5.15281504e-02,4.98690369e-02,5.03372464e-02,1.17428097e-01,1.41631803e-03,1.12301074e-01,1.27388204e-03,1147721,5.00000000e-05
4,389.640172,4.92464490e-02,4.97190689e-02,4.98890283e-02,5.03654304e-02,1.09282340e-01,1.10742228e-03,1.10128376e-01,1.04089166e-03,1147721,5.00000000e-05
5,389.983309,4.69334113e-02,4.73378691e-02,4.53729453e-02,4.57971990e-02,9.92526346e-02,9.09154914e-04,9.19957809e-02,8.61273215e-04,1147721,5.00000000e-05
6,389.558700,4.49560694e-02,4.53349196e-02,4.58581731e-02,4.62394157e-02,9.07669020e-02,7.76103060e-04,9.26649660e-02,7.51069435e-04,1147721,5.00000000e-05
7,388.461744,4.24461384e-02,4.27840245e-02,4.11328958e-02,4.14593554e-02,8.08210756e-02,6.85221172e-04,7.61045609e-02,6.78809404e-04,1147721,5.00000000e-05
8,388.021097,3.98923412e-02,4.02203530e-02,3.96395271e-02,3.99962027e-02,7.16607082e-02,6.33917523e-04,7.15072606e-02,6.39392864e-04,1147721,5.00000000e-05
9,388.810471,3.79935933e-02,3.83241772e-02,3.93356761e-02,3.96193077e-02,6.52021335e-02,5.96779507e-04,7.23886462e-02,5.82362339e-04,1147721,5.00000000e-05
10,389.020384,3.32819609e-02,3.36098755e-02,2.91735581e-02,2.94919148e-02,5.04932944e-02,5.78204953e-04,3.89964103e-02,5.95368124e-04,1147721,5.00000000e-05
11,388.460314,2.57678537e-02,2.60761979e-02,2.38184092e-02,2.40652465e-02,3.11883489e-02,6.17000520e-04,2.81394368e-02,6.46245724e-04,1147721,5.00000000e-05
12,387.671540,2.30123504e-02,2.32931516e-02,2.60584638e-02,2.63944302e-02,2.52430461e-02,6.43401226e-04,3.05787112e-02,7.55520465e-04,1147721,5.00000000e-05
13,388.053896,2.12104014e-02,2.14473624e-02,1.93149482e-02,1.94639610e-02,2.16470147e-02,6.41392442e-04,1.73255458e-02,6.41379673e-04,1147721,5.00000000e-05
14,387.971837,2.18440772e-02,2.21230275e-02,2.05351526e-02,2.07194330e-02,2.31903914e-02,6.22471610e-04,2.15004119e-02,6.55686380e-04,1147721,5.00000000e-05
15,387.370257,2.08466259e-02,2.10841634e-02,2.36140118e-02,2.38460987e-02,2.10908264e-02,6.09739388e-04,2.58286421e-02,6.56463336e-04,1147721,5.00000000e-05
16,387.639314,2.10683822e-02,2.13215807e-02,1.87622761e-02,1.89040086e-02,2.12914249e-02,6.02142649e-04,1.66440467e-02,6.08129986e-04,1147721,5.00000000e-05
17,388.484616,1.98575412e-02,2.00649540e-02,1.88367463e-02,1.89824260e-02,1.90071395e-02,5.92639952e-04,1.67406045e-02,5.72556385e-04,1147721,5.00000000e-05
18,389.260908,2.09520615e-02,2.11967515e-02,1.97979979e-02,2.00096224e-02,2.14334743e-02,5.82747691e-04,1.85899532e-02,5.46850222e-04,1147721,5.00000000e-05
19,388.260929,2.02910672e-02,2.05260464e-02,1.90172958e-02,1.92164879e-02,1.99086756e-02,5.75354709e-04,1.73787435e-02,6.14738383e-04,1147721,5.00000000e-05
20,388.012279,1.92007033e-02,1.94081190e-02,1.91919844e-02,1.93566854e-02,1.78171849e-02,5.62859479e-04,1.73079233e-02,5.74763033e-04,1147721,5.00000000e-05
21,388.673222,1.89594924e-02,1.91562264e-02,2.14484745e-02,2.16300011e-02,1.73626534e-02,5.55952569e-04,2.13869727e-02,6.01265796e-04,1147721,5.00000000e-05
22,389.479266,1.95696567e-02,1.97851628e-02,1.91504965e-02,1.93404633e-02,1.84725478e-02,5.50576659e-04,1.78523655e-02,5.89278385e-04,1147721,5.00000000e-05
23,387.681886,2.11450786e-02,2.14389180e-02,1.81103892e-02,1.82963837e-02,2.19359890e-02,5.40432806e-04,1.53132707e-02,5.62057877e-04,1147721,5.00000000e-05
24,388.956884,1.96982262e-02,1.99339272e-02,1.73271663e-02,1.75038008e-02,1.89221294e-02,5.33611941e-04,1.42325230e-02,5.48641779e-04,1147721,5.00000000e-05
25,387.037640,1.92444390e-02,1.94717863e-02,1.84586084e-02,1.86391725e-02,1.77574923e-02,5.27540218e-04,1.56254983e-02,5.46955222e-04,1147721,5.00000000e-05
26,388.165217,2.04642850e-02,2.07427816e-02,2.10765221e-02,2.13754930e-02,2.03354616e-02,5.26376350e-04,2.27078069e-02,5.52192782e-04,1147721,5.00000000e-05
27,389.422012,1.96653798e-02,1.99250538e-02,2.04766497e-02,2.07806616e-02,1.86431424e-02,5.18513247e-04,2.06168928e-02,4.95688376e-04,1147721,5.00000000e-05
28,388.402810,1.99515557e-02,2.02175847e-02,2.25126097e-02,2.29178511e-02,1.93885242e-02,5.11248175e-04,2.31121810e-02,5.31741998e-04,1147721,5.00000000e-05
29,387.301630,1.92920479e-02,1.95402126e-02,1.97021439e-02,1.99595936e-02,1.80659914e-02,5.05383274e-04,1.95268088e-02,5.31389934e-04,1147721,5.00000000e-05
30,389.494605,1.86937911e-02,1.89424850e-02,2.11109645e-02,2.14214233e-02,1.68352514e-02,5.00614222e-04,2.03424337e-02,4.94417166e-04,1147721,5.00000000e-05
31,388.967273,1.87911492e-02,1.90507550e-02,1.85843866e-02,1.88519382e-02,1.69117528e-02,4.92715317e-04,1.70938807e-02,5.09201069e-04,1147721,5.00000000e-05
32,388.450515,1.91047700e-02,1.93715565e-02,1.88825191e-02,1.91603655e-02,1.76966541e-02,4.88845504e-04,1.80646223e-02,4.91509289e-04,1147721,5.00000000e-05
33,398.282048,1.87972112e-02,1.90632155e-02,1.71145870e-02,1.73306983e-02,1.70214556e-02,4.87060972e-04,1.36083480e-02,4.92842554e-04,1147721,5.00000000e-05
34,389.660214,1.81665562e-02,1.84248295e-02,1.68321769e-02,1.70169387e-02,1.59548012e-02,4.79930394e-04,1.30228967e-02,5.00892837e-04,1147721,5.00000000e-05
35,390.903114,1.86695197e-02,1.89654899e-02,1.86076192e-02,1.88840797e-02,1.68126173e-02,4.78346514e-04,1.64746541e-02,4.61496192e-04,1147721,5.00000000e-05
36,391.240351,1.85168994e-02,1.88064830e-02,1.91075857e-02,1.94845362e-02,1.65913285e-02,4.74542021e-04,1.84253877e-02,4.96165175e-04,1147721,5.00000000e-05
37,387.949534,1.83838807e-02,1.86951098e-02,1.81333121e-02,1.84883639e-02,1.62842042e-02,4.67654978e-04,1.65553494e-02,5.00566452e-04,1147721,5.00000000e-05
38,388.215306,1.93546281e-02,1.96964268e-02,1.84095392e-02,1.87539551e-02,1.82088976e-02,4.82366969e-04,1.71609114e-02,4.71379660e-04,1147721,5.00000000e-05
39,389.735143,1.93522200e-02,1.97065077e-02,2.25490786e-02,2.28873202e-02,1.80560992e-02,4.70284208e-04,2.31030248e-02,4.84840797e-04,1147721,5.00000000e-05
40,389.485500,1.97748962e-02,2.01485086e-02,1.69043155e-02,1.71936656e-02,1.89494076e-02,4.61425888e-04,1.37539046e-02,4.57442276e-04,1147721,5.00000000e-05
41,391.427957,1.76833791e-02,1.79845697e-02,2.01710027e-02,2.05199568e-02,1.48104961e-02,4.60238447e-04,1.84409838e-02,4.69023222e-04,1147721,5.00000000e-05
42,389.970351,1.89483344e-02,1.93031295e-02,1.79318233e-02,1.83288050e-02,1.77033654e-02,4.57940470e-04,1.55926147e-02,4.69670407e-04,1147721,5.00000000e-05
43,390.432070,1.91927679e-02,1.95707966e-02,2.43179642e-02,2.47986722e-02,1.77698129e-02,4.57252135e-04,2.67903151e-02,4.65220110e-04,1147721,5.00000000e-05
44,388.536860,2.04283164e-02,2.08568065e-02,3.16583067e-02,3.26065770e-02,2.03415080e-02,4.55227710e-04,4.99011906e-02,4.75816922e-04,1147721,5.00000000e-05
45,390.109663,1.88062331e-02,1.91971813e-02,1.70228148e-02,1.73792008e-02,1.72331491e-02,4.57957507e-04,1.40786501e-02,4.76823612e-04,1147721,5.00000000e-05
46,388.997569,1.89402787e-02,1.93631890e-02,1.82090375e-02,1.86319584e-02,1.73369734e-02,4.56542013e-04,1.64637270e-02,4.56316191e-04,1147721,5.00000000e-05
47,389.230543,1.81736393e-02,1.85510069e-02,2.06952889e-02,2.11669606e-02,1.57542096e-02,4.49347788e-04,2.10986848e-02,4.70804762e-04,1147721,5.00000000e-05
48,390.037138,1.83837489e-02,1.88010330e-02,1.68791241e-02,1.72614562e-02,1.61060918e-02,4.47179441e-04,1.37215628e-02,4.45416729e-04,1147721,5.00000000e-05
49,390.005413,1.80273768e-02,1.84403218e-02,2.55083624e-02,2.61889805e-02,1.56365228e-02,4.52533873e-04,2.97412501e-02,4.84867882e-04,1147721,5.00000000e-05
50,390.239334,1.91414000e-02,1.95878231e-02,2.70614694e-02,2.78782053e-02,1.79256036e-02,4.47833428e-04,3.57316023e-02,4.61552332e-04,1147721,5.00000000e-05
51,390.124907,1.82710547e-02,1.86849674e-02,1.82116418e-02,1.86492386e-02,1.59513223e-02,4.45618537e-04,1.53853584e-02,4.96966934e-04,1147721,5.00000000e-05
52,390.451950,1.90431888e-02,1.95031895e-02,1.81238669e-02,1.85874394e-02,1.79558408e-02,4.52416649e-04,1.59168231e-02,4.77326690e-04,1147721,5.00000000e-05
53,389.150064,1.92516470e-02,1.97720553e-02,1.64788906e-02,1.67968478e-02,1.82010578e-02,4.49221094e-04,1.23846433e-02,4.11358225e-04,1147721,5.00000000e-05
54,389.699549,1.83046865e-02,1.87518727e-02,2.38231552e-02,2.48597051e-02,1.61063118e-02,4.41948171e-04,2.80030747e-02,5.25383856e-04,1147721,5.00000000e-05
55,389.635856,1.85513884e-02,1.90354074e-02,2.40042751e-02,2.48706850e-02,1.64743146e-02,4.39648211e-04,2.84703503e-02,4.62974776e-04,1147721,5.00000000e-05
56,389.666475,1.95117312e-02,2.00427591e-02,2.18670332e-02,2.22636024e-02,1.86104293e-02,4.81260519e-04,2.17557677e-02,4.68940042e-04,1147721,5.00000000e-05
57,390.555169,1.92882483e-02,1.97932737e-02,1.97321440e-02,2.02187940e-02,1.78379876e-02,4.51775821e-04,1.83349868e-02,4.05461916e-04,1147721,5.00000000e-05
