step,mse
0,6.52064773e-05
1,1.19266733e-04
2,1.42577162e-04
3,1.48399253e-04
4,1.45225422e-04
5,1.40376753e-04
6,1.39161362e-04
7,1.42635006e-04
8,1.49330881e-04
9,1.57490387e-04
10,1.65647172e-04
11,1.71723441e-04
12,1.75127629e-04
13,1.75957844e-04
14,1.74995832e-04
15,1.72739470e-04
16,1.70057348e-04
17,1.67602921e-04
18,1.65838937e-04
19,1.64613550e-04
20,1.63928067e-04
21,1.63890014e-04
22,1.64169731e-04
23,1.64804776e-04
24,1.66003461e-04
25,1.67993479e-04
26,1.70565923e-04
27,1.73898297e-04
28,1.77995476e-04
29,1.82709366e-04
30,1.88138947e-04
31,1.94561391e-04
32,2.02254130e-04
33,2.11402323e-04
34,2.22549032e-04
35,2.36183827e-04
36,2.53138714e-04
37,2.74305319e-04
38,3.00638378e-04
39,3.33157368e-04
