epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,1.577922,6.22049814e-01,6.22049814e-01,4.29541439e-01,4.29541439e-01,1.07792804e-01,2.09374055e-01,4.51370133e-02,1.93592848e-02,474470,1.00000000e-03
1,0.627051,3.11275692e-01,3.11275692e-01,2.30588641e-01,2.30588641e-01,2.48435296e-02,1.00731619e-02,2.46338176e-02,1.95818499e-03,474470,1.00000000e-03
2,0.664416,2.00790923e-01,2.00790923e-01,1.53279126e-01,1.53279126e-01,1.23941056e-02,2.32949367e-03,1.28484149e-02,1.43315311e-03,474470,1.00000000e-03
3,0.654980,1.42815967e-01,1.42815967e-01,1.28040048e-01,1.28040048e-01,6.43288204e-03,1.08642889e-03,7.57454929e-03,6.18597893e-04,474470,1.00000000e-03
4,0.633024,1.21458185e-01,1.21458185e-01,1.00631241e-01,1.00631241e-01,4.28130513e-03,4.71834520e-04,5.12100069e-03,3.42825821e-04,474470,1.00000000e-03
5,0.661953,9.99617963e-02,9.99617963e-02,9.20411357e-02,9.20411357e-02,3.16599886e-03,3.78195211e-04,3.93732934e-03,1.85188288e-04,474470,1.00000000e-03
6,0.737277,9.02445211e-02,9.02445211e-02,7.96784312e-02,7.96784312e-02,2.50933820e-03,1.96818964e-04,3.34283424e-03,1.51737743e-04,474470,1.00000000e-03
7,0.627439,8.31205320e-02,8.31205320e-02,8.08495232e-02,8.08495232e-02,2.20282133e-03,1.87759074e-04,3.02985025e-03,1.43852974e-04,474470,1.00000000e-03
8,0.645194,7.88666120e-02,7.88666120e-02,7.41249996e-02,7.41249996e-02,1.92847964e-03,1.38236870e-04,2.62741925e-03,1.42283749e-04,474470,1.00000000e-03
9,0.639734,7.37501044e-02,7.37501044e-02,7.19519198e-02,7.19519198e-02,1.75193124e-03,1.33471023e-04,2.49099504e-03,1.31617682e-04,474470,1.00000000e-03
10,0.626268,7.22991996e-02,7.22991996e-02,6.92381847e-02,6.92381847e-02,1.61752131e-03,1.37945501e-04,2.33527555e-03,1.19264798e-04,474470,1.00000000e-03
11,0.640692,6.70638378e-02,6.70638378e-02,6.52780187e-02,6.52780187e-02,1.45160204e-03,1.01216105e-04,2.03438581e-03,1.21352627e-04,474470,1.00000000e-03
12,0.655332,6.35428419e-02,6.35428419e-02,5.71401453e-02,5.71401453e-02,1.30419834e-03,8.37423950e-05,1.76501644e-03,1.01012955e-04,474470,1.00000000e-03
13,0.645493,6.17003136e-02,6.17003136e-02,5.72171718e-02,5.72171718e-02,1.22192302e-03,6.68143425e-05,1.67196846e-03,9.84447361e-05,474470,1.00000000e-03
14,0.638341,6.01728766e-02,6.01728766e-02,6.30792522e-02,6.30792522e-02,1.21458490e-03,6.08010147e-05,1.78740136e-03,8.09420271e-05,474470,1.00000000e-03
15,0.661813,5.53914676e-02,5.53914676e-02,5.27559775e-02,5.27559775e-02,1.04740851e-03,5.33976148e-05,1.50535010e-03,8.35619003e-05,474470,1.00000000e-03
16,0.650706,5.44637969e-02,5.44637969e-02,4.81345430e-02,4.81345430e-02,9.65164789e-04,4.58165669e-05,1.34859556e-03,7.64394431e-05,474470,1.00000000e-03
17,0.631083,4.99377199e-02,4.99377199e-02,4.73737672e-02,4.73737672e-02,8.48970118e-04,3.81879498e-05,1.25355826e-03,6.65042899e-05,474470,1.00000000e-03
18,0.650600,4.58038328e-02,4.58038328e-02,4.74861081e-02,4.74861081e-02,7.61489358e-04,3.53237917e-05,1.18532182e-03,6.64874919e-05,474470,1.00000000e-03
19,0.625766,4.23195610e-02,4.23195610e-02,4.18065193e-02,4.18065193e-02,7.07090940e-04,3.12593192e-05,1.02259529e-03,6.70073546e-05,474470,1.00000000e-03
20,0.638272,4.48247515e-02,4.48247515e-02,3.87618381e-02,3.87618381e-02,6.91825331e-04,3.07544127e-05,1.01198289e-03,7.39881716e-05,474470,1.00000000e-03
21,0.658772,4.21173074e-02,4.21173074e-02,4.09226415e-02,4.09226415e-02,6.61469041e-04,3.19633326e-05,9.96005154e-04,6.36332552e-05,474470,1.00000000e-03
22,0.589183,4.17560306e-02,4.17560306e-02,4.13891354e-02,4.13891354e-02,6.37214771e-04,2.98925606e-05,9.97783063e-04,5.81951213e-05,474470,1.00000000e-03
23,0.582912,4.13894162e-02,4.13894162e-02,3.94442475e-02,3.94442475e-02,5.82416182e-04,2.38381311e-05,9.07521389e-04,5.48419816e-05,474470,1.00000000e-03
24,0.615694,4.38131194e-02,4.38131194e-02,4.44903801e-02,4.44903801e-02,6.60087415e-04,2.26299808e-05,9.29145623e-04,6.34416747e-05,474470,1.00000000e-03
25,0.589243,4.74425983e-02,4.74425983e-02,4.13385047e-02,4.13385047e-02,6.70623967e-04,2.54278132e-05,9.44337444e-04,5.26133458e-05,474470,1.00000000e-03
26,0.586432,3.91028591e-02,3.91028591e-02,3.89373052e-02,3.89373052e-02,5.42553598e-04,2.03470567e-05,8.59226697e-04,4.95767295e-05,474470,1.00000000e-03
27,0.585520,3.70449024e-02,3.70449024e-02,3.41778584e-02,3.41778584e-02,5.02803916e-04,1.89752444e-05,7.47973623e-04,4.95286868e-05,474470,1.00000000e-03
28,0.596296,3.43492647e-02,3.43492647e-02,3.36142021e-02,3.36142021e-02,4.70804245e-04,1.77503870e-05,7.00451877e-04,4.46589411e-05,474470,1.00000000e-03
29,0.587357,3.55121864e-02,3.55121864e-02,3.61829159e-02,3.61829159e-02,4.63415696e-04,1.56600765e-05,7.00440964e-04,4.26591072e-05,474470,1.00000000e-03
30,0.588724,3.95704683e-02,3.95704683e-02,3.79188129e-02,3.79188129e-02,4.80080631e-04,1.50829898e-05,7.41296157e-04,4.24428899e-05,474470,1.00000000e-03
31,0.601302,3.64992495e-02,3.64992495e-02,3.55414656e-02,3.55414656e-02,4.78214838e-04,1.53865812e-05,6.94444250e-04,4.09381028e-05,474470,1.00000000e-03
32,0.585212,3.66266075e-02,3.66266075e-02,4.17374338e-02,4.17374338e-02,4.47667024e-04,1.34549666e-05,6.76609110e-04,3.84972202e-05,474470,1.00000000e-03
33,0.597088,4.57240247e-02,4.57240247e-02,3.76475720e-02,3.76475720e-02,6.10023553e-04,1.49993755e-05,7.19769509e-04,3.95997273e-05,474470,1.00000000e-03
34,0.581415,3.78183159e-02,3.78183159e-02,3.02073398e-02,3.02073398e-02,4.63540531e-04,1.31236528e-05,6.43860760e-04,3.93562395e-05,474470,1.00000000e-03
35,0.592483,3.30488139e-02,3.30488139e-02,3.37564903e-02,3.37564903e-02,3.98168021e-04,1.12975944e-05,6.55958967e-04,3.53133856e-05,474470,1.00000000e-03
36,0.586091,3.54595704e-02,3.54595704e-02,3.06960629e-02,3.06960629e-02,4.10205335e-04,1.03441758e-05,5.63240203e-04,3.27327921e-05,474470,1.00000000e-03
37,0.581761,3.03551682e-02,3.03551682e-02,3.19554283e-02,3.19554283e-02,3.75119180e-04,9.85555211e-06,5.68986208e-04,3.10540636e-05,474470,1.00000000e-03
38,0.682578,3.31921965e-02,3.31921965e-02,3.43746716e-02,3.43746716e-02,3.72836883e-04,1.10807496e-05,6.55703661e-04,3.05815671e-05,474470,1.00000000e-03
39,0.590299,3.41165392e-02,3.41165392e-02,3.25026058e-02,3.25026058e-02,3.75354354e-04,9.60208594e-06,5.62181674e-04,2.99966659e-05,474470,1.00000000e-03
40,0.579330,3.64775712e-02,3.64775712e-02,3.28274202e-02,3.28274202e-02,4.20383757e-04,1.24147000e-05,5.91877477e-04,3.17694396e-05,474470,1.00000000e-03
41,0.585682,3.18569988e-02,3.18569988e-02,3.84305419e-02,3.84305419e-02,3.65865550e-04,1.14479933e-05,6.55327538e-04,2.91458122e-05,474470,1.00000000e-03
42,0.592084,3.43188649e-02,3.43188649e-02,3.32712349e-02,3.32712349e-02,3.71112404e-04,1.03615665e-05,6.31601804e-04,3.13983355e-05,474470,1.00000000e-03
43,0.581694,3.28795831e-02,3.28795831e-02,3.06502621e-02,3.06502621e-02,3.56941351e-04,9.24365042e-06,5.34516010e-04,2.85336629e-05,474470,1.00000000e-03
44,0.585574,3.45021524e-02,3.45021524e-02,3.13308215e-02,3.13308215e-02,3.73836886e-04,7.60364713e-06,5.79081119e-04,2.60653632e-05,474470,1.00000000e-03
45,0.590345,3.34150318e-02,3.34150318e-02,3.13163337e-02,3.13163337e-02,3.46817000e-04,7.11946137e-06,5.05979617e-04,2.34816044e-05,474470,1.00000000e-03
46,0.593015,3.33913949e-02,3.33913949e-02,3.41014743e-02,3.41014743e-02,3.44059433e-04,7.80016512e-06,5.37971100e-04,2.34376428e-05,474470,1.00000000e-03
47,0.575644,3.15059143e-02,3.15059143e-02,2.70668429e-02,2.70668429e-02,3.20037945e-04,9.07297284e-06,4.87437435e-04,2.39896187e-05,474470,1.00000000e-03
48,0.587165,3.31710352e-02,3.31710352e-02,3.77093346e-02,3.77093346e-02,3.46184937e-04,6.75781563e-06,6.24175431e-04,2.43908107e-05,474470,1.00000000e-03
49,0.603213,3.35403992e-02,3.35403992e-02,2.91285875e-02,2.91285875e-02,3.51461945e-04,8.63712529e-06,4.84190896e-04,2.20625890e-05,474470,1.00000000e-03
50,0.571053,3.58524278e-02,3.58524278e-02,2.77439944e-02,2.77439944e-02,3.83338455e-04,9.29164604e-06,4.80824041e-04,1.93757469e-05,474470,1.00000000e-03
51,0.588628,3.03884741e-02,3.03884741e-02,2.53310001e-02,2.53310001e-02,3.05782755e-04,7.20380274e-06,4.18056032e-04,1.93831939e-05,474470,1.00000000e-03
52,0.593213,2.89815294e-02,2.89815294e-02,2.85791485e-02,2.85791485e-02,2.99661609e-04,6.43775059e-06,4.58715193e-04,1.87574440e-05,474470,1.00000000e-03
53,0.588720,3.09991136e-02,3.09991136e-02,2.87105757e-02,2.87105757e-02,3.10377251e-04,6.89403818e-06,4.95519133e-04,1.83364598e-05,474470,1.00000000e-03
54,0.574823,3.06289924e-02,3.06289924e-02,2.77158660e-02,2.77158660e-02,2.87743345e-04,5.89198267e-06,4.53139350e-04,1.77787736e-05,474470,1.00000000e-03
