epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,230.673954,8.97514964e-01,9.21023023e-01,8.48332264e-01,8.84606690e-01,9.58184555e+01,1.15378183e-01,8.89012215e+01,1.40447114e-02,1147738,3.00000000e-04
1,228.416566,8.30653327e-01,8.76437616e-01,7.99955685e-01,8.57585549e-01,8.64122285e+01,2.10415702e-02,8.36605698e+01,4.79883201e-02,1147738,3.00000000e-04
2,229.306571,7.94631973e-01,8.52063039e-01,7.83102573e-01,8.43107152e-01,8.16725578e+01,5.21807618e-02,8.09626850e+01,5.06887381e-02,1147738,3.00000000e-04
3,227.997960,7.73293307e-01,8.35928144e-01,7.67426594e-01,8.31216855e-01,7.86648807e+01,5.87946782e-02,7.85621181e+01,5.57653597e-02,1147738,3.00000000e-04
4,228.498286,7.61252031e-01,8.26633391e-01,7.44139179e-01,8.14726496e-01,7.68786607e+01,7.32402554e-02,7.56651527e+01,9.16232625e-02,1147738,3.00000000e-04
5,245.530710,7.34026466e-01,8.02783807e-01,7.10137665e-01,7.81573246e-01,7.26677583e+01,9.29368855e-02,7.01012661e+01,1.35023802e-01,1147738,3.00000000e-04
6,243.993359,7.08717477e-01,7.78010891e-01,6.93125683e-01,7.64096708e-01,6.86282567e+01,1.05438150e-01,6.67094311e+01,8.89866036e-02,1147738,3.00000000e-04
7,239.791965,6.82143356e-01,7.49621250e-01,6.85648849e-01,7.44136066e-01,6.39493488e+01,1.06723726e-01,6.35508848e+01,1.34829374e-01,1147738,3.00000000e-04
8,241.450130,6.64890780e-01,7.29865568e-01,6.46084438e-01,7.11739664e-01,6.08290021e+01,1.03596396e-01,5.81905788e+01,7.98469555e-02,1147738,3.00000000e-04
9,241.916113,6.60365301e-01,7.25022221e-01,6.36525082e-01,6.94622538e-01,5.99230589e+01,9.23336326e-02,5.56530590e+01,9.90094018e-02,1147738,3.00000000e-04
10,240.689545,6.43485117e-01,7.03724477e-01,6.30272446e-01,6.90480506e-01,5.67611973e+01,8.66243674e-02,5.59846155e+01,8.84793839e-02,1147738,3.00000000e-04
11,244.563853,6.36534869e-01,6.96517967e-01,6.23796318e-01,6.79999983e-01,5.55623694e+01,7.91716223e-02,5.35399097e+01,8.23582405e-02,1147738,3.00000000e-04
12,240.775194,6.40182362e-01,7.02606572e-01,6.37119701e-01,6.95290911e-01,5.66245501e+01,6.69526734e-02,5.58368607e+01,7.60840565e-02,1147738,3.00000000e-04
13,243.166492,6.30655622e-01,6.89246992e-01,6.04155741e-01,6.59005096e-01,5.45195967e+01,6.30176402e-02,5.06734299e+01,5.88205674e-02,1147738,3.00000000e-04
14,235.437946,6.26789256e-01,6.84719284e-01,6.05828724e-01,6.56749167e-01,5.37468745e+01,5.63480728e-02,4.99879707e+01,5.83346578e-02,1147738,3.00000000e-04
15,232.168185,6.36733160e-01,6.96431590e-01,6.38522089e-01,7.04617023e-01,5.56610167e+01,5.15965283e-02,5.82471968e+01,4.28021763e-02,1147738,3.00000000e-04
16,231.954794,6.28252549e-01,6.87076880e-01,6.10974003e-01,6.60303979e-01,5.42161267e+01,4.84981772e-02,5.09256918e+01,5.82706913e-02,1147738,3.00000000e-04
17,234.852830,6.28631254e-01,6.87274505e-01,6.08264896e-01,6.64235518e-01,5.42973709e+01,4.67840337e-02,5.15927164e+01,4.63590129e-02,1147738,3.00000000e-04
18,241.599362,6.17666977e-01,6.74515378e-01,5.93160250e-01,6.45083380e-01,5.23442109e+01,4.36217241e-02,4.84664106e+01,4.54056258e-02,1147738,3.00000000e-04
19,233.771946,6.14367352e-01,6.70396357e-01,6.07454735e-01,6.65768590e-01,5.17305009e+01,4.40614273e-02,5.19765713e+01,4.09304702e-02,1147738,3.00000000e-04
20,234.709383,6.11137978e-01,6.66810600e-01,6.11134960e-01,6.70380318e-01,5.12346287e+01,4.40287563e-02,5.25727613e+01,3.89297703e-02,1147738,3.00000000e-04
21,235.826578,6.10434956e-01,6.64995828e-01,6.30014627e-01,6.98605969e-01,5.08893369e+01,4.40965666e-02,5.77668825e+01,3.58299233e-02,1147738,3.00000000e-04
22,243.036425,6.09609552e-01,6.64751850e-01,6.15280767e-01,6.69131567e-01,5.08608231e+01,4.35631964e-02,5.25215199e+01,5.66866311e-02,1147738,3.00000000e-04
23,235.473292,6.08255406e-01,6.63776538e-01,6.12260958e-01,6.74555812e-01,5.07399950e+01,4.40554078e-02,5.41860048e+01,4.43826017e-02,1147738,3.00000000e-04
24,235.845807,6.07730816e-01,6.63362735e-01,5.87675737e-01,6.42082016e-01,5.07668752e+01,4.33674208e-02,4.81860069e+01,3.81347634e-02,1147738,3.00000000e-04
25,238.681256,6.01843712e-01,6.56343568e-01,5.77876461e-01,6.29575908e-01,4.96839056e+01,4.40895567e-02,4.66209848e+01,4.37535049e-02,1147738,3.00000000e-04
26,236.603185,6.05402913e-01,6.59960619e-01,6.11283995e-01,6.66302683e-01,5.03521641e+01,4.49382111e-02,5.22258680e+01,5.36876082e-02,1147738,3.00000000e-04
27,236.037882,5.97573765e-01,6.50201723e-01,5.89244806e-01,6.45247929e-01,4.86831558e+01,4.42496131e-02,4.89462187e+01,3.88493009e-02,1147738,3.00000000e-04
28,238.014457,5.90934190e-01,6.43028802e-01,6.00801163e-01,6.57255816e-01,4.76682376e+01,4.63468363e-02,4.99353804e+01,4.57690707e-02,1147738,3.00000000e-04
29,241.610240,5.88863969e-01,6.40657556e-01,5.77641754e-01,6.28101232e-01,4.73736647e+01,4.49734717e-02,4.63304365e+01,4.94563127e-02,1147738,3.00000000e-04
30,239.709068,5.88813182e-01,6.40793523e-01,6.10010998e-01,6.72310314e-01,4.72245208e+01,4.50989037e-02,5.34074774e+01,4.32144186e-02,1147738,3.00000000e-04
31,242.030803,5.89076279e-01,6.40722819e-01,5.83701056e-01,6.38032427e-01,4.74403195e+01,4.67915963e-02,4.79114433e+01,5.05137886e-02,1147738,3.00000000e-04
32,243.859663,5.84989582e-01,6.36014116e-01,5.81783371e-01,6.30555959e-01,4.66893125e+01,4.71977928e-02,4.62980930e+01,5.48826528e-02,1147738,3.00000000e-04
33,241.505912,5.83687113e-01,6.34062004e-01,5.78983486e-01,6.28372478e-01,4.63264138e+01,4.67061166e-02,4.59259195e+01,5.01921697e-02,1147738,3.00000000e-04
34,249.564210,5.83711935e-01,6.34905991e-01,5.78120182e-01,6.32411230e-01,4.65121762e+01,4.63878768e-02,4.71306713e+01,4.68827806e-02,1147738,3.00000000e-04
35,234.547762,5.81038430e-01,6.31315032e-01,5.77777346e-01,6.29163148e-01,4.60091546e+01,4.65337992e-02,4.60898853e+01,4.39584343e-02,1147738,3.00000000e-04
36,232.769290,5.86677259e-01,6.38309846e-01,5.79217598e-01,6.31181602e-01,4.70167457e+01,4.74946123e-02,4.63911001e+01,4.95388766e-02,1147738,3.00000000e-04
37,240.411491,5.83921643e-01,6.35034210e-01,5.84159229e-01,6.40282304e-01,4.65755260e+01,4.71265509e-02,4.83420034e+01,4.79630569e-02,1147738,3.00000000e-04
38,248.620708,5.89533657e-01,6.42102122e-01,6.00770311e-01,6.61807823e-01,4.75764792e+01,4.64736148e-02,5.22027449e+01,3.82625681e-02,1147738,3.00000000e-04
39,247.083215,5.78095298e-01,6.27966390e-01,5.73318806e-01,6.25640173e-01,4.54696868e+01,4.66487260e-02,4.60736483e+01,4.51851310e-02,1147738,3.00000000e-04
40,249.881846,5.82549891e-01,6.33216154e-01,5.78310204e-01,6.30392783e-01,4.63941312e+01,4.76224890e-02,4.62911709e+01,3.57579491e-02,1147738,3.00000000e-04
41,239.797991,5.82383429e-01,6.31767100e-01,5.67104038e-01,6.16312251e-01,4.60390779e+01,4.77211461e-02,4.45705229e+01,5.04646967e-02,1147738,3.00000000e-04
42,245.875919,5.79990833e-01,6.29447630e-01,5.78235008e-01,6.32539022e-01,4.56778456e+01,4.57649919e-02,4.71663406e+01,4.44029826e-02,1147738,3.00000000e-04
43,224.878909,5.73719385e-01,6.22102351e-01,5.70548241e-01,6.20464838e-01,4.45271970e+01,4.71276815e-02,4.51691206e+01,5.16607018e-02,1147738,3.00000000e-04
44,207.196927,5.76433047e-01,6.25790753e-01,5.81645985e-01,6.38148637e-01,4.52093736e+01,4.74528034e-02,4.80136244e+01,4.66730146e-02,1147738,3.00000000e-04
45,204.465007,5.71348294e-01,6.19760599e-01,5.76457327e-01,6.24420226e-01,4.42373140e+01,4.61715326e-02,4.55497395e+01,5.63578826e-02,1147738,3.00000000e-04
46,205.337661,5.71801751e-01,6.20549036e-01,5.71728218e-01,6.19677668e-01,4.44603045e+01,4.55099397e-02,4.44251205e+01,5.05438675e-02,1147738,3.00000000e-04
47,207.476567,5.78664771e-01,6.28867894e-01,5.80095425e-01,6.35426228e-01,4.57089458e+01,4.71229033e-02,4.76818350e+01,3.88304140e-02,1147738,3.00000000e-04
48,206.023343,5.71404733e-01,6.20274597e-01,5.81867189e-01,6.37793527e-01,4.44149820e+01,4.67962491e-02,4.82383547e+01,3.83989766e-02,1147738,3.00000000e-04
49,208.384904,5.66732621e-01,6.14317424e-01,5.72158377e-01,6.20680833e-01,4.36934469e+01,4.63492357e-02,4.48496992e+01,5.72040930e-02,1147738,3.00000000e-04
50,208.336897,5.68889262e-01,6.16359100e-01,5.79866608e-01,6.29770248e-01,4.38193755e+01,4.61415405e-02,4.63868641e+01,5.58212042e-02,1147738,3.00000000e-04
51,208.127171,5.64153856e-01,6.11750290e-01,5.64438898e-01,6.13680251e-01,4.32716387e+01,4.65081485e-02,4.39861281e+01,4.57488133e-02,1147738,3.00000000e-04
52,208.235084,5.67718533e-01,6.15782983e-01,5.76235886e-01,6.26092815e-01,4.37391228e+01,4.75574456e-02,4.53921503e+01,5.02620429e-02,1147738,3.00000000e-04
53,206.213033,5.63386227e-01,6.09943011e-01,5.75905241e-01,6.28026946e-01,4.28548277e+01,4.75152254e-02,4.56855381e+01,4.64554691e-02,1147738,3.00000000e-04
54,204.592691,5.65349965e-01,6.12412826e-01,5.68216185e-01,6.19704912e-01,4.32674110e+01,4.74274649e-02,4.51121653e+01,4.46784776e-02,1147738,3.00000000e-04
55,205.245400,5.71956467e-01,6.20595246e-01,5.62815948e-01,6.10307825e-01,4.44345974e+01,4.62569515e-02,4.37918694e+01,5.31087647e-02,1147738,3.00000000e-04
56,205.742391,5.59725957e-01,6.06035067e-01,5.73255648e-01,6.25264053e-01,4.24010241e+01,4.42356982e-02,4.54996544e+01,4.55158420e-02,1147738,3.00000000e-04
57,205.940538,5.60672342e-01,6.07662182e-01,5.86662251e-01,6.40902548e-01,4.27759574e+01,4.59282172e-02,4.77601570e+01,5.27631852e-02,1147738,3.00000000e-04
58,205.287405,5.65378719e-01,6.12811090e-01,5.74734875e-01,6.25865409e-01,4.32980300e+01,4.81311201e-02,4.62619764e+01,5.24632610e-02,1147738,3.00000000e-04
59,204.099060,5.64344363e-01,6.11671158e-01,5.80381613e-01,6.33748667e-01,4.32521209e+01,4.74413432e-02,4.65291922e+01,4.40931624e-02,1147738,3.00000000e-04
60,208.902860,5.58937151e-01,6.05377950e-01,5.69558405e-01,6.22357149e-01,4.23324455e+01,4.57817348e-02,4.52905190e+01,4.13376607e-02,1147738,3.00000000e-04
61,207.460370,5.57755032e-01,6.03626462e-01,5.65912245e-01,6.17543156e-01,4.21550550e+01,4.65979044e-02,4.48914442e+01,4.21976915e-02,1147738,3.00000000e-04
62,205.550113,5.56472321e-01,6.02244838e-01,5.64985979e-01,6.15437310e-01,4.19573296e+01,4.50980512e-02,4.43581711e+01,4.53543298e-02,1147738,3.00000000e-04
63,207.033267,5.62353586e-01,6.09389916e-01,5.78568895e-01,6.32170818e-01,4.29045875e+01,4.58123214e-02,4.64585354e+01,4.75509095e-02,1147738,3.00000000e-04
64,208.176406,5.58349228e-01,6.04418027e-01,5.86792109e-01,6.39149773e-01,4.22167001e+01,4.57193931e-02,4.80946583e+01,5.65055868e-02,1147738,3.00000000e-04
65,208.623475,5.57937085e-01,6.03514225e-01,5.54436878e-01,6.00743341e-01,4.20368833e+01,4.51518417e-02,4.20376516e+01,4.44127543e-02,1147738,3.00000000e-04
66,208.480187,5.55754739e-01,6.01455729e-01,5.53891333e-01,6.00943720e-01,4.18247837e+01,4.53994157e-02,4.26471216e+01,5.13234770e-02,1147738,3.00000000e-04
67,208.892409,5.53427771e-01,5.98395905e-01,5.61385502e-01,6.12366879e-01,4.13554601e+01,4.68675669e-02,4.42720803e+01,4.82236756e-02,1147738,3.00000000e-04
68,207.348759,5.56959180e-01,6.02724854e-01,5.46029066e-01,5.92632616e-01,4.18984272e+01,4.52608166e-02,4.11137527e+01,4.23007534e-02,1147738,3.00000000e-04
69,205.864890,5.51009798e-01,5.95976568e-01,5.57670378e-01,6.06337297e-01,4.10913808e+01,4.45751174e-02,4.32971289e+01,4.64995231e-02,1147738,3.00000000e-04
70,207.398960,5.53282306e-01,5.98222096e-01,5.54993299e-01,6.01877878e-01,4.12677053e+01,4.68213860e-02,4.22795316e+01,4.99082728e-02,1147738,3.00000000e-04
71,207.656282,5.53425502e-01,5.98605295e-01,5.45170908e-01,5.90241868e-01,4.13908072e+01,4.57909277e-02,4.04575020e+01,4.41573246e-02,1147738,3.00000000e-04
