step,mse
0,3.17035951e-02
1,8.59963521e-02
2,1.33500263e-01
3,1.70817763e-01
4,2.08847910e-01
5,2.57207513e-01
6,3.20410460e-01
7,3.86371344e-01
8,4.45567012e-01
9,5.02645671e-01
10,5.38984418e-01
11,5.52323163e-01
12,5.65371811e-01
13,5.91865361e-01
14,6.11987889e-01
15,6.32043064e-01
16,6.60468519e-01
17,6.90437317e-01
18,7.48561621e-01
19,8.31396341e-01
20,9.13435996e-01
21,9.83379543e-01
22,1.02762294e+00
23,1.05557775e+00
24,1.08773577e+00
25,1.13332868e+00
26,1.20364964e+00
27,1.29813445e+00
28,1.38787878e+00
29,1.45747685e+00
30,1.52007234e+00
31,1.58817935e+00
32,1.65636981e+00
33,1.73354936e+00
34,1.81171405e+00
35,1.90448236e+00
36,2.01187849e+00
37,2.13946056e+00
38,2.28672862e+00
39,2.44227862e+00
