step,mse
0,6.07338407e-05
1,1.09372399e-04
2,1.33143563e-04
3,1.41394004e-04
4,1.39710071e-04
5,1.34410380e-04
6,1.30900138e-04
7,1.31221168e-04
8,1.35181690e-04
9,1.42088917e-04
10,1.50821303e-04
11,1.58609022e-04
12,1.64040292e-04
13,1.66563594e-04
14,1.66644197e-04
15,1.64806755e-04
16,1.62016455e-04
17,1.58959650e-04
18,1.56285576e-04
19,1.54070091e-04
20,1.52413224e-04
21,1.51490516e-04
22,1.51112225e-04
23,1.51401371e-04
24,1.52546869e-04
25,1.54769965e-04
26,1.57848001e-04
27,1.61858014e-04
28,1.66630576e-04
29,1.71942826e-04
30,1.77820941e-04
31,1.84374527e-04
32,1.91753221e-04
33,2.00131195e-04
34,2.09998543e-04
35,2.21770926e-04
36,2.36256223e-04
37,2.54281767e-04
38,2.76636420e-04
39,3.04174522e-04
