epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,params,lr
0,386.636368,7.06239148e-01,7.06625800e-01,9.74828186e-02,9.79775238e-02,2.40642412e+01,2.09030402e-01,4.49572991e-01,5.49345629e-01,1147738,5.00000000e-05
1,391.223979,8.73704681e-02,8.77538298e-02,6.21279955e-02,6.26284584e-02,3.68343560e-01,1.32831136e-01,1.76644067e-01,2.45766902e-03,1147738,5.00000000e-05
2,390.798790,5.52487786e-02,5.58211145e-02,5.34966805e-02,5.40473667e-02,1.37689408e-01,1.84171526e-03,1.27941942e-01,1.63046517e-03,1147738,5.00000000e-05
3,389.456270,5.15911917e-02,5.21176741e-02,4.99618196e-02,5.04793884e-02,1.19810033e-01,1.38814364e-03,1.12689679e-01,1.26576418e-03,1147738,5.00000000e-05
4,391.856528,4.87877711e-02,4.92725056e-02,4.85478241e-02,4.89738977e-02,1.06801085e-01,1.07470346e-03,1.06410084e-01,9.80929304e-04,1147738,5.00000000e-05
5,393.469967,4.81347329e-02,4.85485449e-02,4.68429549e-02,4.71968228e-02,1.03870890e-01,8.72218458e-04,9.91069660e-02,8.15018152e-04,1147738,5.00000000e-05
6,392.188655,4.59472154e-02,4.63272459e-02,4.52281289e-02,4.56086044e-02,9.41430404e-02,7.26831075e-04,9.04948659e-02,6.88444732e-04,1147738,5.00000000e-05
7,393.463739,4.50209857e-02,4.54007837e-02,4.49036112e-02,4.53161360e-02,9.05368624e-02,6.21304030e-04,8.94707326e-02,5.82138454e-04,1147738,5.00000000e-05
8,392.350322,4.40023711e-02,4.43756376e-02,4.41447058e-02,4.44944929e-02,8.63251902e-02,5.46655007e-04,8.59699871e-02,5.35850869e-04,1147738,5.00000000e-05
9,391.907917,4.30839306e-02,4.34649955e-02,4.13830658e-02,4.17248660e-02,8.30407085e-02,4.93392560e-04,7.62534294e-02,4.84648801e-04,1147738,5.00000000e-05
10,392.299111,4.14157693e-02,4.17920270e-02,3.96699140e-02,4.00399689e-02,7.66776076e-02,4.58509365e-04,7.02557204e-02,4.55109529e-04,1147738,5.00000000e-05
11,392.472392,4.04474259e-02,4.08441539e-02,4.26872777e-02,4.33487797e-02,7.34278549e-02,4.42207661e-04,8.17926776e-02,4.59579844e-04,1147738,5.00000000e-05
12,391.838516,3.86094200e-02,3.90361425e-02,3.71460334e-02,3.76560043e-02,6.70012203e-02,4.32052853e-04,6.18474467e-02,4.60607737e-04,1147738,5.00000000e-05
13,392.161071,3.38467983e-02,3.43548546e-02,2.87132016e-02,2.91631543e-02,5.24259282e-02,4.59091514e-04,3.75587682e-02,5.20958814e-04,1147738,5.00000000e-05
14,391.135303,2.95384367e-02,3.01618524e-02,2.76230342e-02,2.81546339e-02,4.08626912e-02,5.00674150e-04,3.50990796e-02,5.45675657e-04,1147738,5.00000000e-05
15,391.758255,2.71483256e-02,2.77424380e-02,2.48838567e-02,2.54093228e-02,3.48327674e-02,5.11645954e-04,2.89893555e-02,4.89552082e-04,1147738,5.00000000e-05
16,393.621147,2.65736645e-02,2.71798307e-02,2.71203145e-02,2.77877712e-02,3.37933051e-02,5.10438854e-04,3.58006834e-02,5.51654599e-04,1147738,5.00000000e-05
17,391.916753,2.50966717e-02,2.56740983e-02,2.45435530e-02,2.50433755e-02,2.99650942e-02,5.11784768e-04,2.90242595e-02,5.34597083e-04,1147738,5.00000000e-05
18,390.387354,2.56991252e-02,2.62871563e-02,2.37137110e-02,2.41612296e-02,3.18821984e-02,5.14374289e-04,2.60307388e-02,4.97410712e-04,1147738,5.00000000e-05
19,392.695974,2.55872715e-02,2.61525057e-02,2.28643365e-02,2.33039061e-02,3.17740899e-02,5.06340254e-04,2.44190212e-02,5.39235608e-04,1147738,5.00000000e-05
20,391.850242,2.35065834e-02,2.40058443e-02,2.28334536e-02,2.33342562e-02,2.61495161e-02,4.96383141e-04,2.56540023e-02,4.83418119e-04,1147738,5.00000000e-05
21,390.130771,2.37169215e-02,2.42091054e-02,2.36108763e-02,2.41014684e-02,2.72236038e-02,4.95631737e-04,2.64864272e-02,5.18724478e-04,1147738,5.00000000e-05
22,392.006584,2.37084106e-02,2.42251454e-02,2.26433015e-02,2.30876798e-02,2.67963532e-02,4.90871508e-04,2.41530323e-02,4.82006640e-04,1147738,5.00000000e-05
23,391.112532,2.36407880e-02,2.41643579e-02,2.40677700e-02,2.46112312e-02,2.65392820e-02,4.88574817e-04,2.70869855e-02,4.92802890e-04,1147738,5.00000000e-05
24,391.906746,2.34238676e-02,2.39239522e-02,2.30276607e-02,2.34978536e-02,2.62174584e-02,4.86901262e-04,2.46773802e-02,5.41617854e-04,1147738,5.00000000e-05
25,390.877360,2.27342314e-02,2.32027408e-02,2.14142635e-02,2.17982729e-02,2.45263115e-02,4.78096383e-04,2.13266694e-02,4.71920415e-04,1147738,5.00000000e-05
26,390.873950,2.43284462e-02,2.48812260e-02,2.49320762e-02,2.52967797e-02,2.89827167e-02,4.82440286e-04,2.86214265e-02,4.66637104e-04,1147738,5.00000000e-05
27,392.351852,2.34221165e-02,2.39458279e-02,2.32276446e-02,2.37762550e-02,2.62596141e-02,4.74780048e-04,2.64004353e-02,4.92844911e-04,1147738,5.00000000e-05
28,391.480196,2.32327389e-02,2.37190003e-02,2.45162420e-02,2.51692234e-02,2.62059193e-02,4.76756005e-04,2.99193597e-02,4.66628874e-04,1147738,5.00000000e-05
29,392.319351,2.30404003e-02,2.35457877e-02,2.18678935e-02,2.22200191e-02,2.53628763e-02,4.72151039e-04,2.18856118e-02,4.79889619e-04,1147738,5.00000000e-05
30,393.679717,2.30843349e-02,2.36103413e-02,2.55740658e-02,2.61900726e-02,2.55878167e-02,4.62747501e-04,3.32955712e-02,4.17769944e-04,1147738,5.00000000e-05
31,393.698557,2.29548301e-02,2.34586369e-02,2.31417714e-02,2.36971440e-02,2.54451575e-02,4.67723853e-04,2.70132224e-02,4.76758786e-04,1147738,5.00000000e-05
32,390.052093,2.23429644e-02,2.28037574e-02,2.32692895e-02,2.37600873e-02,2.38227531e-02,4.61088091e-04,2.50701047e-02,4.73238047e-04,1147738,5.00000000e-05
33,392.189347,2.31605963e-02,2.37004345e-02,2.06078675e-02,2.10322062e-02,2.58623091e-02,4.60636644e-04,2.04077605e-02,4.70550214e-04,1147738,5.00000000e-05
34,391.940624,2.28951641e-02,2.34092423e-02,2.15630692e-02,2.19688078e-02,2.50115535e-02,4.55446113e-04,2.14242071e-02,4.76825248e-04,1147738,5.00000000e-05
35,391.020749,2.27794623e-02,2.32763103e-02,2.08280966e-02,2.11685996e-02,2.51325172e-02,4.56873799e-04,1.98728877e-02,4.79967099e-04,1147738,5.00000000e-05
36,392.991455,2.14632240e-02,2.18963372e-02,2.02760046e-02,2.06584930e-02,2.19551732e-02,4.56094018e-04,1.96872207e-02,4.50905496e-04,1147738,5.00000000e-05
37,394.524339,2.20600436e-02,2.25399214e-02,2.00556422e-02,2.04395027e-02,2.36275934e-02,4.54023143e-04,1.88267064e-02,4.55578532e-04,1147738,5.00000000e-05
38,391.784567,2.38812690e-02,2.45068654e-02,2.07935075e-02,2.12175677e-02,2.81275855e-02,4.50803031e-04,2.08487595e-02,4.34325780e-04,1147738,5.00000000e-05
39,393.345874,2.23667169e-02,2.28498943e-02,3.13424346e-02,3.23838265e-02,2.41428425e-02,4.51482323e-04,5.07021016e-02,4.67453160e-04,1147738,5.00000000e-05
40,392.284186,2.21068464e-02,2.26075845e-02,2.75065485e-02,2.83174489e-02,2.35050450e-02,4.54792974e-04,3.87353773e-02,5.05229332e-04,1147738,5.00000000e-05
41,390.699553,2.27799322e-02,2.32828349e-02,2.14682605e-02,2.19766025e-02,2.51251201e-02,4.54775458e-04,2.17164476e-02,4.66148723e-04,1147738,5.00000000e-05
42,392.334678,2.28230763e-02,2.33543176e-02,2.41877459e-02,2.48270886e-02,2.52047420e-02,4.47852450e-04,2.71097228e-02,4.57903495e-04,1147738,5.00000000e-05
43,392.138896,2.37134746e-02,2.43026832e-02,2.13219357e-02,2.16865969e-02,2.76258931e-02,4.52234312e-04,2.07981103e-02,4.63455816e-04,1147738,5.00000000e-05
