epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,1.110720,1,2.36616637e-01,2.48327183e-02,2.95678009e-01,,,1.00000000e-03,444025
1,0.257834,1,3.06928914e-02,4.83136403e-03,1.32104616e-01,,,1.00000000e-03,444025
2,0.282975,1,1.14369127e-02,1.93110191e-03,7.75460546e-02,,,1.00000000e-03,444025
3,0.261947,1,6.16785523e-03,1.08970468e-03,6.06549051e-02,,,1.00000000e-03,444025
4,0.266216,1,3.49626089e-03,6.31013021e-04,4.24680192e-02,,,1.00000000e-03,444025
5,0.248294,1,2.32659314e-03,4.23760309e-04,3.51567687e-02,,,1.00000000e-03,444025
6,0.248711,1,1.70494554e-03,3.14511091e-04,3.21257360e-02,,,1.00000000e-03,444025
7,0.252726,1,1.32190193e-03,2.46237555e-04,2.84625629e-02,,,1.00000000e-03,444025
8,0.218913,1,1.06085027e-03,1.98874751e-04,2.63557599e-02,,,1.00000000e-03,444025
9,0.215358,1,8.94244612e-04,1.67962508e-04,2.44278470e-02,,,1.00000000e-03,444025
10,0.235269,1,7.77875134e-04,1.46697785e-04,2.33069324e-02,,,1.00000000e-03,444025
11,0.241551,1,7.23148996e-04,1.37094330e-04,2.32470063e-02,,,1.00000000e-03,444025
12,0.246988,1,6.00624849e-04,1.13098966e-04,2.11913794e-02,,,1.00000000e-03,444025
13,0.241668,1,5.73186412e-04,1.08639543e-04,2.12089422e-02,,,1.00000000e-03,444025
14,0.258902,1,4.96119073e-04,9.38476988e-05,1.96007473e-02,,,1.00000000e-03,444025
15,0.265367,1,5.22840690e-04,9.96540189e-05,2.07851820e-02,,,1.00000000e-03,444025
16,0.245089,1,4.62950428e-04,8.82781706e-05,1.94968852e-02,,,1.00000000e-03,444025
17,0.241896,1,4.45573954e-04,8.51693181e-05,1.95839126e-02,,,1.00000000e-03,444025
18,0.228290,1,4.07904069e-04,7.80075357e-05,1.85044218e-02,,,1.00000000e-03,444025
19,0.266082,1,4.11431241e-04,7.89831967e-05,1.87660197e-02,,,1.00000000e-03,444025
20,0.292515,1,3.51768839e-04,6.73301222e-05,1.74667364e-02,,,1.00000000e-03,444025
21,0.298590,1,4.56790968e-04,8.84305837e-05,2.09991609e-02,,,1.00000000e-03,444025
22,0.307001,1,3.91143301e-04,7.55045376e-05,1.90422643e-02,,,1.00000000e-03,444025
23,0.302769,1,3.63249974e-04,7.03265329e-05,1.79628553e-02,,,1.00000000e-03,444025
24,0.295078,1,3.73557866e-04,7.25955747e-05,1.86175476e-02,,,1.00000000e-03,444025
