epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,24.571458,1,1.23161977e-01,1.18365991e-02,9.47044571e-02,1.05816880e+00,2.75214231e+00,5.00000000e-04,948353
1,26.892235,1,2.22629187e-02,3.45801173e-03,5.20620156e-02,9.58608589e-01,2.26835173e+00,5.00000000e-04,948353
2,26.119837,1,1.15960131e-02,1.86677836e-03,3.84286337e-02,9.19226980e-01,2.09512796e+00,5.00000000e-04,948353
3,29.024615,1,8.75236615e-03,1.37043893e-03,3.30411813e-02,9.63608894e-01,2.29699236e+00,5.00000000e-04,948353
4,17.427872,1,7.06673065e-03,1.10287003e-03,2.96170844e-02,9.35207076e-01,2.17073281e+00,5.00000000e-04,948353
5,20.314677,1,6.18069506e-03,9.85041101e-04,2.80602997e-02,9.42508254e-01,2.20175661e+00,5.00000000e-04,948353
6,28.968004,1,5.25005078e-03,8.37594905e-04,2.57992332e-02,9.17361307e-01,2.08573722e+00,5.00000000e-04,948353
7,17.000937,1,4.84036211e-03,7.80016074e-04,2.49946483e-02,9.07806644e-01,2.04350400e+00,5.00000000e-04,948353
8,20.544997,1,4.64116281e-03,7.58537197e-04,2.47576399e-02,9.51242118e-01,2.24373220e+00,5.00000000e-04,948353
9,28.247159,1,4.20038598e-03,6.85174980e-04,2.34737291e-02,9.15570297e-01,2.08233624e+00,5.00000000e-04,948353
10,19.463779,1,4.02953094e-03,6.61516536e-04,2.31545680e-02,9.44018869e-01,2.20496845e+00,5.00000000e-04,948353
11,19.949420,1,3.83511364e-03,6.29953369e-04,2.25627993e-02,9.09350386e-01,2.05587302e+00,5.00000000e-04,948353
12,28.726511,1,3.74325998e-03,6.17057496e-04,2.22771579e-02,9.29656229e-01,2.14710667e+00,5.00000000e-04,948353
13,28.166983,1,3.58438604e-03,5.88746416e-04,2.18798888e-02,9.19077253e-01,2.10124806e+00,5.00000000e-04,948353
14,25.703249,1,3.60248353e-03,5.95279436e-04,2.20420000e-02,9.35168533e-01,2.17130069e+00,5.00000000e-04,948353
15,18.078976,1,3.51048306e-03,5.79188864e-04,2.17131887e-02,8.65255933e-01,1.86774485e+00,5.00000000e-04,948353
16,27.858346,1,3.34004716e-03,5.47181322e-04,2.10389863e-02,9.24447660e-01,2.12801006e+00,5.00000000e-04,948353
