step,mse
0,4.59683407e-03
1,1.28890416e-02
2,2.23423652e-02
3,3.28177065e-02
4,4.42304499e-02
5,5.66305667e-02
6,7.16119334e-02
7,9.02299657e-02
8,1.11815855e-01
9,1.38303742e-01
10,1.59736827e-01
11,1.79911956e-01
12,1.97221458e-01
13,2.13281497e-01
14,2.29442686e-01
15,2.45998383e-01
16,2.75050908e-01
17,3.14220876e-01
18,3.60839397e-01
19,4.30605620e-01
20,5.11765242e-01
21,5.70589840e-01
22,6.12923682e-01
23,6.45868659e-01
24,6.60036445e-01
25,6.71195269e-01
26,7.02294588e-01
27,7.50018597e-01
28,7.85476387e-01
29,8.26649845e-01
30,8.53761852e-01
31,8.77789319e-01
32,9.18140054e-01
33,9.67348397e-01
34,1.02821100e+00
35,1.11614084e+00
36,1.22434783e+00
37,1.34823191e+00
38,1.48274922e+00
39,1.61691391e+00
