epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,37.207783,1,3.91413593e-01,6.74847084e-05,7.44583027e-03,,,5.00000000e-05,948353
1,35.766128,1,4.33008523e-02,4.51231234e-05,6.36589263e-03,,,5.00000000e-05,948353
2,31.242183,1,2.18495599e-03,2.73568323e-05,4.97300159e-03,,,5.00000000e-05,948353
3,30.207671,1,8.94587269e-04,2.12337078e-05,4.38709002e-03,,,5.00000000e-05,948353
4,35.943502,1,6.29447768e-04,1.86161828e-05,4.10724698e-03,,,5.00000000e-05,948353
5,35.543646,1,5.59030702e-04,1.69516383e-05,3.91755801e-03,,,5.00000000e-05,948353
6,26.462143,1,5.21602259e-04,1.57915810e-05,3.77952134e-03,,,5.00000000e-05,948353
7,33.481446,1,4.95796118e-04,1.49557895e-05,3.67679840e-03,,,5.00000000e-05,948353
8,36.065077,1,4.75266832e-04,1.43333915e-05,3.59878192e-03,,,5.00000000e-05,948353
9,30.494205,1,4.56974090e-04,1.37456454e-05,3.52324503e-03,,,5.00000000e-05,948353
10,29.762744,1,4.40797816e-04,1.33509617e-05,3.47212300e-03,,,5.00000000e-05,948353
11,37.578140,1,4.25139347e-04,1.29220537e-05,3.41534597e-03,,,5.00000000e-05,948353
12,27.608547,1,4.10463080e-04,1.25680044e-05,3.36799761e-03,,,5.00000000e-05,948353
13,29.546498,1,3.97242382e-04,1.24095889e-05,3.34674888e-03,,,5.00000000e-05,948353
14,37.090331,1,3.82766541e-04,1.19131668e-05,3.27889092e-03,,,5.00000000e-05,948353
15,28.532018,1,3.70211894e-04,1.17241402e-05,3.25316430e-03,,,5.00000000e-05,948353
16,23.686229,1,3.57319800e-04,1.14322037e-05,3.21245275e-03,,,5.00000000e-05,948353
17,32.617344,1,3.45308657e-04,1.12223630e-05,3.18266966e-03,,,5.00000000e-05,948353
18,30.331849,1,3.33054581e-04,1.09552508e-05,3.14470639e-03,,,5.00000000e-05,948353
19,29.156327,1,3.21257045e-04,1.07493563e-05,3.11490895e-03,,,5.00000000e-05,948353
20,31.956587,1,3.09670111e-04,1.05659203e-05,3.08862155e-03,,,5.00000000e-05,948353
21,30.091737,1,2.97959666e-04,1.03475649e-05,3.05620295e-03,,,5.00000000e-05,948353
22,33.108408,1,2.86353418e-04,1.01435013e-05,3.02631609e-03,,,5.00000000e-05,948353
23,26.109532,1,2.75026671e-04,9.99877679e-06,3.00458364e-03,,,5.00000000e-05,948353
24,31.391412,1,2.64105078e-04,9.90765174e-06,2.99139874e-03,,,5.00000000e-05,948353
25,24.921551,1,2.52468511e-04,9.67274237e-06,2.95561420e-03,,,5.00000000e-05,948353
26,23.852251,1,2.42178165e-04,9.62974241e-06,2.94941112e-03,,,5.00000000e-05,948353
27,30.000823,1,2.33120678e-04,9.75524978e-06,2.96728703e-03,,,5.00000000e-05,948353
28,28.294390,1,2.21572054e-04,9.31802373e-06,2.90117178e-03,,,5.00000000e-05,948353
29,25.201105,1,2.12286514e-04,9.19530802e-06,2.88194503e-03,,,5.00000000e-05,948353
30,26.080410,1,2.03850958e-04,9.13542269e-06,2.87280028e-03,,,5.00000000e-05,948353
31,22.318508,1,1.96101068e-04,9.06967990e-06,2.86262350e-03,,,5.00000000e-05,948353
32,24.771769,1,1.88835768e-04,8.94608647e-06,2.84315247e-03,,,5.00000000e-05,948353
33,23.135085,1,1.82514787e-04,8.84422136e-06,2.82699544e-03,,,5.00000000e-05,948353
34,22.151928,1,1.77119819e-04,8.78554729e-06,2.81771692e-03,,,5.00000000e-05,948353
35,24.734461,1,1.72542392e-04,8.75328650e-06,2.81297491e-03,,,5.00000000e-05,948353
36,21.999711,1,1.68420991e-04,8.67754245e-06,2.80102291e-03,,,5.00000000e-05,948353
37,23.470327,1,1.64887553e-04,8.61024816e-06,2.79002557e-03,,,5.00000000e-05,948353
38,21.121540,1,1.61568146e-04,8.50915998e-06,2.77371253e-03,,,5.00000000e-05,948353
39,21.115981,1,1.58818174e-04,8.40484955e-06,2.75658842e-03,,,5.00000000e-05,948353
40,21.947135,1,1.56617778e-04,8.36389799e-06,2.74981504e-03,,,5.00000000e-05,948353
