step,mse
0,1.63856021e-05
1,4.49209147e-05
2,7.38521921e-05
3,1.00058431e-04
4,1.22422134e-04
5,1.41132361e-04
6,1.56751092e-04
7,1.69599763e-04
8,1.79686976e-04
9,1.86989157e-04
10,1.91287181e-04
11,1.92571504e-04
12,1.91455823e-04
13,1.88110062e-04
14,1.83214041e-04
15,1.77344555e-04
16,1.71311709e-04
17,1.65530815e-04
18,1.60632073e-04
19,1.56796130e-04
20,1.54081790e-04
21,1.52513225e-04
22,1.51791843e-04
23,1.51742672e-04
24,1.52027438e-04
25,1.52484601e-04
26,1.52797526e-04
27,1.53059518e-04
28,1.53323344e-04
29,1.53795569e-04
30,1.54992857e-04
31,1.57482515e-04
32,1.61988704e-04
33,1.69338047e-04
34,1.80540650e-04
35,1.96421373e-04
36,2.18044966e-04
37,2.46416021e-04
38,2.82463036e-04
39,3.27240152e-04
