step,mse
0,1.42464327e-04
1,6.51499256e-04
2,1.79893035e-03
3,4.10656910e-03
4,8.45969841e-03
5,1.62374862e-02
6,2.94053908e-02
7,5.05264960e-02
8,8.26971456e-02
9,1.29433304e-01
10,1.94571957e-01
11,2.81899691e-01
12,3.94770026e-01
13,5.35771251e-01
14,7.06318378e-01
15,9.05768454e-01
16,1.13046741e+00
17,1.37396085e+00
18,1.62824094e+00
19,1.88454771e+00
20,2.13536644e+00
21,2.37670445e+00
22,2.60711050e+00
23,2.82472801e+00
24,3.02555108e+00
25,3.20332456e+00
26,3.34873390e+00
27,3.45221138e+00
28,3.51207399e+00
29,3.53849888e+00
30,3.54767036e+00
31,3.55257607e+00
32,3.55361509e+00
33,3.53560090e+00
34,3.49249506e+00
35,3.44140911e+00
36,3.41150594e+00
37,3.42811179e+00
38,3.50245190e+00
39,3.63246894e+00
