step,mse
0,4.91482811e-03
1,1.77175067e-02
2,4.24959436e-02
3,9.08498168e-02
4,1.82461590e-01
5,3.46965075e-01
6,6.32298112e-01
7,1.05089736e+00
8,1.56923294e+00
9,2.17271018e+00
10,2.79667234e+00
11,3.43275523e+00
12,4.08154964e+00
13,4.69282436e+00
14,5.22841549e+00
15,5.56552124e+00
16,5.66604900e+00
17,5.68440437e+00
18,5.69199276e+00
19,5.56377888e+00
20,5.41249561e+00
21,5.43839836e+00
22,5.48841143e+00
23,5.53218555e+00
24,5.59181643e+00
25,5.72075462e+00
26,5.97761488e+00
27,6.26411009e+00
28,6.53765678e+00
29,6.75323343e+00
30,6.93737745e+00
31,7.11643076e+00
32,7.27102709e+00
33,7.38811827e+00
34,7.49227524e+00
35,7.58452654e+00
36,7.67359686e+00
37,7.77107668e+00
38,7.91528893e+00
39,8.09942055e+00
