step,mse
0,5.96804784e-05
1,2.25952870e-04
2,4.70038212e-04
3,7.60601135e-04
4,1.07042759e-03
5,1.38328155e-03
6,1.69132021e-03
7,1.99071621e-03
8,2.28068745e-03
9,2.56121834e-03
10,2.83340481e-03
11,3.09952372e-03
12,3.36254388e-03
13,3.62439384e-03
14,3.88785568e-03
15,4.15479438e-03
16,4.42720670e-03
17,4.70644794e-03
18,4.99400543e-03
19,5.29059209e-03
20,5.59689291e-03
21,5.91339637e-03
22,6.23999769e-03
23,6.57673646e-03
24,6.92335563e-03
25,7.27957441e-03
26,7.64476182e-03
27,8.01882520e-03
28,8.40125047e-03
29,8.79164506e-03
30,9.18986835e-03
31,9.59563348e-03
32,1.00086164e-02
33,1.04285721e-02
34,1.08553078e-02
35,1.12881968e-02
36,1.17269745e-02
37,1.21710654e-02
38,1.26197096e-02
39,1.30722979e-02
