epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,1.059486,1,2.59879605e-01,2.73964314e-02,3.16781659e-01,1.45535288e-01,7.21028138e-03,1.00000000e-03,444025
1,0.218797,1,3.86845605e-02,6.02173834e-03,1.41141123e-01,1.10481863e-01,2.44248507e-03,1.00000000e-03,444025
2,0.254155,1,1.39802268e-02,2.43307585e-03,9.03817520e-02,6.72638369e-02,1.22398358e-03,1.00000000e-03,444025
3,0.266915,1,7.31535294e-03,1.32121860e-03,6.73706106e-02,5.51990640e-02,8.60058314e-04,1.00000000e-03,444025
4,0.215320,1,4.57993941e-03,8.36602909e-04,4.97353785e-02,4.20047665e-02,5.35748692e-04,1.00000000e-03,444025
5,0.213196,1,2.88852896e-03,5.29841878e-04,3.89778991e-02,3.91958809e-02,4.27193287e-04,1.00000000e-03,444025
6,0.213000,1,2.40720322e-03,4.51399192e-04,3.97595882e-02,3.38348556e-02,3.46721851e-04,1.00000000e-03,444025
7,0.212734,1,1.62545404e-03,3.04338192e-04,3.20581886e-02,3.20112002e-02,3.08699860e-04,1.00000000e-03,444025
8,0.213443,1,1.41896804e-03,2.68087209e-04,3.13731274e-02,2.82536346e-02,2.33737703e-04,1.00000000e-03,444025
9,0.241538,1,1.07445297e-03,2.02511076e-04,2.70050073e-02,2.79937005e-02,2.28055521e-04,1.00000000e-03,444025
10,0.236826,1,9.50808477e-04,1.80488814e-04,2.66183604e-02,2.89883518e-02,2.35984736e-04,1.00000000e-03,444025
11,0.219703,1,8.68569922e-04,1.65284232e-04,2.53531843e-02,2.82864773e-02,2.22694841e-04,1.00000000e-03,444025
12,0.211053,1,1.08510609e-03,2.09520192e-04,2.98646418e-02,2.62044942e-02,1.91247365e-04,1.00000000e-03,444025
13,0.210504,1,7.70987261e-04,1.47531658e-04,2.46365429e-02,2.39165080e-02,1.61438491e-04,1.00000000e-03,444025
14,0.206624,1,6.54373904e-04,1.25026790e-04,2.27389404e-02,2.31235087e-02,1.60748436e-04,1.00000000e-03,444025
15,0.213641,1,6.21084133e-04,1.18533973e-04,2.21796111e-02,2.42620027e-02,1.69522297e-04,1.00000000e-03,444025
16,0.271210,1,5.89517697e-04,1.13097959e-04,2.24247884e-02,2.45666760e-02,1.63105767e-04,1.00000000e-03,444025
17,0.189132,1,4.97484685e-04,9.52059211e-05,2.05802612e-02,2.13563061e-02,1.30481572e-04,1.00000000e-03,444025
18,0.247466,1,4.50057561e-04,8.59861208e-05,1.99883675e-02,2.27175939e-02,1.39828060e-04,1.00000000e-03,444025
19,0.196203,1,4.59173699e-04,8.82310460e-05,2.00824528e-02,2.12791914e-02,1.26561251e-04,1.00000000e-03,444025
20,0.178557,1,4.44335907e-04,8.55267374e-05,2.01916257e-02,2.11255246e-02,1.23646548e-04,1.00000000e-03,444025
21,0.179887,1,4.41129776e-04,8.50247181e-05,2.01245328e-02,2.18025982e-02,1.22622979e-04,1.00000000e-03,444025
22,0.175369,1,4.37135249e-04,8.45399834e-05,2.07528364e-02,1.94101405e-02,1.08923879e-04,1.00000000e-03,444025
23,0.175764,1,3.69538690e-04,7.12891823e-05,1.79498080e-02,2.18619484e-02,1.56127960e-04,1.00000000e-03,444025
24,0.175132,1,4.31338633e-04,8.37157833e-05,1.96909764e-02,1.96581942e-02,1.11954981e-04,1.00000000e-03,444025
