epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
0,8.412581,1,4.14562427e-01,7.56323271e-05,7.94547132e-03,7.27609092e-02,5.80717537e-03,5.00000000e-05,948353
1,8.143741,1,7.68147086e-02,5.52980477e-05,7.05584136e-03,5.92039144e-02,3.84915215e-03,5.00000000e-05,948353
2,7.424564,1,2.93656875e-03,3.73844973e-05,5.80440874e-03,5.23651269e-02,3.01729830e-03,5.00000000e-05,948353
3,7.330708,1,1.22522789e-03,3.00837322e-05,5.21211819e-03,5.27248175e-02,3.09096029e-03,5.00000000e-05,948353
4,7.133168,1,7.39082903e-04,2.54767952e-05,4.79561049e-03,5.08248304e-02,2.85481078e-03,5.00000000e-05,948353
5,7.094904,1,6.20753511e-04,2.28634019e-05,4.54264015e-03,5.09768385e-02,2.86568225e-03,5.00000000e-05,948353
6,6.999578,1,5.68993036e-04,2.08275859e-05,4.33412162e-03,5.10249496e-02,2.86289409e-03,5.00000000e-05,948353
7,7.058809,1,5.36051126e-04,1.93545159e-05,4.17728325e-03,5.17677443e-02,2.95686285e-03,5.00000000e-05,948353
8,7.205697,1,5.11150317e-04,1.81373947e-05,4.04289313e-03,5.19726916e-02,2.97955149e-03,5.00000000e-05,948353
9,7.114140,1,4.91098656e-04,1.72180766e-05,3.93866058e-03,5.02155478e-02,2.77889248e-03,5.00000000e-05,948353
10,7.067061,1,4.73630350e-04,1.64787931e-05,3.85274211e-03,5.06282684e-02,2.83124243e-03,5.00000000e-05,948353
11,7.101772,1,4.58185076e-04,1.59277748e-05,3.78745300e-03,4.99431972e-02,2.75573677e-03,5.00000000e-05,948353
12,7.395505,1,4.44071047e-04,1.55043397e-05,3.73682672e-03,4.86446571e-02,2.60296202e-03,5.00000000e-05,948353
13,7.270184,1,4.30783231e-04,1.51505316e-05,3.69407741e-03,6.89231029e-02,5.12244874e-03,5.00000000e-05,948353
14,7.345606,1,4.18092346e-04,1.48154239e-05,3.65285346e-03,4.80479503e-02,2.87978419e-03,5.00000000e-05,948353
15,7.236362,1,4.06117863e-04,1.45497936e-05,3.62015165e-03,6.53659710e-02,5.08826198e-03,5.00000000e-05,948353
16,7.389878,1,3.94548921e-04,1.43007639e-05,3.58916469e-03,5.75222601e-02,4.06630823e-03,5.00000000e-05,948353
17,7.177809,1,3.83193193e-04,1.40505760e-05,3.55743172e-03,5.11829546e-02,2.91900359e-03,5.00000000e-05,948353
18,7.447650,1,3.72212025e-04,1.38141151e-05,3.52754232e-03,4.21958539e-02,2.07651480e-03,5.00000000e-05,948353
19,7.368590,1,3.61489864e-04,1.35997287e-05,3.50013857e-03,4.50813256e-02,2.28352164e-03,5.00000000e-05,948353
20,7.272742,1,3.51011791e-04,1.33972807e-05,3.47423195e-03,8.95163697e-02,9.14719333e-03,5.00000000e-05,948353
21,7.268567,1,3.40807055e-04,1.32324243e-05,3.45295195e-03,4.92560048e-02,3.26857055e-03,5.00000000e-05,948353
22,7.315579,1,3.30344587e-04,1.30208055e-05,3.42518095e-03,8.37229705e-02,8.59982765e-03,5.00000000e-05,948353
23,7.386362,1,3.20535303e-04,1.29133171e-05,3.41104167e-03,1.31272340e-01,1.97874067e-02,5.00000000e-05,948353
24,7.222595,1,3.10228153e-04,1.27066892e-05,3.38382448e-03,6.29554757e-02,5.30035979e-03,5.00000000e-05,948353
25,7.250252,1,3.00106911e-04,1.25537762e-05,3.36348679e-03,1.11954945e-01,1.46751289e-02,5.00000000e-05,948353
26,7.197033,1,2.89931590e-04,1.23646463e-05,3.33777279e-03,8.86668563e-02,9.90583180e-03,5.00000000e-05,948353
27,7.304040,1,2.79855225e-04,1.22248973e-05,3.31893054e-03,5.64699204e-02,4.16383322e-03,5.00000000e-05,948353
28,7.515655,1,2.70102040e-04,1.20973738e-05,3.30176907e-03,7.28248873e-02,6.76194709e-03,5.00000000e-05,948353
29,7.334361,1,2.60541327e-04,1.20002115e-05,3.28854958e-03,1.32083619e-01,2.03172113e-02,5.00000000e-05,948353
30,7.195351,1,2.50833098e-04,1.18399664e-05,3.26648696e-03,6.13582666e-02,4.78229651e-03,5.00000000e-05,948353
31,7.310430,1,2.41678985e-04,1.17296612e-05,3.25142193e-03,6.10596624e-02,4.66822759e-03,5.00000000e-05,948353
32,7.361259,1,2.32722711e-04,1.15838140e-05,3.23119786e-03,7.06186897e-02,6.20756608e-03,5.00000000e-05,948353
33,7.274534,1,2.24469463e-04,1.14823286e-05,3.21702758e-03,7.49290347e-02,6.87078809e-03,5.00000000e-05,948353
34,7.276325,1,2.16936515e-04,1.13890471e-05,3.20368814e-03,5.97295393e-02,4.31262276e-03,5.00000000e-05,948353
35,7.375295,1,2.09857690e-04,1.13118494e-05,3.19310338e-03,1.36352277e-01,2.09130723e-02,5.00000000e-05,948353
36,7.352142,1,2.03157904e-04,1.11830641e-05,3.17473909e-03,1.44219621e-01,2.37788494e-02,5.00000000e-05,948353
37,7.354410,1,1.97151851e-04,1.10827762e-05,3.16065708e-03,6.10226056e-02,4.39416913e-03,5.00000000e-05,948353
38,7.384198,1,1.91896348e-04,1.10106981e-05,3.15034623e-03,6.19010405e-02,4.67440158e-03,5.00000000e-05,948353
39,7.474365,1,1.86839990e-04,1.08794462e-05,3.13149727e-03,8.37494856e-02,8.29823134e-03,5.00000000e-05,948353
40,7.469016,1,1.82597098e-04,1.08062266e-05,3.12087230e-03,9.25226253e-02,9.90067406e-03,5.00000000e-05,948353
41,7.682067,1,1.78834516e-04,1.06993201e-05,3.10545717e-03,1.28214099e-01,2.04477291e-02,5.00000000e-05,948353
42,7.159878,1,1.75456951e-04,1.06249611e-05,3.09470852e-03,6.11566097e-02,4.23300411e-03,5.00000000e-05,948353
43,7.217978,1,1.72432528e-04,1.05296985e-05,3.08092753e-03,1.12815155e-01,1.45959497e-02,5.00000000e-05,948353
44,7.138096,1,1.69855774e-04,1.04430327e-05,3.06810622e-03,2.07498556e-01,4.81417796e-02,5.00000000e-05,948353
45,7.263049,1,1.67400037e-04,1.03391685e-05,3.05282950e-03,1.72482883e-01,3.46851580e-02,5.00000000e-05,948353
46,6.991079,1,1.65560192e-04,1.02724851e-05,3.04290056e-03,2.36329515e-01,6.18256209e-02,5.00000000e-05,948353
47,7.070180,1,1.63444580e-04,1.01580679e-05,3.02611610e-03,6.40682533e-02,4.63729886e-03,5.00000000e-05,948353
48,7.057725,1,1.61914715e-04,1.00754527e-05,3.01367687e-03,9.48634183e-02,1.08156430e-02,5.00000000e-05,948353
49,7.053562,1,1.60642156e-04,1.00103466e-05,3.00408470e-03,1.68463016e-01,3.18421667e-02,5.00000000e-05,948353
50,19.352652,5,7.63009816e-04,1.33985460e-04,1.03341924e-02,3.38190401e-01,1.23182137e-01,5.00000000e-05,948353
51,19.114993,5,4.23447644e-04,6.47792112e-05,7.55537987e-03,2.71036426e-01,7.94746514e-02,5.00000000e-05,948353
52,19.362668,5,7.28825739e-04,1.24117625e-04,1.03747858e-02,2.96640549e-01,9.48313691e-02,5.00000000e-05,948353
53,19.221663,5,6.13575245e-04,9.93450881e-05,9.33643374e-03,1.75701802e-01,3.54784315e-02,5.00000000e-05,948353
54,19.751874,5,5.58867563e-04,8.62917145e-05,8.74416435e-03,1.16699390e-01,1.63684643e-02,5.00000000e-05,948353
55,20.417537,5,5.33139328e-04,7.94673645e-05,8.40118526e-03,1.19447340e-01,1.70284276e-02,5.00000000e-05,948353
56,20.546724,5,5.17233982e-04,7.46687097e-05,8.16603397e-03,1.21834514e-01,1.70717228e-02,5.00000000e-05,948353
57,23.155328,5,5.09908329e-04,7.16482305e-05,8.00616249e-03,1.34619728e-01,2.03173704e-02,5.00000000e-05,948353
58,40.893152,5,5.13638837e-04,7.09298924e-05,7.95515641e-03,1.76088015e-01,3.56335917e-02,5.00000000e-05,948353
59,48.143956,5,5.14238806e-04,6.98547116e-05,7.87385207e-03,1.77685181e-01,3.55257206e-02,5.00000000e-05,948353
60,47.530110,5,5.08324201e-04,6.70566973e-05,7.73655530e-03,7.85816130e-02,9.78841458e-03,5.00000000e-05,948353
61,44.527261,5,4.99340225e-04,6.49091876e-05,7.63629502e-03,1.33517795e-01,2.16680452e-02,5.00000000e-05,948353
62,48.613850,5,5.05829992e-04,6.48828952e-05,7.60258534e-03,2.26575308e-01,5.52676866e-02,5.00000000e-05,948353
63,42.679306,5,4.53066189e-04,5.43166404e-05,6.98919806e-03,7.08358106e-02,6.70971626e-03,5.00000000e-05,948353
64,50.092503,5,6.63116185e-04,9.71264749e-05,9.15013901e-03,1.28590067e-01,1.79425915e-02,5.00000000e-05,948353
65,46.428566,5,4.37249812e-04,5.30723598e-05,6.91137388e-03,9.91414702e-02,1.17825450e-02,5.00000000e-05,948353
66,49.873733,5,4.84989709e-04,6.32796222e-05,7.46988804e-03,9.02648482e-02,1.02174093e-02,5.00000000e-05,948353
67,49.378980,5,3.97960983e-04,4.54487058e-05,6.41361857e-03,1.44029672e-01,2.24579178e-02,5.00000000e-05,948353
68,46.778101,5,4.52751590e-04,5.66440867e-05,7.04879752e-03,8.64142311e-02,9.64490098e-03,5.00000000e-05,948353
69,49.816529,5,4.30024199e-04,5.35315249e-05,6.92773924e-03,5.89130159e-02,4.20530655e-03,5.00000000e-05,948353
70,43.500210,5,4.80436779e-04,6.47877644e-05,7.55837406e-03,1.19738926e-01,1.55845866e-02,5.00000000e-05,948353
71,50.015303,5,3.80701306e-04,4.56789708e-05,6.42102100e-03,1.89882415e-01,4.10498597e-02,5.00000000e-05,948353
72,47.403757,5,3.64316330e-04,4.15208242e-05,6.12909598e-03,7.31342725e-02,9.95301234e-03,5.00000000e-05,948353
73,48.518352,5,3.70565078e-04,4.20621959e-05,6.16576249e-03,7.49097976e-02,6.86610655e-03,5.00000000e-05,948353
74,50.169757,5,3.76482314e-04,4.27006140e-05,6.21517322e-03,2.28773807e-01,5.98633768e-02,5.00000000e-05,948353
75,71.373710,10,7.56735081e-04,1.20975808e-04,1.03012821e-02,2.68386325e-02,7.94864917e-04,5.00000000e-05,948353
76,80.461601,10,7.42116320e-04,1.16037018e-04,1.01206784e-02,6.13240227e-02,4.10047594e-03,5.00000000e-05,948353
77,91.317654,10,6.71039113e-04,1.00098311e-04,9.39198420e-03,1.72340924e-01,3.21098366e-02,5.00000000e-05,948353
78,90.984890,10,6.91511014e-04,1.02596305e-04,9.51662176e-03,2.98024467e-02,1.18786228e-03,5.00000000e-05,948353
79,85.675090,10,6.97897593e-04,1.02396856e-04,9.49952134e-03,5.83236627e-02,4.42678616e-03,5.00000000e-05,948353
80,81.555247,10,6.78383320e-04,9.68521375e-05,9.27438080e-03,1.54827258e-01,2.61257546e-02,5.00000000e-05,948353
81,83.241636,10,6.83952680e-04,9.65783903e-05,9.26482543e-03,2.85669270e-02,1.05860810e-03,5.00000000e-05,948353
82,80.286710,10,6.94389489e-04,9.73366343e-05,9.29406823e-03,4.07119009e-02,2.08633381e-03,5.00000000e-05,948353
83,79.079252,10,7.03341427e-04,9.77726853e-05,9.32857314e-03,1.42776918e-01,2.23119661e-02,5.00000000e-05,948353
84,80.611714,10,6.98933037e-04,9.56566514e-05,9.22924331e-03,3.29216225e-02,1.53583995e-03,5.00000000e-05,948353
85,77.033016,10,7.20649404e-04,9.87621673e-05,9.39336260e-03,4.52673082e-02,2.42116720e-03,5.00000000e-05,948353
86,73.324280,10,7.05560726e-04,9.45822524e-05,9.20516663e-03,1.24641081e-01,1.71037206e-02,5.00000000e-05,948353
87,77.011076,10,7.08653672e-04,9.40944140e-05,9.18035959e-03,2.52004549e-02,6.97184340e-04,5.00000000e-05,948353
88,72.681507,10,7.09627578e-04,9.31761222e-05,9.15146299e-03,3.72284597e-02,1.51517866e-03,5.00000000e-05,948353
89,72.363177,10,7.11927568e-04,9.26274353e-05,9.11829466e-03,1.22800882e-01,1.67815235e-02,5.00000000e-05,948353
90,69.318450,10,7.17289504e-04,9.27344730e-05,9.13689241e-03,3.24840830e-02,1.44350713e-03,5.00000000e-05,948353
91,70.184451,10,7.22725248e-04,9.29412010e-05,9.14176350e-03,3.89908819e-02,1.65324968e-03,5.00000000e-05,948353
92,71.795974,10,7.17773916e-04,9.11233976e-05,9.04926515e-03,1.13523111e-01,1.45482352e-02,5.00000000e-05,948353
93,69.519394,10,7.23851581e-04,9.14822105e-05,9.07142399e-03,3.32746249e-02,1.51992147e-03,5.00000000e-05,948353
94,65.758525,10,7.23630630e-04,9.07444809e-05,9.03529305e-03,4.23663199e-02,2.23035776e-03,5.00000000e-05,948353
95,53.899629,10,7.26449458e-04,9.05933075e-05,9.02235102e-03,1.13014349e-01,1.51340283e-02,5.00000000e-05,948353
96,55.795589,10,7.28032941e-04,9.02165670e-05,9.02105644e-03,2.68639495e-02,7.95118583e-04,5.00000000e-05,948353
97,53.624070,10,7.30247643e-04,9.00508477e-05,9.00717783e-03,3.73056743e-02,1.51453906e-03,5.00000000e-05,948353
98,58.033032,10,7.29131684e-04,8.92535648e-05,8.97424400e-03,1.05093367e-01,1.29061379e-02,5.00000000e-05,948353
99,51.527219,10,7.32311073e-04,8.93315177e-05,8.97420262e-03,2.52893470e-02,7.00330379e-04,2.50000000e-05,948353
100,134.354174,40,1.69341488e-02,3.23945448e-03,5.10607655e-02,5.66192397e-02,3.45325929e-03,2.50000000e-05,948353
101,128.807965,40,1.06712137e-02,1.97822605e-03,4.01172195e-02,2.29622705e-02,5.72777033e-04,2.50000000e-05,948353
102,132.192367,40,7.41319096e-03,1.37938133e-03,3.30176952e-02,2.62123920e-02,7.39389469e-04,2.50000000e-05,948353
103,128.883342,40,3.33673057e-03,5.39868642e-04,2.22124542e-02,2.41041951e-02,6.25026546e-04,2.50000000e-05,948353
104,123.177577,40,3.35867756e-03,5.00343907e-04,2.14327858e-02,2.37964805e-02,6.09168501e-04,2.50000000e-05,948353
105,122.265555,40,4.46042522e-03,7.34115458e-04,2.43728328e-02,1.83182553e-02,3.62793104e-04,2.50000000e-05,948353
106,122.210277,40,2.99704058e-03,4.72464338e-04,2.07247171e-02,1.77327191e-02,3.39767744e-04,2.50000000e-05,948353
107,114.388227,40,2.91858107e-03,4.52357067e-04,2.02860560e-02,1.74649747e-02,3.29765810e-04,2.50000000e-05,948353
108,110.646320,40,2.89982292e-03,4.41023840e-04,2.00609064e-02,1.75641045e-02,3.33267708e-04,2.50000000e-05,948353
109,113.185340,40,1.19661794e-02,2.27711167e-03,3.93056140e-02,2.16239253e-02,5.15649353e-04,2.50000000e-05,948353
110,112.487207,40,9.25539617e-03,1.67371498e-03,3.74732984e-02,3.77488048e-02,1.54581780e-03,2.50000000e-05,948353
111,112.956894,40,7.97528965e-03,1.34702596e-03,3.41372115e-02,3.24556887e-02,1.14273658e-03,2.50000000e-05,948353
112,114.033043,40,8.04983335e-03,1.35748145e-03,3.41484541e-02,3.11623572e-02,1.05216163e-03,2.50000000e-05,948353
113,110.530629,40,7.03254874e-03,1.21124205e-03,3.23918792e-02,3.35491060e-02,1.23310669e-03,2.50000000e-05,948353
