epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
0,0.845934,1,1.54813926e-01,6.36901710e-02,,4.09377940e-01,1.00000000e-03,124581
1,0.319626,1,5.59801180e-02,4.85038110e-02,,4.09180034e-01,1.00000000e-03,124581
2,0.329559,1,4.59670306e-02,4.43992772e-02,,4.26134093e-01,1.00000000e-03,124581
3,0.325964,1,4.10470274e-02,4.08325327e-02,,3.80624264e-01,1.00000000e-03,124581
4,0.328572,1,3.57566943e-02,3.56732355e-02,,3.47276353e-01,1.00000000e-03,124581
5,0.323897,1,2.75671705e-02,2.74947610e-02,,2.87436459e-01,1.00000000e-03,124581
6,0.329917,1,1.67572054e-02,1.65847892e-02,,2.08851106e-01,1.00000000e-03,124581
7,0.324691,1,1.00225845e-02,9.77510894e-03,,1.69271263e-01,1.00000000e-03,124581
8,0.331955,1,7.72593208e-03,7.63580634e-03,,1.49589270e-01,1.00000000e-03,124581
9,0.336240,1,6.15809813e-03,6.12633792e-03,,1.32456269e-01,1.00000000e-03,124581
10,0.323833,1,5.15055253e-03,5.13219848e-03,,1.20378608e-01,1.00000000e-03,124581
11,0.320807,1,4.57793957e-03,4.56805189e-03,,1.15961294e-01,1.00000000e-03,124581
12,0.318691,1,4.16637564e-03,4.15980904e-03,,1.11146953e-01,1.00000000e-03,124581
13,0.327728,1,3.87848476e-03,3.87171894e-03,,1.05984385e-01,1.00000000e-03,124581
14,0.324739,1,3.73591401e-03,3.72853266e-03,,1.03848225e-01,1.00000000e-03,124581
15,0.331879,1,3.46563071e-03,3.45539840e-03,,9.79467309e-02,1.00000000e-03,124581
16,0.326283,1,3.27603317e-03,3.26746617e-03,,9.38995713e-02,1.00000000e-03,124581
17,0.331231,1,3.12659052e-03,3.11804264e-03,,1.04908412e-01,1.00000000e-03,124581
18,0.326686,1,3.13195516e-03,3.12246795e-03,,9.26492774e-02,1.00000000e-03,124581
19,0.331636,1,2.90400521e-03,2.89647683e-03,,8.97808444e-02,1.00000000e-03,124581
20,0.313700,1,2.71090427e-03,2.70592239e-03,,8.77677339e-02,1.00000000e-03,124581
21,0.262383,1,2.68959828e-03,2.68322142e-03,,8.25885123e-02,1.00000000e-03,124581
22,0.237976,1,2.54991988e-03,2.54494466e-03,,8.18035483e-02,1.00000000e-03,124581
23,0.239604,1,2.53473526e-03,2.52850751e-03,,7.97584501e-02,1.00000000e-03,124581
24,0.235044,1,2.42352557e-03,2.41673377e-03,,7.48422924e-02,1.00000000e-03,124581
25,0.235464,1,2.21943282e-03,2.21499360e-03,,7.28309298e-02,1.00000000e-03,124581
26,0.242980,1,2.20408658e-03,2.19711968e-03,,7.02383885e-02,1.00000000e-03,124581
27,0.235572,1,2.11359687e-03,2.10759489e-03,,7.25746560e-02,1.00000000e-03,124581
28,0.239954,1,2.10540367e-03,2.09960833e-03,,6.75175083e-02,1.00000000e-03,124581
29,0.235733,1,2.10328218e-03,2.09684777e-03,,7.86374006e-02,1.00000000e-03,124581
30,0.235908,1,2.12016171e-03,2.11302115e-03,,6.72305274e-02,1.00000000e-03,124581
31,0.237363,1,2.05875534e-03,2.05339889e-03,,7.56340241e-02,1.00000000e-03,124581
32,0.234701,1,1.98006594e-03,1.97508103e-03,,6.68983275e-02,1.00000000e-03,124581
33,0.243076,1,1.89791313e-03,1.89275269e-03,,6.62538040e-02,1.00000000e-03,124581
34,0.234462,1,1.84284579e-03,1.83707962e-03,,6.23584396e-02,1.00000000e-03,124581
35,0.237193,1,1.81292033e-03,1.80860307e-03,,6.01837024e-02,1.00000000e-03,124581
36,0.237404,1,1.78504898e-03,1.78005501e-03,,6.18943006e-02,1.00000000e-03,124581
37,0.234009,1,1.75000312e-03,1.74327939e-03,,6.06183904e-02,1.00000000e-03,124581
38,0.243223,1,1.77066195e-03,1.76455379e-03,,6.04164836e-02,1.00000000e-03,124581
39,0.234901,1,1.69513425e-03,1.69101367e-03,,5.97352034e-02,1.00000000e-03,124581
40,0.237726,1,1.68478288e-03,1.68067065e-03,,5.96940628e-02,1.00000000e-03,124581
41,0.239325,1,1.71059542e-03,1.70544495e-03,,5.66944677e-02,1.00000000e-03,124581
42,0.233566,1,1.70597503e-03,1.70035386e-03,,7.59136093e-02,1.00000000e-03,124581
43,0.245133,1,1.80118755e-03,1.79366282e-03,,7.57385844e-02,1.00000000e-03,124581
44,0.235342,1,1.75677155e-03,1.75073955e-03,,6.30545321e-02,1.00000000e-03,124581
45,0.234024,1,1.60324303e-03,1.59911147e-03,,5.53688669e-02,1.00000000e-03,124581
46,0.245717,1,1.57341088e-03,1.56951415e-03,,5.51847559e-02,1.00000000e-03,124581
47,0.234606,1,1.61062282e-03,1.60562319e-03,,5.35001272e-02,1.00000000e-03,124581
48,0.246932,1,1.63901830e-03,1.63459187e-03,,5.59729147e-02,1.00000000e-03,124581
49,0.263659,1,1.64877398e-03,1.64409749e-03,,6.15779012e-02,1.00000000e-03,124581
50,0.246536,1,1.55402157e-03,1.54860924e-03,,5.81787926e-02,1.00000000e-03,124581
51,0.250143,1,1.54520830e-03,1.54103812e-03,,5.61440915e-02,1.00000000e-03,124581
52,0.234173,1,1.50810941e-03,1.50471269e-03,,5.74452651e-02,1.00000000e-03,124581
53,0.250809,1,1.53330348e-03,1.52760909e-03,,5.64103210e-02,1.00000000e-03,124581
54,0.239622,1,1.56457050e-03,1.55798571e-03,,5.86801785e-02,1.00000000e-03,124581
55,0.236482,1,1.49781433e-03,1.49267120e-03,,5.43084890e-02,1.00000000e-03,124581
56,0.239741,1,1.47358018e-03,1.46946461e-03,,5.30429482e-02,1.00000000e-03,124581
57,0.233951,1,1.47633021e-03,1.47256341e-03,,5.79259652e-02,1.00000000e-03,124581
58,0.238240,1,1.44190343e-03,1.43851417e-03,,5.42406932e-02,1.00000000e-03,124581
59,0.263489,1,1.44677935e-03,1.44316800e-03,,5.13242584e-02,1.00000000e-03,124581
60,0.652958,1,1.44774426e-03,1.44422205e-03,,5.67557871e-02,1.00000000e-03,124581
61,0.441397,1,1.50157676e-03,1.49732763e-03,,6.08567131e-02,1.00000000e-03,124581
62,0.260209,1,1.48501935e-03,1.48053285e-03,,6.24664038e-02,1.00000000e-03,124581
63,0.246638,1,1.46107622e-03,1.45749831e-03,,5.46964353e-02,1.00000000e-03,124581
64,0.236752,1,1.43323365e-03,1.42965250e-03,,5.67328480e-02,1.00000000e-03,124581
65,0.296454,1,1.42238569e-03,1.41899831e-03,,5.60175496e-02,1.00000000e-03,124581
66,0.292867,1,1.44419599e-03,1.43979188e-03,,5.92574012e-02,1.00000000e-03,124581
67,0.245450,1,1.46321544e-03,1.45880745e-03,,5.44227338e-02,1.00000000e-03,124581
68,0.258676,1,1.39659191e-03,1.39201583e-03,,5.32310250e-02,1.00000000e-03,124581
69,0.245502,1,1.39634531e-03,1.39262869e-03,,5.17232504e-02,1.00000000e-03,124581
70,0.236691,1,1.46021814e-03,1.45676922e-03,,5.66235831e-02,1.00000000e-03,124581
71,0.245841,1,1.38061844e-03,1.37776769e-03,,5.07640553e-02,1.00000000e-03,124581
72,0.236220,1,1.35234015e-03,1.34942274e-03,,5.26226860e-02,1.00000000e-03,124581
73,0.244246,1,1.37405629e-03,1.37037025e-03,,5.12220728e-02,1.00000000e-03,124581
74,0.236050,1,1.37278618e-03,1.36944754e-03,,5.70013189e-02,1.00000000e-03,124581
75,0.241161,1,1.36309630e-03,1.35952944e-03,,6.09393123e-02,1.00000000e-03,124581
76,0.239839,1,1.36759440e-03,1.36483552e-03,,5.21592596e-02,1.00000000e-03,124581
77,0.237083,1,1.33163450e-03,1.32847517e-03,,5.45246887e-02,1.00000000e-03,124581
78,0.247057,1,1.33506031e-03,1.33196121e-03,,5.30381805e-02,1.00000000e-03,124581
79,0.236810,1,1.32644607e-03,1.32333596e-03,,5.32709134e-02,1.00000000e-03,124581
80,0.243379,1,1.32655624e-03,1.32291534e-03,,5.73468438e-02,1.00000000e-03,124581
81,0.237653,1,1.38170086e-03,1.37803121e-03,,5.71809146e-02,1.00000000e-03,124581
82,0.241418,1,1.39740218e-03,1.39330283e-03,,6.35448384e-02,1.00000000e-03,124581
83,0.250574,1,1.42122827e-03,1.41697894e-03,,6.55201825e-02,1.00000000e-03,124581
84,0.239531,1,1.35965112e-03,1.35556620e-03,,5.01835182e-02,1.00000000e-03,124581
85,0.268218,1,1.32423440e-03,1.31999130e-03,,5.09002781e-02,1.00000000e-03,124581
86,0.261830,1,1.31282853e-03,1.30932190e-03,,5.05947316e-02,1.00000000e-03,124581
87,0.342182,1,1.33431580e-03,1.33080716e-03,,6.91281056e-02,1.00000000e-03,124581
88,0.624775,1,1.32766619e-03,1.32421167e-03,,5.59898543e-02,1.00000000e-03,124581
89,0.269265,1,1.30423053e-03,1.30059550e-03,,5.24908352e-02,1.00000000e-03,124581
90,0.250733,1,1.34769377e-03,1.34225435e-03,,6.05935380e-02,1.00000000e-03,124581
91,0.235831,1,1.33896308e-03,1.33479345e-03,,4.83409916e-02,1.00000000e-03,124581
92,0.242599,1,1.30995091e-03,1.30557988e-03,,5.29455534e-02,1.00000000e-03,124581
93,0.279901,1,1.30906695e-03,1.30582252e-03,,4.86088154e-02,1.00000000e-03,124581
94,0.269686,1,1.28899712e-03,1.28580652e-03,,5.21721864e-02,1.00000000e-03,124581
95,0.268761,1,1.27215277e-03,1.26896300e-03,,4.95833810e-02,1.00000000e-03,124581
96,0.276240,1,1.25409545e-03,1.25062148e-03,,6.16531307e-02,1.00000000e-03,124581
97,0.267041,1,1.29090306e-03,1.28624372e-03,,5.43102872e-02,1.00000000e-03,124581
98,0.312741,1,1.28703129e-03,1.28240887e-03,,5.29158890e-02,1.00000000e-03,124581
99,0.324819,1,1.27131422e-03,1.26760975e-03,,4.98637539e-02,5.00000000e-04,124581
100,0.321726,1,1.22612358e-03,1.22292305e-03,,4.84309766e-02,5.00000000e-04,124581
101,0.326913,1,1.22168608e-03,1.21946465e-03,,4.80862580e-02,5.00000000e-04,124581
102,0.320513,1,1.21937177e-03,1.21699529e-03,,4.73324417e-02,5.00000000e-04,124581
103,0.327956,1,1.22296945e-03,1.22018700e-03,,4.76318917e-02,5.00000000e-04,124581
104,0.328176,1,1.21822744e-03,1.21583826e-03,,4.82948597e-02,5.00000000e-04,124581
105,0.322414,1,1.21430609e-03,1.21214014e-03,,4.97919255e-02,5.00000000e-04,124581
106,0.324768,1,1.21965872e-03,1.21719799e-03,,4.88067973e-02,5.00000000e-04,124581
107,0.306264,1,1.20861769e-03,1.20589293e-03,,4.76311773e-02,5.00000000e-04,124581
108,0.293199,1,1.21417628e-03,1.21145902e-03,,4.69252571e-02,5.00000000e-04,124581
109,0.271374,1,1.20436803e-03,1.20198217e-03,,4.89800820e-02,5.00000000e-04,124581
110,0.297656,1,1.18867323e-03,1.18670122e-03,,4.65979668e-02,5.00000000e-04,124581
111,0.296812,1,1.19612899e-03,1.19388674e-03,,5.21645954e-02,5.00000000e-04,124581
112,0.296792,1,1.20170218e-03,1.19880276e-03,,4.88126287e-02,5.00000000e-04,124581
113,0.297842,1,1.22309801e-03,1.22034596e-03,,5.02296510e-02,5.00000000e-04,124581
114,0.302484,1,1.19967308e-03,1.19707340e-03,,4.67588086e-02,5.00000000e-04,124581
115,0.246183,1,1.18853076e-03,1.18617182e-03,,4.65661514e-02,5.00000000e-04,124581
116,0.237091,1,1.18522924e-03,1.18293058e-03,,4.93327758e-02,5.00000000e-04,124581
117,0.247443,1,1.19031923e-03,1.18813847e-03,,4.64348954e-02,5.00000000e-04,124581
118,0.240440,1,1.19960325e-03,1.19747064e-03,,4.80209123e-02,5.00000000e-04,124581
119,0.292550,1,1.19587120e-03,1.19353658e-03,,4.72720329e-02,5.00000000e-04,124581
