epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
0,14.669960,1,3.46538339e-02,9.12897912e-04,2.87496537e+00,2.24270191e+00,5.00000000e-04,745342
1,12.643056,1,2.34715195e-03,4.55685670e-04,nan,nan,5.00000000e-04,745342
2,12.544074,1,7.02466406e-04,3.16337839e-04,nan,nan,5.00000000e-04,745342
3,12.102860,1,5.73533365e-04,2.30720843e-04,nan,nan,5.00000000e-04,745342
4,12.292463,1,5.12715552e-04,1.90976781e-04,nan,nan,5.00000000e-04,745342
5,12.136830,1,4.84533959e-04,1.76256607e-04,nan,nan,5.00000000e-04,745342
6,11.937667,1,4.68083072e-04,1.69419342e-04,nan,nan,5.00000000e-04,745342
7,12.152791,1,4.54693698e-04,1.64072850e-04,nan,nan,5.00000000e-04,745342
8,11.985663,1,4.45026148e-04,1.61477145e-04,nan,nan,5.00000000e-04,745342
9,12.031719,1,4.37040422e-04,1.60001353e-04,nan,nan,5.00000000e-04,745342
10,12.003489,1,4.29268510e-04,1.58536672e-04,nan,nan,5.00000000e-04,745342
11,12.112280,1,4.23494167e-04,1.58822375e-04,nan,nan,5.00000000e-04,745342
12,12.420576,1,4.17412697e-04,1.59064375e-04,nan,nan,5.00000000e-04,745342
13,12.172521,1,4.09060025e-04,1.56579668e-04,nan,nan,5.00000000e-04,745342
14,11.927683,1,4.02196823e-04,1.56343196e-04,nan,nan,5.00000000e-04,745342
15,12.498983,1,3.95833725e-04,1.56572548e-04,nan,nan,5.00000000e-04,745342
16,12.023363,1,3.90017696e-04,1.57468294e-04,nan,nan,5.00000000e-04,745342
17,11.921770,1,3.80759249e-04,1.55715348e-04,nan,nan,5.00000000e-04,745342
18,12.458270,1,3.74010155e-04,1.56147700e-04,nan,nan,5.00000000e-04,745342
19,12.295465,1,3.66771145e-04,1.56829976e-04,nan,nan,5.00000000e-04,745342
20,12.215675,1,3.58850971e-04,1.57029504e-04,nan,nan,5.00000000e-04,745342
21,12.163916,1,3.52166814e-04,1.57964860e-04,nan,nan,5.00000000e-04,745342
22,12.248487,1,3.43940535e-04,1.58352939e-04,nan,nan,5.00000000e-04,745342
23,12.155406,1,3.35569612e-04,1.58097953e-04,nan,nan,5.00000000e-04,745342
24,12.337736,1,3.29190441e-04,1.59610155e-04,nan,nan,5.00000000e-04,745342
25,12.320979,1,3.24331037e-04,1.62168675e-04,nan,nan,5.00000000e-04,745342
26,12.513795,1,3.14657570e-04,1.59631199e-04,nan,nan,5.00000000e-04,745342
27,12.380588,1,3.09027688e-04,1.60211026e-04,nan,nan,5.00000000e-04,745342
28,12.139292,1,3.10159643e-04,1.65910990e-04,nan,nan,5.00000000e-04,745342
29,12.139731,1,3.04963139e-04,1.65410967e-04,nan,nan,5.00000000e-04,745342
30,11.876777,1,2.95762284e-04,1.61163869e-04,nan,nan,5.00000000e-04,745342
31,12.064175,1,2.92594338e-04,1.61151149e-04,nan,nan,5.00000000e-04,745342
32,12.545766,1,2.91407701e-04,1.62213398e-04,nan,nan,5.00000000e-04,745342
33,12.713726,1,2.88407961e-04,1.61439103e-04,nan,nan,5.00000000e-04,745342
34,12.453456,1,2.86192151e-04,1.61032152e-04,nan,nan,5.00000000e-04,745342
35,12.271931,1,2.82941086e-04,1.60163740e-04,nan,nan,5.00000000e-04,745342
36,12.478512,1,2.84295544e-04,1.61605177e-04,nan,nan,5.00000000e-04,745342
37,12.218044,1,2.80848210e-04,1.60235159e-04,nan,nan,5.00000000e-04,745342
38,12.218816,1,2.80674352e-04,1.60796819e-04,nan,nan,5.00000000e-04,745342
39,12.141975,1,2.79098499e-04,1.60542839e-04,nan,nan,5.00000000e-04,745342
40,22.018892,5,6.03878427e-03,5.89670075e-03,nan,nan,5.00000000e-04,745342
41,21.457701,5,2.80714149e-03,2.70967698e-03,nan,nan,5.00000000e-04,745342
42,21.613500,5,2.59706276e-03,2.50032274e-03,nan,nan,5.00000000e-04,745342
43,21.341407,5,2.47175994e-03,2.37550727e-03,nan,nan,5.00000000e-04,745342
44,21.389811,5,2.35896845e-03,2.26181857e-03,inf,nan,5.00000000e-04,745342
45,21.639537,5,2.35395021e-03,2.25505837e-03,1.06379865e+00,1.06916730e+00,5.00000000e-04,745342
46,21.552807,5,2.26537759e-03,2.16582470e-03,1.65866028e+00,1.74970775e+00,5.00000000e-04,745342
47,21.616898,5,2.20024312e-03,2.09945589e-03,3.17129844e+02,3.72448777e+04,5.00000000e-04,745342
