step,mse
0,8.28372256e-04
1,2.64847837e-03
2,4.35061334e-03
3,5.39298728e-03
4,6.06930908e-03
5,6.77995197e-03
6,7.40677398e-03
7,7.69474683e-03
8,7.69628817e-03
9,7.66407093e-03
10,7.79996160e-03
11,8.19992740e-03
12,8.79725255e-03
13,9.42435954e-03
14,9.94438305e-03
15,1.04813166e-02
16,1.10853584e-02
17,1.14316251e-02
18,1.15751503e-02
19,1.16795870e-02
20,1.19299339e-02
21,1.23526268e-02
22,1.24911424e-02
23,1.24946591e-02
24,1.26273585e-02
25,1.26729403e-02
26,1.25590432e-02
27,1.25152851e-02
28,1.25010647e-02
29,1.22083994e-02
30,1.17919473e-02
31,1.17019787e-02
32,1.21584740e-02
33,1.25991907e-02
34,1.28703546e-02
35,1.32962950e-02
36,1.36184637e-02
37,1.39531801e-02
38,1.45589532e-02
39,1.52009949e-02
